instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P0:status,P0:successful_repeats,P0:result,B1:status,B1:successful_repeats,B1:result,result_match,P0:matches_reference,B1:matches_reference,P0:wall_vs_Concorde_symmetric_change,B1:wall_vs_Concorde_symmetric_change,P0:wall_seconds,B1:wall_seconds,symmetric_change:wall_seconds,P0:branches,B1:branches,symmetric_change:branches
gr24.tsp,ok,0.02609829418361187,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-1.4725300710290914,-0.20743302051825618,0.010555298998951912,0.021614693105220795,1.0477575393522272,1.0,1.0,0.0
gr48.tsp,ok,0.07980214431881905,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3696336779601084,5.542433137387396,0.2689039930701256,0.522100193426013,0.9415858703513493,125818.0,260420.0,1.06981512979065
gr96.tsp,ok,0.22688710503280163,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,33.79782849041467,114.18183865051053,7.895178567618132,26.133273923769593,2.3100294945771758,2490722.0,8070780.0,2.2403375406809753
hk48.tsp,ok,0.04629971645772457,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.673005771025232,-0.5045125442064942,0.027674570679664612,0.03077389858663082,0.11199190559597771,44.0,49.0,0.11363636363636354
kroA100.tsp,ok,0.11194410920143127,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,7111.758991866426,14748.353502446342,796.2314693089575,1651.103239128366,1.0736473032915224,192614325.0,396320221.0,1.0575843515273333
kroC100.tsp,ok,0.10108034498989582,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,392.23860174425766,765.8479779192905,39.74869352765381,77.5132581628859,0.9500831671098491,11756617.0,23155006.0,0.9695296699722378
kroD100.tsp,ok,0.13640364445745945,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,3273.3185997668834,433.949243005869,446.6289901230484,59.328661900013685,-6.528047588124441,129214031.0,17876638.0,-6.228094622713734
lin105.tsp,ok,0.09114335291087627,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.0889684229499932,0.9879195536110514,0.19039558619260788,0.1811856534332037,-0.050831468081988795,348.0,780.0,1.2413793103448274
pr124.tsp,ok,0.451222188770771,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,6.837489940270649,12.377485058002609,3.5364493653178215,6.036218088120222,0.7068583385691274,660814.0,1239038.0,0.8750177811002793
rat99.tsp,ok,1.1524219159036875,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.117233027130498,-0.8453726776815418,0.5443056579679251,0.6244927812367678,0.14732002523767251,91741.0,130603.0,0.42360558528902015
rd100.tsp,ok,0.09190729446709156,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,22.122539514886938,1280.660083903984,2.125130048021674,117.79391073808074,54.4290363772031,525879.0,37388959.0,70.09802635206958
st70.tsp,ok,0.06602468341588974,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,335.76104804245426,725.5312206778328,22.234541583806276,47.96899383701384,1.157408717252364,8607708.0,21577967.0,1.5068191207229615
swiss42.tsp,ok,0.03279697895050049,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-1.314943064299241,0.06961789085529646,0.014167509973049164,0.035080235451459885,1.476104517885851,8.0,7.0,-0.1428571428571428
ulysses16.tsp,ok,0.04721811227500439,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-2.1716777654400152,-1.659004163775156,0.014887424185872078,0.01775781810283661,0.19280661860152337,1.0,1.0,0.0
wi29.tsp,ok,0.045293282717466354,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-3.3883222764963,-2.1584038508747208,0.010321320965886116,0.014340560883283615,0.3894113874262639,1.0,1.0,0.0
bier127.tsp,ok,0.20502866618335247,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
brg180.tsp,ok,0.20931491255760193,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch130.tsp,ok,0.21387781016528606,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch150.tsp,ok,0.3485230952501297,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
d198.tsp,ok,1.0058379471302032,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
gr120.tsp,ok,0.15817620046436787,6942.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroA150.tsp,ok,0.4832456335425377,26524.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB100.tsp,ok,0.18441025167703629,22141.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB150.tsp,ok,0.4672635402530432,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroE100.tsp,ok,0.2567499540746212,22068.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr107.tsp,ok,0.16206598654389381,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
