instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P1:status,P1:successful_repeats,P1:result,H1:status,H1:successful_repeats,H1:result,result_match,P1:matches_reference,H1:matches_reference,P1:wall_vs_Concorde_symmetric_change,H1:wall_vs_Concorde_symmetric_change,P1:wall_seconds,H1:wall_seconds,symmetric_change:wall_seconds,P1:branches,H1:branches,symmetric_change:branches
swiss42.tsp,ok,0.03279697895050049,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.5334595674793854,-0.034648598365116356,0.021387573331594467,0.03169866465032101,0.48210664944838033,5.0,6.0,0.19999999999999996
u159.tsp,ok,0.1227664165198803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,3906.174233653981,771.7219483779312,479.66977938450873,94.86430456861854,-4.056377966040404,24067660.0,4297386.0,-4.6005348367589045
ulysses16.tsp,ok,0.04721811227500439,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-1.8327975422745628,-1.240427640992546,0.016668368130922318,0.02107549086213112,0.2644003718056196,1.0,4.0,3.0
wi29.tsp,ok,0.045293282717466354,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-2.2345032357474675,-0.8831891498474111,0.014003165066242218,0.024051371961832047,0.7175668392150352,1.0,251.0,250.0
bier127.tsp,ok,0.20502866618335247,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
brg180.tsp,ok,0.20931491255760193,1950.0,1.0,timeout,0,,ok,1,1950.0,,,True,,470.8056873690724,,98.75596619583666,,,2404701.0,
ch130.tsp,ok,0.21387781016528606,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch150.tsp,ok,0.3485230952501297,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
d198.tsp,ok,1.0058379471302032,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
gr120.tsp,ok,0.15817620046436787,6942.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroA100.tsp,ok,0.11194410920143127,21282.0,1.0,ok,1,21282.0,timeout,0,,,True,,6534.116892815944,,731.5678390935063,,,172105550.0,,
kroA150.tsp,ok,0.4832456335425377,26524.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB100.tsp,ok,0.18441025167703629,22141.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB150.tsp,ok,0.4672635402530432,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroD100.tsp,ok,0.13640364445745945,21294.0,1.0,ok,1,21294.0,timeout,0,,,True,,1616.2574882581728,,220.5998154245317,,,63405303.0,,
kroE100.tsp,ok,0.2567499540746212,22068.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr107.tsp,ok,0.16206598654389381,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr136.tsp,ok,0.5381354987621307,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr144.tsp,ok,0.2744617722928524,58537.0,1.0,timeout,0,,ok,1,58537.0,,,True,,126.48268804467648,,34.989124497398734,,,1973468.0,
pr152.tsp,ok,0.8584825918078423,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr76.tsp,ok,0.21573120914399624,108159.0,1.0,timeout,0,,ok,1,108159.0,,,True,,8244.045988807562,,1778.7137406133115,,,541527434.0,
qa194.tsp,ok,0.4701696112751961,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
rat195.tsp,ok,2.8730149008333683,2323.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
si175.tsp,ok,1.8025635667145252,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
xqf131.tsp,ok,0.3606609869748354,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
