instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H2:status,H2:successful_repeats,H2:result,P2:status,P2:successful_repeats,P2:result,result_match,H2:matches_reference,P2:matches_reference,H2:wall_vs_Concorde_symmetric_change,P2:wall_vs_Concorde_symmetric_change,H2:wall_seconds,P2:wall_seconds,symmetric_change:wall_seconds,H2:branches,P2:branches,symmetric_change:branches
gr21.tsp,ok,0.012220339849591255,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.5488812492386319,-0.17231649522889203,0.007889784872531891,0.010424096137285233,0.321214241667918,4.0,1.0,-3.0
gr24.tsp,ok,0.02609829418361187,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-1.9564487963552208,-0.6670803210036975,0.008827582001686096,0.015655091032385826,0.7734291258235442,5.0,1.0,-4.0
gr48.tsp,ok,0.07980214431881905,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,1.6171636504529863,3.138160208853395,0.2088552713394165,0.330234058201313,0.5811621898910106,33867.0,101045.0,1.983582838751587
gr96.tsp,ok,0.22688710503280163,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,29.513133433140336,38.390016099537796,6.923036510124803,8.937086720019579,0.29092006187592223,1392096.0,2089043.0,0.500645788796175
hk48.tsp,ok,0.04629971645772457,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.4696927618980835,-1.0187038731677176,0.031502990052103996,0.02293536812067032,-0.373555021500273,17.0,26.0,0.5294117647058822
kroC100.tsp,ok,0.10108034498989582,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,93.26749575345812,735.9553920306442,9.528590992093086,74.49170526862144,6.817704142242579,1943153.0,20749226.0,9.67812261823953
lin105.tsp,ok,0.09114335291087627,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,0.5350182900978424,1.0584361039041457,0.1399067137390375,0.18761276826262474,0.34098474082217,116.0,57.0,-1.0350877192982457
pr124.tsp,ok,0.451222188770771,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,10.147072813806712,12.861043275688788,5.0298065934330225,6.254410285502672,0.24346934008725252,226874.0,487582.0,1.1491312358401582
rat99.tsp,ok,1.1524219159036875,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-3.2407816030372274,-0.46371859114399805,0.2717475276440382,0.7873247787356377,1.8972656552259552,787.0,63304.0,79.43710292249047
rd100.tsp,ok,0.09190729446709156,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,5.216472591001081,10.146354856648202,0.5713391769677401,1.0244313180446625,0.7930353095714731,1588.0,105911.0,65.69458438287154
st70.tsp,ok,0.06602468341588974,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,8.224437333179262,172.06335709593765,0.609040554612875,11.426453363150358,17.7613998388225,107238.0,4444883.0,40.448768160540105
swiss42.tsp,ok,0.03279697895050049,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.8493767453037826,-0.2142091010460363,0.017734071239829063,0.027010980993509293,0.5231122413022204,6.0,5.0,-0.19999999999999996
ulysses16.tsp,ok,0.04721811227500439,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-1.6667310819067302,-1.654562192022731,0.017706364393234253,0.01778753288090229,0.004584141942715947,4.0,1.0,-3.0
wi29.tsp,ok,0.045293282717466354,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-1.0739946774911369,-1.745966249317084,0.02183866873383522,0.016494479030370712,-0.3239986963895274,276.0,1.0,-275.0
bier127.tsp,ok,0.20502866618335247,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
brg180.tsp,ok,0.20931491255760193,1950.0,1.0,ok,1,1950.0,timeout,0,,,True,,476.56954059960333,,99.9624266307801,,,2402250.0,,
ch130.tsp,ok,0.21387781016528606,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
ch150.tsp,ok,0.3485230952501297,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
d198.tsp,ok,1.0058379471302032,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
gr120.tsp,ok,0.15817620046436787,6942.0,1.0,timeout,0,,ok,1,6942.0,,,True,,997.1893639771296,,157.8898009378463,,,35531695.0,
kroA100.tsp,ok,0.11194410920143127,21282.0,1.0,timeout,0,,ok,1,21282.0,,,True,,7017.086154841528,,785.633402902633,,,188523346.0,
kroA150.tsp,ok,0.4832456335425377,26524.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB100.tsp,ok,0.18441025167703629,22141.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroB150.tsp,ok,0.4672635402530432,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
kroD100.tsp,ok,0.13640364445745945,21294.0,1.0,timeout,0,,ok,1,21294.0,,,True,,2168.4466955857815,,295.9204357340932,,,85408958.0,
kroE100.tsp,ok,0.2567499540746212,22068.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr107.tsp,ok,0.16206598654389381,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr136.tsp,ok,0.5381354987621307,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr144.tsp,ok,0.2744617722928524,58537.0,1.0,ok,1,58537.0,timeout,0,,,True,,200.65439884164118,,55.34642369672656,,,3565288.0,,
pr152.tsp,ok,0.8584825918078423,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
pr76.tsp,ok,0.21573120914399624,108159.0,1.0,ok,1,108159.0,timeout,0,,,True,,8067.553651361079,,1740.6388352513313,,,543243533.0,,
qa194.tsp,ok,0.4701696112751961,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
rat195.tsp,ok,2.8730149008333683,2323.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
si175.tsp,ok,1.8025635667145252,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,
u159.tsp,ok,0.1227664165198803,42080.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
xqf131.tsp,ok,0.3606609869748354,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,
