instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,T1:status,T1:successful_repeats,T1:result,T2:status,T2:successful_repeats,T2:result,result_match,T1:matches_reference,T2:matches_reference,T1:wall_vs_Concorde_symmetric_change,T2:wall_vs_Concorde_symmetric_change,T1:wall_seconds,T2:wall_seconds,symmetric_change:wall_seconds,T1:branches,T2:branches,symmetric_change:branches
gr24.tsp,ok,0.02609829418361187,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.7135078040502696,-0.36407574265985243,0.015230916440486908,0.0191325843334198,0.25616763824936073,1.0,1.0,0.0
gr48.tsp,ok,0.07980214431881905,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.6897213459700375,2.596007371021708,0.2944476753473282,0.2869690991938114,-0.026060562529298448,82806.0,95108.0,0.14856411371156675
gr96.tsp,ok,0.22688710503280163,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,38.09927788063956,36.43757157460674,8.871121967211366,8.49410223402083,-0.044386060210164,2235986.0,2239661.0,0.0016435702191337498
hk48.tsp,ok,0.04629971645772457,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.17620089082285895,-0.4312251934159994,0.03936378285288811,0.032349707558751106,-0.21682036171110863,21.0,24.0,0.1428571428571428
kroA100.tsp,ok,0.11194410920143127,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,6902.824429243514,7011.709117554585,772.8424758147448,785.0314752534032,0.015771647936157374,185831516.0,189220938.0,0.018239220520592347
kroC100.tsp,ok,0.10108034498989582,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,404.1600810524285,393.2542606434245,40.95372076891363,39.851356679573655,-0.02766189613577197,11256721.0,11304135.0,0.004212061398696898
kroD100.tsp,ok,0.13640364445745945,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,3180.9555067065794,3203.6688528128925,434.03032761625946,437.12851080298424,0.007138172126681441,124355389.0,126007866.0,0.013288342493946947
lin105.tsp,ok,0.09114335291087627,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.2511291589804387,1.1634712428202976,0.2051754593849182,0.19718602299690247,-0.04051725505991488,77.0,106.0,0.37662337662337664
pr124.tsp,ok,0.451222188770771,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,11.109762101384437,10.549539862584167,5.464193360880017,5.211408656090498,-0.04850602235809953,618453.0,615062.0,-0.005513265329348815
rat99.tsp,ok,1.1524219159036875,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.05055508334337,-1.082000086274709,0.5620048567652702,0.5535167474299669,-0.015334873560221007,44356.0,49599.0,0.11820272341960503
