run_id,strategy,label,instance,source,status,observed_repeats,expected_repeats,successful_repeats,timeouts,errors,result,result_consistent,wall_seconds,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_total,search_node_potential_iterations,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_zero_violation
Concorde-07deea4ce57e,Concorde,Concorde,si175.tsp,/home/wj/code/TSP/data/classic/tsplib/si175.tsp,ok,1,1,1,0,0,21407.0,True,1.865148700773716,3.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,st70.tsp,/home/wj/code/TSP/data/classic/tsplib/st70.tsp,ok,1,1,1,0,0,675.0,True,0.07140777260065079,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,swiss42.tsp,/home/wj/code/TSP/data/classic/tsplib/swiss42.tsp,ok,1,1,1,0,0,1273.0,True,0.03386518731713295,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,u159.tsp,/home/wj/code/TSP/data/classic/tsplib/u159.tsp,ok,1,1,1,0,0,42080.0,True,0.12093745544552803,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,ulysses16.tsp,/home/wj/code/TSP/data/classic/tsplib/ulysses16.tsp,ok,1,1,1,0,0,6859.0,True,0.03193540312349796,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,wi29.tsp,/home/wj/code/TSP/data/classic/national/wi29.tsp,ok,1,1,1,0,0,27603.0,True,0.04551754333078861,1.0,,,,,,,,,,,,,,,,,,
Concorde-07deea4ce57e,Concorde,Concorde,xqf131.tsp,/home/wj/code/TSP/data/classic/vlsi/vlsi/xqf131.tsp,ok,1,1,1,0,0,564.0,True,0.36307481303811073,1.0,,,,,,,,,,,,,,,,,,
P32-49f44a8c66c2,P32,P32,att48.tsp,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,1,1,1,0,0,10628.0,True,0.03277943842113018,29.0,9.0,20.0,1.0,100.0,26.0,26.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P32-49f44a8c66c2,P32,P32,bayg29.tsp,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,1,1,1,0,0,1610.0,True,0.015848398208618164,3.0,1.0,2.0,1.0,100.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P32-49f44a8c66c2,P32,P32,bays29.tsp,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,1,1,1,0,0,2020.0,True,0.021672306582331657,10.0,3.0,5.0,3.0,100.0,7.0,7.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
