comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
21,branch edge order,P32,PAA,weight,root-alpha-global-desc,40,40,39,rat195.tsp,bier127.tsp,39,,40,,40,,search_node_potential_updates_skipped_total,39,387490.0,403156.0,0.040429430436914604,11,20,8
22,hk ascent,P16,hybrid,polyak,hybrid,38,40,38,,brg180.tsp;rat195.tsp,38,,38,,40,,wall_seconds,38,3061.1032163146883,3232.9683351833373,0.05614482973088375,17,0,21
22,hk ascent,P16,hybrid,polyak,hybrid,38,40,38,,brg180.tsp;rat195.tsp,38,,38,,40,,branches,38,6205250.0,6488817.0,0.04569791708633808,4,32,2
22,hk ascent,P16,hybrid,polyak,hybrid,38,40,38,,brg180.tsp;rat195.tsp,38,,38,,40,,search_node_potential_updates_skipped_total,38,378424.0,378034.0,-0.0010305900260025869,1,34,3
23,hk ascent,PAA,hybrid32,polyak,hybrid,40,40,39,kroA150.tsp,brg180.tsp,39,,40,,40,,wall_seconds,39,6987.651360936463,5466.120486067608,-0.21774567680562473,22,0,17
23,hk ascent,PAA,hybrid32,polyak,hybrid,40,40,39,kroA150.tsp,brg180.tsp,39,,40,,40,,branches,39,18962808.0,17511225.0,-0.07654894781405797,4,32,3
23,hk ascent,PAA,hybrid32,polyak,hybrid,40,40,39,kroA150.tsp,brg180.tsp,39,,40,,40,,search_node_potential_updates_skipped_total,39,403161.0,402934.0,-0.00056305049347527,3,36,0
24,重复运行,P128 [P128-ba5f558d610b],P64,相同配置,相同配置,40,40,40,,,40,,40,,40,,wall_seconds,40,4431.547651216388,4440.001659082249,0.0019076874562187207,11,0,29
24,重复运行,P128 [P128-ba5f558d610b],P64,相同配置,相同配置,40,40,40,,,40,,40,,40,,branches,40,4370706.0,4370706.0,0.0,0,40,0
24,重复运行,P128 [P128-ba5f558d610b],P64,相同配置,相同配置,40,40,40,,,40,,40,,40,,search_node_potential_updates_skipped_total,40,389711.0,389711.0,0.0,0,40,0
25,hk update budget,P16,D0,0,5000,38,32,32,ch130.tsp;ch150.tsp;kroA150.tsp;kroB100.tsp;kroE100.tsp;pr76.tsp,,32,,38,,32,,wall_seconds,32,792.7080301307142,2028.9078087676316,1.5594641805673062,11,0,21
25,hk update budget,P16,D0,0,5000,38,32,32,ch130.tsp;ch150.tsp;kroA150.tsp;kroB100.tsp;kroE100.tsp;pr76.tsp,,32,,38,,32,,branches,32,1101653.0,289783265.0,262.0440483527935,0,22,10
25,hk update budget,P16,D0,0,5000,38,32,32,ch130.tsp;ch150.tsp;kroA150.tsp;kroB100.tsp;kroE100.tsp;pr76.tsp,,32,,38,,32,,search_node_potential_updates_skipped_total,32,61999.0,214442132.0,3457.79985161051,0,22,10
26,hk update depth,P16,H2,1,2,38,38,38,,,38,,38,,38,,wall_seconds,38,3061.1032163146883,3214.2789176423103,0.05003937812722059,13,0,25
26,hk update depth,P16,H2,1,2,38,38,38,,,38,,38,,38,,branches,38,6205250.0,10846246.0,0.7479144272994642,4,10,24
26,hk update depth,P16,H2,1,2,38,38,38,,,38,,38,,38,,search_node_potential_updates_skipped_total,38,378424.0,2918556.0,6.712396676743547,0,9,29
27,hk update depth,P16,H3,1,3,38,37,37,ch130.tsp,,37,,38,,37,,wall_seconds,37,2196.647086760029,2710.5086095985025,0.2339299407427342,11,0,26
27,hk update depth,P16,H3,1,3,38,37,37,ch130.tsp,,37,,38,,37,,branches,37,5301086.0,15607623.0,1.9442312386556262,1,11,25
27,hk update depth,P16,H3,1,3,38,37,37,ch130.tsp,,37,,38,,37,,search_node_potential_updates_skipped_total,37,376719.0,5772378.0,14.322768429519085,0,9,28
28,hk update depth,P16,H4,1,4,38,37,37,ch130.tsp,,37,,38,,37,,wall_seconds,37,2196.647086760029,4095.0377891026437,0.864221983487875,10,0,27
28,hk update depth,P16,H4,1,4,38,37,37,ch130.tsp,,37,,38,,37,,branches,37,5301086.0,28094432.0,4.29975027758463,1,11,25
28,hk update depth,P16,H4,1,4,38,37,37,ch130.tsp,,37,,38,,37,,search_node_potential_updates_skipped_total,37,376719.0,12222689.0,31.445108953888706,0,9,28
29,hk update gap ratio,HP1,hybrid,0.01,0.02,37,40,37,,ch130.tsp;ch150.tsp;pr76.tsp,37,,37,,40,,wall_seconds,37,2829.833897214383,1911.794546611607,-0.32441457129567586,25,0,12
29,hk update gap ratio,HP1,hybrid,0.01,0.02,37,40,37,,ch130.tsp;ch150.tsp;pr76.tsp,37,,37,,40,,branches,37,9731540.0,2288314.0,-0.7648559220842744,18,17,2
29,hk update gap ratio,HP1,hybrid,0.01,0.02,37,40,37,,ch130.tsp;ch150.tsp;pr76.tsp,37,,37,,40,,search_node_potential_updates_skipped_total,37,1979754.0,143492.0,-0.92752028787415,19,17,1
30,hk update iterations,helsgaun64,helsgaun128,64,128,37,36,36,u159.tsp,,36,,37,,36,,wall_seconds,36,3617.9573953971267,2302.3761758562177,-0.3636254039958101,27,0,9
30,hk update iterations,helsgaun64,helsgaun128,64,128,37,36,36,u159.tsp,,36,,37,,36,,branches,36,2248426.0,1428123.0,-0.36483433299561563,18,13,5
30,hk update iterations,helsgaun64,helsgaun128,64,128,37,36,36,u159.tsp,,36,,37,,36,,search_node_potential_updates_skipped_total,36,143986.0,156405.0,0.0862514411123303,5,28,3
31,hk update iterations,helsgaun64,helsgaun32,64,32,37,38,37,,pr76.tsp,37,,37,,38,,wall_seconds,37,4563.891177287325,4074.132445346564,-0.10731165860792125,20,0,17
31,hk update iterations,helsgaun64,helsgaun32,64,32,37,38,37,,pr76.tsp,37,,37,,38,,branches,37,2598756.0,3312190.0,0.27452904389638744,6,13,18
31,hk update iterations,helsgaun64,helsgaun32,64,32,37,38,37,,pr76.tsp,37,,37,,38,,search_node_potential_updates_skipped_total,37,144009.0,118913.0,-0.1742668860973967,6,24,7
