实例,Concorde_运行时间,Concorde_分支创建数（bbnodes）,Concorde_运行结果,B3_运行时间,B3_运行时间相对Concorde变化,B3_分支创建数,B3_运行结果,B4_运行时间,B4_运行时间相对B3变化,B4_分支创建数,B4_分支创建数相对B3变化,B4_运行结果
gr24.tsp,26.098 ms,1,1272,17.627 ms,-32.46%,1,1272,10.215 ms,-42.05%,1,0.00%,1272
gr48.tsp,79.802 ms,1,5046,14.134 s,+17611.45%,7712690,5046,1.283 s,-90.92%,759558,-90.15%,5046
hk48.tsp,46.300 ms,1,11461,42.839 ms,-7.47%,65,11461,35.045 ms,-18.19%,58,-10.77%,11461
kroC100.tsp,101.080 ms,1,20749,525.630 s,+519912.53%,146693085,20749,2.392 s,-99.54%,575795,-99.61%,20749
kroD100.tsp,136.404 ms,1,21294,786.975 s,+576845.70%,244552573,21294,12.972 s,-98.35%,3618925,-98.52%,21294
lin105.tsp,91.143 ms,1,14379,179.084 ms,+96.49%,639,14379,191.286 ms,+6.81%,235,-63.22%,14379
pr124.tsp,451.222 ms,1,59030,75.722 s,+16681.44%,15245575,59030,14.059 s,-81.43%,2855093,-81.27%,59030
rat99.tsp,1.152 s,1,1211,115.179 s,+9894.48%,32454720,1211,4.231 s,-96.33%,1328273,-95.91%,1211
rd100.tsp,91.907 ms,1,7910,496.091 s,+539673.02%,152922813,7910,1.176 s,-99.76%,230454,-99.85%,7910
st70.tsp,66.025 ms,1,675,19.674 s,+29697.99%,8085493,675,1.583 s,-91.95%,525261,-93.50%,675
swiss42.tsp,32.797 ms,1,1273,17.122 ms,-47.80%,9,1273,32.286 ms,+88.57%,7,-22.22%,1273
ulysses16.tsp,47.218 ms,1,6859,18.572 ms,-60.67%,1,6859,18.762 ms,+1.02%,1,0.00%,6859
wi29.tsp,45.293 ms,1,27603,13.557 ms,-70.07%,1,27603,13.351 ms,-1.52%,1,0.00%,27603
bier127.tsp,205.029 ms,1,118282,"1,800.000 s",+877826.02%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
brg180.tsp,209.315 ms,1,1950,"1,800.000 s",+859848.28%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
ch130.tsp,213.878 ms,1,6110,"1,800.000 s",+841502.03%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
ch150.tsp,348.523 ms,1,6528,"1,800.000 s",+516365.06%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
d198.tsp,1.006 s,3,15780,"1,800.000 s",+178855.27%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
gr120.tsp,158.176 ms,1,6942,"1,800.000 s",+1137871.45%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
gr137.tsp,341.846 ms,1,69853,"1,800.000 s",+526452.69%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
gr96.tsp,226.887 ms,1,55209,"1,800.000 s",+793246.10%,未记录,超时,108.773 s,-93.96%,34090783,未记录,55209
kroA100.tsp,111.944 ms,1,21282,"1,800.000 s",+1607845.26%,未记录,超时,229.234 s,-87.26%,63744275,未记录,21282
kroA150.tsp,483.246 ms,1,26524,"1,800.000 s",+372381.38%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroB100.tsp,184.410 ms,1,22141,"1,800.000 s",+975984.56%,未记录,超时,25.295 s,-98.59%,6730121,未记录,22141
kroB150.tsp,467.264 ms,1,26130,"1,800.000 s",+385121.58%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
kroE100.tsp,256.750 ms,1,22068,"1,800.000 s",+700971.21%,未记录,超时,577.605 s,-67.91%,150758345,未记录,22068
pr107.tsp,162.066 ms,1,44303,"1,800.000 s",+1110558.71%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr136.tsp,538.135 ms,1,96772,"1,800.000 s",+334388.25%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr144.tsp,274.462 ms,1,58537,"1,800.000 s",+655729.04%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr152.tsp,858.483 ms,1,73682,"1,800.000 s",+209572.28%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
pr76.tsp,215.731 ms,1,108159,"1,800.000 s",+834271.63%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
qa194.tsp,470.170 ms,1,9352,"1,800.000 s",+382740.57%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
rat195.tsp,2.873 s,3,2323,"1,800.000 s",+62551.95%,未记录,超时,"1,800.000 s",0.00%,未记录,未记录,超时
