instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,P32:matches_reference,PSD32:matches_reference,P32:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,P32:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,P32:branches,PSD32:branches,relative_change:branches,P32:nodes_expanded,PSD32:nodes_expanded,P32:pruned_by_bound,PSD32:pruned_by_bound,P32:pruned_infeasible,PSD32:pruned_infeasible,P32:root_potential_iterations,PSD32:root_potential_iterations,P32:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PSD32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,15.163015358017685,13.773706407790057,3.2561134677380323,2.9762308169156313,-0.08595604962649872,5119.0,4889.0,-0.044930650517679194,1765.0,1679.0,3384.0,3239.0,0.0,0.0,319.0,356.0,4732.0,4521.0,4731.0,4521.0,1.0,0.0,-1.0,78352.0,75446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.17955172171916423,0.3089309464269081,0.03686647303402424,0.04091017507016659,0.10968507978537567,18.0,8.0,-0.5555555555555556,7.0,4.0,11.0,4.0,1.0,1.0,100.0,100.0,13.0,6.0,13.0,6.0,0.0,0.0,0.0,195.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1134.1473085981813,1169.8880507432275,105.61777054145932,108.94320458360016,0.031485554231003965,406666.0,392606.0,-0.034573827170208515,74929.0,71396.0,331874.0,321356.0,0.0,1.0,320.0,330.0,384981.0,372430.0,323504.0,319738.0,61477.0,52692.0,-0.14289897034663368,1648233.0,1885453.0,0.0,0.0,0.0,0.0,61476.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,388.6648979924491,2026.9941548851546,183.42823673598468,954.6443466115743,4.204456868795128,89949.0,511863.0,4.690591335089884,28403.0,151929.0,61819.0,361602.0,0.0,0.0,400.0,400.0,86002.0,484698.0,85993.0,484684.0,9.0,14.0,0.5555555555555556,1426112.0,7704730.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.9339148509698,339.9390412663066,26.3919495921582,62.51512022316456,1.3687192946799045,29185.0,75304.0,1.580229569984581,9814.0,25184.0,19473.0,50375.0,0.0,17.0,372.0,400.0,27449.0,70329.0,27443.0,70066.0,6.0,263.0,42.833333333333336,459387.0,1175808.0,0.0,0.0,0.0,0.0,6.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,143.19338205892296,94.5044835641701,17.192988101392984,11.387536834925413,-0.33766389136261954,22282.0,14960.0,-0.3286060497262364,6636.0,4446.0,15700.0,10544.0,0.0,0.0,301.0,311.0,20676.0,14130.0,20664.0,13973.0,12.0,157.0,12.083333333333334,306097.0,203477.0,0.0,0.0,0.0,0.0,12.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,107.28839825732489,143.18777021071793,15.256532818078995,20.314322527498007,0.33151632613574766,16514.0,23169.0,0.4029914012353155,5333.0,7054.0,11243.0,16172.0,0.0,0.0,378.0,400.0,15624.0,21707.0,15331.0,21386.0,293.0,321.0,0.0955631399317407,248604.0,333498.0,0.0,0.0,0.0,0.0,292.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,413.29850191548746,181.30149844853824,97.51451370306313,42.90877685137093,-0.5599754823981338,603657.0,46593.0,-0.922815439893847,109411.0,14327.0,494438.0,32397.0,1328.0,0.0,729.0,394.0,556471.0,44047.0,465965.0,44023.0,90506.0,24.0,-0.9997348242105496,2157607.0,669192.0,0.0,0.0,0.0,0.0,90506.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,2.04037565759554,1.5743840877969992,0.24557560123503208,0.20793677866458893,-0.15326776105261497,81.0,51.0,-0.37037037037037035,26.0,16.0,55.0,35.0,0.0,0.0,333.0,307.0,51.0,30.0,51.0,29.0,0.0,1.0,,779.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.747438428342111,13.157135737030645,4.710256366059184,6.204616958275437,0.31725674275060833,3749.0,5845.0,0.5590824219791946,1387.0,2050.0,2374.0,3814.0,0.0,0.0,341.0,349.0,3497.0,5349.0,3497.0,5349.0,0.0,0.0,0.0,59072.0,88411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1190.2384268469175,58.631599103023966,297.6144673358649,14.898131392896175,-0.9499415081321189,175447.0,9064.0,-0.9483376746253854,75900.0,4104.0,107786.0,5462.0,30.0,1.0,400.0,400.0,152770.0,8011.0,152750.0,8011.0,20.0,0.0,-1.0,3157180.0,167614.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3778.690218042191,2205.8190562384134,813.1661650892347,474.7771604247391,-0.41613758564015224,2709624.0,1391537.0,-0.4864464589920964,681902.0,372985.0,2032234.0,1021351.0,103.0,119.0,361.0,400.0,2519825.0,1276343.0,2286985.0,1201478.0,232840.0,74865.0,-0.6784701941247209,24908798.0,15183662.0,0.0,0.0,0.0,0.0,232840.0,74865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,439.47998241384715,257.6851909355479,1260.4318454265594,740.2267199717462,-0.4127197573929622,315708.0,210812.0,-0.332256388814981,111928.0,74578.0,205946.0,137590.0,6.0,7.0,400.0,400.0,300400.0,200374.0,300390.0,200363.0,10.0,11.0,0.10000000000000009,5480655.0,3660495.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.6720143141592231,-0.7008350017149919,0.38069281354546547,0.3472406566143036,-0.08787178465391954,412.0,335.0,-0.18689320388349517,139.0,104.0,277.0,235.0,0.0,0.0,400.0,400.0,345.0,282.0,345.0,281.0,0.0,1.0,,5741.0,4297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,6.478038915323585,2.368626611014586,0.5869638957083225,0.2644091881811619,-0.5495307460741101,507.0,214.0,-0.5779092702169626,161.0,42.0,347.0,172.0,0.0,0.0,400.0,400.0,376.0,98.0,364.0,82.0,12.0,16.0,0.33333333333333326,6292.0,1183.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,5.13420428687289,4.67895786487516,0.4380298648029566,0.4055217318236828,-0.07421442141598555,977.0,850.0,-0.12998976458546574,329.0,290.0,657.0,566.0,0.0,0.0,361.0,400.0,857.0,734.0,855.0,724.0,2.0,10.0,4.0,15183.0,13300.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.321571462091077,-0.21875291853127243,0.02297510951757431,0.026457078754901886,0.1515539777803505,5.0,3.0,-0.4,3.0,2.0,3.0,2.0,3.0,0.0,100.0,100.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,67.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,2743.8951052894104,287.3638670072337,331.96062949858606,34.87399231828749,-0.8949453964737827,190887.0,18956.0,-0.9006951756798525,60228.0,6398.0,131295.0,12644.0,0.0,0.0,400.0,400.0,177281.0,17712.0,177251.0,17685.0,30.0,27.0,-0.09999999999999998,2803552.0,298613.0,0.0,0.0,0.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.3782357254854408,-0.5492207172519359,0.019856292754411697,0.0143958181142807,-0.2749997045101876,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.7553570818402962,-0.6601992180314764,0.011135544627904892,0.015466896817088127,0.3889663535925465,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.18208833783864975,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
