instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PS-PS16:matches_reference,PSD32:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PSD32:branches,relative_change:branches,PS-PS16:nodes_expanded,PSD32:nodes_expanded,PS-PS16:pruned_by_bound,PSD32:pruned_by_bound,PS-PS16:pruned_infeasible,PSD32:pruned_infeasible,PS-PS16:root_potential_iterations,PSD32:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PSD32:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,29.02858941358884,13.773706407790057,6.049396863207221,2.9762308169156313,-0.5080119747115224,14704.0,4889.0,-0.6675054406964092,5218.0,1679.0,9656.0,3239.0,1.0,0.0,395.0,356.0,13467.0,4521.0,13465.0,4521.0,2.0,0.0,-1.0,128098.0,75446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.08879551024448518,0.3089309464269081,0.028479374945163727,0.04091017507016659,0.43648430307680686,16.0,8.0,-0.5,6.0,4.0,10.0,4.0,0.0,1.0,100.0,100.0,13.0,6.0,13.0,6.0,0.0,0.0,0.0,94.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1654.867892533188,1169.8880507432275,154.06729487515986,108.94320458360016,-0.2928855882627366,801204.0,392606.0,-0.5099799801299045,143666.0,71396.0,658008.0,321356.0,0.0,1.0,800.0,330.0,761556.0,372430.0,639202.0,319738.0,122354.0,52692.0,-0.5693479575657518,2724311.0,1885453.0,0.0,0.0,0.0,0.0,122354.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,788.1184867391199,2026.9941548851546,371.4643360078335,954.6443466115743,1.569948859347409,291874.0,511863.0,0.7537122182859728,93977.0,151929.0,199496.0,361602.0,0.0,0.0,400.0,400.0,274330.0,484698.0,274327.0,484684.0,3.0,14.0,3.666666666666667,2570687.0,7704730.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,801.7190976687402,339.9390412663066,147.18783953227103,62.51512022316456,-0.5752698020310429,275891.0,75304.0,-0.7270516254607797,93599.0,25184.0,183791.0,50375.0,0.0,17.0,400.0,400.0,256049.0,70329.0,256045.0,70066.0,4.0,263.0,64.75,2402306.0,1175808.0,0.0,0.0,0.0,0.0,2.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,176.40903793144824,94.5044835641701,21.153477605432272,11.387536834925413,-0.46167069796594284,42335.0,14960.0,-0.6466280855084445,13263.0,4446.0,29227.0,10544.0,0.0,0.0,372.0,311.0,39616.0,14130.0,39071.0,13973.0,545.0,157.0,-0.7119266055045872,340879.0,203477.0,0.0,0.0,0.0,0.0,545.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,14.314670287496126,143.18777021071793,2.1576528381556273,20.314322527498007,8.415009758874275,3289.0,23169.0,6.044390392216479,1084.0,7054.0,2221.0,16172.0,0.0,0.0,400.0,400.0,2987.0,21707.0,2950.0,21386.0,37.0,321.0,7.675675675675675,27164.0,333498.0,0.0,0.0,0.0,0.0,34.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,502.1981259481485,181.30149844853824,118.43904894962907,42.90877685137093,-0.6377142738657113,681597.0,46593.0,-0.9316414244781007,138862.0,14327.0,543770.0,32397.0,1248.0,0.0,721.0,394.0,626734.0,44047.0,540761.0,44023.0,85973.0,24.0,-0.9997208425901155,2559291.0,669192.0,0.0,0.0,0.0,0.0,85973.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.6064550862883467,1.5743840877969992,0.2105272002518177,0.20793677866458893,-0.012304450845925352,55.0,51.0,-0.07272727272727275,19.0,16.0,36.0,35.0,0.0,0.0,348.0,307.0,38.0,30.0,38.0,29.0,0.0,1.0,,352.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,8.384934315283054,13.157135737030645,4.1131146643310785,6.204616958275437,0.5084959853129947,5484.0,5845.0,0.0658278628738147,1981.0,2050.0,3531.0,3814.0,0.0,0.0,387.0,349.0,5022.0,5349.0,5022.0,5349.0,0.0,0.0,0.0,47816.0,88411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
