instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,result_match,PPSD32:matches_reference,PS-PS32:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PS-PS32:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PS-PS32:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PS-PS32:branches,relative_change:branches,PPSD32:nodes_expanded,PS-PS32:nodes_expanded,PPSD32:pruned_by_bound,PS-PS32:pruned_by_bound,PPSD32:pruned_infeasible,PS-PS32:pruned_infeasible,PPSD32:root_potential_iterations,PS-PS32:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PS-PS32:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PS-PS32:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PS-PS32:search_node_potential_updates_skipped_zero_violation
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,1.5771063496356366,3.793523669698759,0.19829175993800163,0.368830818682909,0.8600410768366196,940.0,3285.0,2.49468085106383,315.0,931.0,627.0,2360.0,0.0,0.0,334.0,389.0,861.0,2968.0,853.0,2637.0,8.0,331.0,40.375,13858.0,31210.0,0.0,0.0,0.0,0.0,7.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,13.340336439415749,21.376939418411542,2.888926452025771,4.507936928421259,0.5604194164445433,4498.0,7508.0,0.6691863050244553,1588.0,2633.0,2945.0,4929.0,0.0,2.0,319.0,395.0,4127.0,6920.0,4127.0,6919.0,0.0,1.0,,70553.0,116739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.3167424039663138,0.4542934619076575,0.041154319420456886,0.045453429222106934,0.10446314900090559,16.0,8.0,-0.5,6.0,3.0,10.0,5.0,1.0,0.0,100.0,100.0,13.0,6.0,13.0,6.0,0.0,0.0,0.0,174.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1068.7800510820314,1695.3367978385259,99.53578985668719,157.83265248313546,0.5856874468006412,411334.0,802021.0,0.9498047815157511,76131.0,140484.0,335341.0,661668.0,0.0,0.0,320.0,800.0,389194.0,762490.0,327718.0,637206.0,61476.0,125284.0,1.0379335025050427,1759135.0,2961931.0,0.0,0.0,0.0,0.0,61476.0,125283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,394.4947826613981,430.55262800034666,186.1725574862212,203.14618540368974,0.0911714816976974,93072.0,108659.0,0.16747249441292755,29374.0,33659.0,64008.0,75347.0,0.0,0.0,400.0,400.0,89016.0,103058.0,89008.0,103058.0,8.0,0.0,-1.0,1471657.0,1676975.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,146.82055855977077,297.26191076716356,27.104610711336136,54.68977427855134,1.017729561254244,32195.0,68354.0,1.1231247088057152,10985.0,23090.0,21316.0,45442.0,0.0,0.0,372.0,400.0,30241.0,63556.0,30235.0,63554.0,6.0,2.0,-0.6666666666666667,511029.0,1055735.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,180.6588369797491,127.05070653219283,21.660205053165555,15.268206087872386,-0.2951033450331535,28723.0,22086.0,-0.23106917801065352,8579.0,6695.0,20210.0,15428.0,0.0,0.0,301.0,372.0,26783.0,20736.0,26771.0,20191.0,12.0,545.0,44.416666666666664,396449.0,285061.0,0.0,0.0,0.0,0.0,12.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,116.91503128810304,20.56331799611347,16.61280962266028,3.0380121413618326,-0.8171283358825765,18227.0,3202.0,-0.8243265485269107,5945.0,1041.0,12341.0,2169.0,0.0,0.0,378.0,400.0,17193.0,2884.0,16900.0,2848.0,293.0,36.0,-0.8771331058020477,277246.0,45924.0,0.0,0.0,0.0,0.0,292.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,807.132044138909,415.19561716207136,190.21213672682643,97.96104264259338,-0.48499057773963006,759297.0,643602.0,-0.15237120652392933,155933.0,116727.0,603985.0,527070.0,1340.0,1372.0,729.0,721.0,701783.0,589948.0,611434.0,496768.0,90349.0,93180.0,0.031334049076359394,4394177.0,2391216.0,0.0,0.0,0.0,0.0,90348.0,93180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.9939113571808926,1.681838566413301,0.24182261154055595,0.21661603450775146,-0.10423581513830893,103.0,60.0,-0.41747572815533984,33.0,19.0,70.0,41.0,0.0,0.0,333.0,348.0,63.0,38.0,63.0,38.0,0.0,0.0,0.0,1035.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
