instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,P32:matches_reference,PSD-PSD32:matches_reference,P32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,P32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,P32:branches,PSD-PSD32:branches,relative_change:branches,P32:nodes_expanded,PSD-PSD32:nodes_expanded,P32:pruned_by_bound,PSD-PSD32:pruned_by_bound,P32:pruned_infeasible,PSD-PSD32:pruned_infeasible,P32:root_potential_iterations,PSD-PSD32:root_potential_iterations,P32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1134.1473085981813,1095.7270537998095,105.61777054145932,102.04302599094808,-0.03384605196819612,406666.0,381632.0,-0.06155911731002839,74929.0,68484.0,331874.0,313270.0,0.0,1.0,320.0,330.0,384981.0,362244.0,323504.0,309551.0,61477.0,52693.0,-0.14288270410072057,1648233.0,1789169.0,0.0,0.0,0.0,0.0,61476.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,388.6648979924491,2221.6674832695385,183.42823673598468,1046.283561611548,4.704048516355223,89949.0,575263.0,5.395435191052708,28403.0,177732.0,61819.0,399465.0,0.0,0.0,400.0,400.0,86002.0,546887.0,85993.0,546872.0,9.0,15.0,0.6666666666666667,1426112.0,8831611.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.9339148509698,314.83349286124735,26.3919495921582,57.91172727942467,1.194295160999849,29185.0,72957.0,1.4998115470275826,9814.0,24363.0,19473.0,48834.0,0.0,14.0,372.0,400.0,27449.0,67837.0,27443.0,67575.0,6.0,262.0,42.666666666666664,459387.0,1131580.0,0.0,0.0,0.0,0.0,6.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,143.19338205892296,113.53353417750412,17.192988101392984,13.656477587297559,-0.2056949317500485,22282.0,17971.0,-0.19347455345121622,6636.0,5460.0,15700.0,12541.0,0.0,0.0,301.0,311.0,20676.0,16968.0,20664.0,16811.0,12.0,157.0,12.083333333333334,306097.0,245368.0,0.0,0.0,0.0,0.0,12.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,107.28839825732489,144.09696868746502,15.256532818078995,20.442417657002807,0.3399124100318873,16514.0,23990.0,0.45270679423519433,5333.0,7349.0,11243.0,16715.0,0.0,0.0,378.0,400.0,15624.0,22403.0,15331.0,22084.0,293.0,319.0,0.0887372013651877,248604.0,345840.0,0.0,0.0,0.0,0.0,292.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,413.29850191548746,174.77852863180937,97.51451370306313,41.37344851531088,-0.5757200959716087,603657.0,47086.0,-0.9219987509463156,109411.0,14849.0,494438.0,32376.0,1328.0,0.0,729.0,394.0,556471.0,44421.0,465965.0,44396.0,90506.0,25.0,-0.9997237752193224,2157607.0,689109.0,0.0,0.0,0.0,0.0,90506.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,2.04037565759554,1.8792897106855202,0.24557560123503208,0.23256445303559303,-0.05298225122530198,81.0,106.0,0.308641975308642,26.0,35.0,55.0,71.0,0.0,0.0,333.0,307.0,51.0,66.0,51.0,66.0,0.0,0.0,0.0,779.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.747438428342111,15.249879101925078,4.710256366059184,7.121799021959305,0.5119769431823362,3749.0,6326.0,0.6873833022139237,1387.0,2171.0,2374.0,4178.0,0.0,0.0,341.0,349.0,3497.0,5817.0,3497.0,5817.0,0.0,0.0,0.0,59072.0,95247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1190.2384268469175,51.11017452484937,297.6144673358649,13.019007349386811,-0.9562554620884927,175447.0,7984.0,-0.9544933797671091,75900.0,3599.0,107786.0,4809.0,30.0,5.0,400.0,400.0,152770.0,7008.0,152750.0,7008.0,20.0,0.0,-1.0,3157180.0,145900.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3778.690218042191,2137.93937829503,813.1661650892347,460.17346165142953,-0.43409664419457084,2709624.0,1398711.0,-0.48379885917750953,681902.0,373854.0,2032234.0,1027487.0,103.0,97.0,361.0,400.0,2519825.0,1281311.0,2286985.0,1206444.0,232840.0,74867.0,-0.6784616045353031,24908798.0,15310869.0,0.0,0.0,0.0,0.0,232840.0,74865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
