instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,PS-PS32:matches_reference,PS32:matches_reference,PS-PS32:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,PS-PS32:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,PS-PS32:branches,PS32:branches,relative_change:branches,PS-PS32:nodes_expanded,PS32:nodes_expanded,PS-PS32:pruned_by_bound,PS32:pruned_by_bound,PS-PS32:pruned_infeasible,PS32:pruned_infeasible,PS-PS32:root_potential_iterations,PS32:root_potential_iterations,PS-PS32:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,PS-PS32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_iterations,PS32:search_node_potential_iterations,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,21.376939418411542,20.97194962708371,4.507936928421259,4.426349880173802,-0.018098533662499472,7508.0,7696.0,0.02503995737879605,2633.0,2629.0,4929.0,5107.0,2.0,0.0,395.0,395.0,6920.0,7097.0,6919.0,7094.0,1.0,3.0,2.0,116739.0,116923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.4542934619076575,0.2764946905223815,0.045453429222106934,0.039896391332149506,-0.12225783587863337,8.0,12.0,0.5,3.0,4.0,5.0,8.0,0.0,0.0,100.0,100.0,6.0,8.0,6.0,8.0,0.0,0.0,0.0,56.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1695.3367978385259,1635.003104767972,157.83265248313546,152.2190108858049,-0.0355670484466476,802021.0,794543.0,-0.009323945382976206,140484.0,138796.0,661668.0,655917.0,0.0,0.0,800.0,800.0,762490.0,755865.0,637206.0,630970.0,125284.0,124895.0,-0.003104945563679351,2961931.0,2807916.0,0.0,0.0,0.0,0.0,125283.0,124895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,430.55262800034666,1163.7092721795607,203.14618540368974,548.2674195356667,1.6988811945750104,108659.0,315468.0,1.903284587562926,33659.0,90312.0,75347.0,226128.0,0.0,0.0,400.0,400.0,103058.0,293001.0,103058.0,293001.0,0.0,0.0,0.0,1676975.0,4591550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,297.26191076716356,388.7099577630356,54.68977427855134,71.45783237740397,0.3066031688748232,68354.0,89761.0,0.3131784533458173,23090.0,29785.0,45442.0,60222.0,0.0,0.0,400.0,400.0,63556.0,83683.0,63554.0,83680.0,2.0,3.0,0.5,1055735.0,1383685.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,127.05070653219283,126.46193174604754,15.268206087872386,15.19800315797329,-0.004597981550357733,22086.0,21576.0,-0.0230915512089106,6695.0,6504.0,15428.0,15115.0,0.0,0.0,372.0,372.0,20736.0,20325.0,20191.0,19780.0,545.0,545.0,0.0,285061.0,279851.0,0.0,0.0,0.0,0.0,545.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,20.56331799611347,15.357315665611925,3.0380121413618326,2.304549030959606,-0.24142863039166162,3202.0,2322.0,-0.27482823235477827,1041.0,728.0,2169.0,1599.0,0.0,0.0,400.0,400.0,2884.0,2091.0,2848.0,2056.0,36.0,35.0,-0.02777777777777779,45924.0,32510.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,415.19561716207136,356.38233370553644,97.96104264259338,84.11800746619701,-0.14131163575812566,643602.0,624452.0,-0.029754413441847594,116727.0,110762.0,527070.0,513862.0,1372.0,1373.0,721.0,721.0,589948.0,571472.0,496768.0,478280.0,93180.0,93192.0,0.00012878300064400605,2391216.0,2065800.0,0.0,0.0,0.0,0.0,93180.0,93192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.681838566413301,1.7485390077555611,0.21661603450775146,0.2220035269856453,0.02487116196239403,60.0,50.0,-0.16666666666666663,19.0,17.0,41.0,33.0,0.0,0.0,348.0,348.0,38.0,28.0,38.0,28.0,0.0,0.0,0.0,586.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.779597805023231,9.910349524615755,4.724350785836577,4.781655056402087,0.012129554549019872,4366.0,4305.0,-0.013971598717361422,1574.0,1540.0,2795.0,2773.0,0.0,0.0,387.0,387.0,4030.0,3996.0,4030.0,3996.0,0.0,0.0,0.0,66427.0,66762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
