instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32-no-node-update:status,P32-no-node-update:successful_repeats,P32-no-node-update:result,P33>1%:status,P33>1%:successful_repeats,P33>1%:result,result_match,P32-no-node-update:matches_reference,P33>1%:matches_reference,P32-no-node-update:wall_vs_Concorde_relative_change,P33>1%:wall_vs_Concorde_relative_change,P32-no-node-update:wall_seconds,P33>1%:wall_seconds,relative_change:wall_seconds,P32-no-node-update:branches,P33>1%:branches,relative_change:branches,P32-no-node-update:nodes_expanded,P33>1%:nodes_expanded,P32-no-node-update:pruned_by_bound,P33>1%:pruned_by_bound,P32-no-node-update:pruned_infeasible,P33>1%:pruned_infeasible,P32-no-node-update:root_potential_iterations,P33>1%:root_potential_iterations,P32-no-node-update:search_node_potential_update_candidates,P33>1%:search_node_potential_update_candidates,P32-no-node-update:search_node_potential_updates_triggered,P33>1%:search_node_potential_updates_triggered,P32-no-node-update:search_node_potential_updates_skipped_total,P33>1%:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32-no-node-update:search_node_potential_iterations,P33>1%:search_node_potential_iterations,P32-no-node-update:search_node_potential_updates_skipped_budget_exhausted,P33>1%:search_node_potential_updates_skipped_budget_exhausted,P32-no-node-update:search_node_potential_updates_skipped_depth_interval,P33>1%:search_node_potential_updates_skipped_depth_interval,P32-no-node-update:search_node_potential_updates_skipped_gap_above_maximum,P33>1%:search_node_potential_updates_skipped_gap_above_maximum,P32-no-node-update:search_node_potential_updates_skipped_gap_below_minimum,P33>1%:search_node_potential_updates_skipped_gap_below_minimum,P32-no-node-update:search_node_potential_updates_skipped_invalid_state,P33>1%:search_node_potential_updates_skipped_invalid_state,P32-no-node-update:search_node_potential_updates_skipped_numerically_unsafe,P33>1%:search_node_potential_updates_skipped_numerically_unsafe,P32-no-node-update:search_node_potential_updates_skipped_strategy_none,P33>1%:search_node_potential_updates_skipped_strategy_none,P32-no-node-update:search_node_potential_updates_skipped_update_depth_zero,P33>1%:search_node_potential_updates_skipped_update_depth_zero,P32-no-node-update:search_node_potential_updates_skipped_zero_iteration_limit,P33>1%:search_node_potential_updates_skipped_zero_iteration_limit,P32-no-node-update:search_node_potential_updates_skipped_zero_violation,P33>1%:search_node_potential_updates_skipped_zero_violation
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,339.1829393190776,385.0512235273523,40.56192555092275,46.031059108674526,0.1348341698148834,11756617.0,12830193.0,0.09131674528480427,8463763.0,9387107.0,6839324.0,7415304.0,3514.0,2734.0,618.0,618.0,8463761.0,9387106.0,0.0,170.0,8463761.0,9386936.0,0.10907385026585703,0.0,5434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9386934.0,0.0,0.0,0.0,0.0,8463761.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,3251.157744954055,177.11502453494214,458.18990920484066,25.094264583662152,-0.94523173889357,129214031.0,6388200.0,-0.9505610965731732,90688415.0,4387581.0,77948748.0,3824577.0,1132.0,160.0,778.0,778.0,90688413.0,4387581.0,0.0,135.0,90688413.0,4387446.0,-0.9516206552208605,0.0,4277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4387435.0,0.0,0.0,0.0,0.0,90688413.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.3398964035735665,1.3932067979848006,0.18899686448276043,0.1933028232306242,0.022783228492431196,348.0,360.0,0.034482758620689724,225.0,231.0,212.0,215.0,3.0,2.0,333.0,333.0,224.0,230.0,0.0,1.0,224.0,229.0,0.022321428571428603,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.199388986276112,2.8321566753710674,3.593528302386403,1.679510936141014,-0.5326289944549265,660814.0,236436.0,-0.6422049169660449,487141.0,176703.0,383782.0,138024.0,84.0,16.0,341.0,341.0,487140.0,176702.0,0.0,37.0,487140.0,176665.0,-0.6373424477562919,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176665.0,0.0,0.0,0.0,0.0,487140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.5815838767462996,-0.6842764078324362,0.48565537482500076,0.366460207849741,-0.24543158205179982,91741.0,56265.0,-0.3866973327083856,67911.0,44301.0,52854.0,31364.0,346.0,3.0,400.0,400.0,67910.0,44300.0,0.0,6.0,67910.0,44294.0,-0.34775438079811516,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44292.0,0.0,0.0,0.0,0.0,67910.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,25.475888791773233,11.905502893409533,2.078137196600437,1.0129747036844492,-0.5125563868730398,525879.0,179941.0,-0.657828131566387,350903.0,133000.0,302332.0,103118.0,0.0,0.0,400.0,400.0,350902.0,132999.0,0.0,18.0,350902.0,132981.0,-0.621030943112322,0.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132977.0,0.0,0.0,0.0,0.0,350902.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,267.56769779894785,39.665680659052114,19.177821092307568,2.903845677152276,-0.8485831282305037,8607708.0,1023830.0,-0.8810566064741043,5632636.0,784165.0,5120096.0,594803.0,46294.0,132.0,734.0,361.0,5632634.0,784164.0,0.0,16.0,5632634.0,784148.0,-0.860784847728434,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784148.0,0.0,0.0,0.0,0.0,5632634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.29198348142925834,0.29000022770731615,0.04375326260924339,0.04368609935045242,-0.0015350457265507211,8.0,8.0,0.0,4.0,4.0,2.0,2.0,6.0,6.0,100.0,100.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.31024178269484226,0.9155701928978444,0.041843099519610405,0.061174506321549416,0.4619974864165848,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,0.08315493955999997,-0.12102523034188462,0.04930255189538002,0.040008772164583206,-0.1885050443335714,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.18208833783864975,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d198.tsp,ok,0.9902167804539204,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,timeout,0,,ok,1,6942.0,,,True,,999.8590077471562,,160.03164547495544,,,33477059.0,,,23949082.0,,19284144.0,,0.0,,400.0,,23949081.0,,30.0,,23949051.0,,,960.0,,0.0,,0.0,,0.0,,23949045.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,timeout,0,,ok,1,22141.0,,,True,,6228.44168529863,,1142.2402504365891,,,315734708.0,,,225004712.0,,184715670.0,,540133.0,,745.0,,225004710.0,,97.0,,225004613.0,,,3104.0,,0.0,,0.0,,0.0,,225004613.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
kroB150.tsp,ok,0.46501733362674713,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.15831930935382843,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.5037562884390354,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,timeout,0,,ok,1,58537.0,,,True,,2000.4873840919238,,500.0439779907465,,,30259466.0,,,22675624.0,,17404178.0,,825178.0,,400.0,,22675623.0,,236.0,,22675387.0,,,7552.0,,0.0,,0.0,,0.0,,22675387.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
pr152.tsp,ok,0.8909101411700249,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,timeout,0,,ok,1,108159.0,,,True,,2110.562930213687,,454.28366645239294,,,107673822.0,,,75727423.0,,64820544.0,,173410.0,,361.0,,75730677.0,,54982.0,,75675695.0,,,1698268.0,,0.0,,0.0,,0.0,,75675689.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0
qa194.tsp,ok,0.48868450708687305,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rat195.tsp,ok,2.86149631254375,2323.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si175.tsp,ok,1.865148700773716,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u159.tsp,ok,0.12093745544552803,42080.0,1.0,timeout,0,,ok,1,42080.0,,,True,,6945.995582832144,,840.1519687790424,,,37521797.0,,,28697653.0,,21122253.0,,46.0,,800.0,,28697651.0,,41.0,,28697610.0,,,1312.0,,0.0,,0.0,,0.0,,28697603.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7.0
xqf131.tsp,ok,0.36307481303811073,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
