instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32-no-node-update:status,P32-no-node-update:successful_repeats,P32-no-node-update:result,gap0.005-0.03:status,gap0.005-0.03:successful_repeats,gap0.005-0.03:result,result_match,P32-no-node-update:matches_reference,gap0.005-0.03:matches_reference,P32-no-node-update:wall_vs_Concorde_relative_change,gap0.005-0.03:wall_vs_Concorde_relative_change,P32-no-node-update:wall_seconds,gap0.005-0.03:wall_seconds,relative_change:wall_seconds,P32-no-node-update:branches,gap0.005-0.03:branches,relative_change:branches,P32-no-node-update:nodes_expanded,gap0.005-0.03:nodes_expanded,P32-no-node-update:pruned_by_bound,gap0.005-0.03:pruned_by_bound,P32-no-node-update:pruned_infeasible,gap0.005-0.03:pruned_infeasible,P32-no-node-update:root_potential_iterations,gap0.005-0.03:root_potential_iterations,P32-no-node-update:search_node_potential_update_candidates,gap0.005-0.03:search_node_potential_update_candidates,P32-no-node-update:search_node_potential_updates_triggered,gap0.005-0.03:search_node_potential_updates_triggered,P32-no-node-update:search_node_potential_updates_skipped_total,gap0.005-0.03:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32-no-node-update:search_node_potential_iterations,gap0.005-0.03:search_node_potential_iterations,P32-no-node-update:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.03:search_node_potential_updates_skipped_budget_exhausted,P32-no-node-update:search_node_potential_updates_skipped_depth_interval,gap0.005-0.03:search_node_potential_updates_skipped_depth_interval,P32-no-node-update:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.03:search_node_potential_updates_skipped_gap_above_maximum,P32-no-node-update:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.03:search_node_potential_updates_skipped_gap_below_minimum,P32-no-node-update:search_node_potential_updates_skipped_invalid_state,gap0.005-0.03:search_node_potential_updates_skipped_invalid_state,P32-no-node-update:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.03:search_node_potential_updates_skipped_numerically_unsafe,P32-no-node-update:search_node_potential_updates_skipped_strategy_none,gap0.005-0.03:search_node_potential_updates_skipped_strategy_none,P32-no-node-update:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.03:search_node_potential_updates_skipped_update_depth_zero,P32-no-node-update:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.03:search_node_potential_updates_skipped_zero_iteration_limit,P32-no-node-update:search_node_potential_updates_skipped_zero_violation,gap0.005-0.03:search_node_potential_updates_skipped_zero_violation
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,339.1829393190776,79.36348385471528,40.56192555092275,9.58219026401639,-0.7637639206258441,11756617.0,1714367.0,-0.8541785447293213,8463763.0,1251106.0,6839324.0,992055.0,3514.0,68.0,618.0,618.0,8463761.0,1251536.0,0.0,2139.0,8463761.0,1249397.0,-0.8523827645889339,0.0,60087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249397.0,0.0,0.0,0.0,0.0,8463761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,3251.157744954055,35.91510417411711,458.18990920484066,5.20089416205883,-0.9886490425529347,129214031.0,865718.0,-0.993300123885153,90688415.0,595906.0,77948748.0,510660.0,1132.0,0.0,778.0,778.0,90688413.0,596061.0,0.0,862.0,90688413.0,595199.0,-0.9934368793067313,0.0,24677.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,595190.0,0.0,0.0,0.0,0.0,90688413.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.3398964035735665,1.4041026014963478,0.18899686448276043,0.19418289326131344,0.027439760933314572,348.0,314.0,-0.0977011494252874,225.0,199.0,212.0,189.0,3.0,2.0,333.0,333.0,224.0,198.0,0.0,7.0,224.0,191.0,-0.1473214285714286,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.199388986276112,2.1798621653570485,3.593528302386403,1.3936312459409237,-0.6121830333114571,660814.0,57069.0,-0.9136383309070328,487141.0,42078.0,383782.0,32875.0,84.0,1.0,341.0,341.0,487140.0,42119.0,0.0,417.0,487140.0,41702.0,-0.9143942193209345,0.0,12639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41701.0,0.0,0.0,0.0,0.0,487140.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.5815838767462996,-0.7772772517794094,0.48565537482500076,0.2585141770541668,-0.46770036850242047,91741.0,19062.0,-0.7922194002681462,67911.0,14654.0,52854.0,10460.0,346.0,4.0,400.0,400.0,67910.0,14655.0,0.0,30.0,67910.0,14625.0,-0.7846414371962892,0.0,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14623.0,0.0,0.0,0.0,0.0,67910.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,25.475888791773233,5.099949492053898,2.078137196600437,0.4787953309714794,-0.7696035989564469,525879.0,50823.0,-0.9033560952234259,350903.0,38551.0,302332.0,28932.0,0.0,0.0,400.0,400.0,350902.0,38556.0,0.0,60.0,350902.0,38496.0,-0.8902941562031564,0.0,1847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38492.0,0.0,0.0,0.0,0.0,350902.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,267.56769779894785,5.919825975885909,19.177821092307568,0.49412935972213745,-0.974234332599946,8607708.0,112751.0,-0.9869011588218374,5632636.0,82645.0,5120096.0,64683.0,46294.0,33.0,734.0,361.0,5632634.0,82681.0,0.0,194.0,5632634.0,82487.0,-0.985355519282808,0.0,5459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82486.0,0.0,0.0,0.0,0.0,5632634.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.29198348142925834,0.23249191996538854,0.04375326260924339,0.04173856973648071,-0.046046688923651935,8.0,8.0,0.0,4.0,4.0,2.0,2.0,6.0,6.0,100.0,100.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.31024178269484226,0.6580863588030439,0.041843099519610405,0.05295165628194809,0.26548121171404837,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,0.08315493955999997,-0.14562685463811198,0.04930255189538002,0.0388889666646719,-0.21121797615680715,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
