instance,threshold,repeat,cost,root_lower_bound,seconds,created,expanded,triggered,skipped_change,potential_iterations,potential_seconds,rebuild_seconds,lkh_calls,lkh_failures
pr124,0.0005,3,59030.0,58060.599998730104,0.468782334,8201,3886,3569,3497,26004,0.37638045999999953,0.021797575999999996,1,0
kroC100,0.0005,3,20749.0,20472.489999725905,0.736946125,33056,15657,12765,15263,61948,0.6395570179999972,0.012787249999999991,1,0
u159,0.0005,3,42080.0,41924.95999885369,0.479908791,10415,4917,4088,4787,19892,0.359170364,0.005363327999999999,1,0
eil101,0.0,3,629.0,627.3099999934485,0.034178792,61,17,52,0,899,0.004361293,0.000137875,1,0
gr96,0.0,3,55209.0,54569.47999942845,0.19467725,1267,453,1198,0,20034,0.14235598599999993,0.012265006999999984,1,0
pr124,0.0,3,59030.0,58060.599998730104,0.551543125,2156,750,2005,0,33037,0.4464154810000008,0.043007581999999975,1,0
kroC100,0.0,3,20749.0,20472.489999725905,1.369236375,9726,3082,9167,0,142190,1.2135383420000014,0.09378275100000016,1,0
u159,0.0,3,42080.0,41924.95999885369,0.444000542,1440,479,1340,0,21919,0.330722671,0.019857234000000012,1,0
eil101,0.0001,3,629.0,627.3099999934485,0.03899125,487,216,229,215,1517,0.009027500000000003,0.0,1,0
gr96,0.0001,3,55209.0,54569.47999942845,0.232589625,5676,2731,2621,2367,24763,0.17576598500000026,0.009655456999999996,1,0
pr124,0.0001,3,59030.0,58060.599998730104,0.494846625,5343,2503,2725,1994,27011,0.3960648139999991,0.03220920000000003,1,0
kroC100,0.0001,3,20749.0,20472.489999725905,0.738825667,17262,7442,8832,6569,67261,0.6473746860000008,0.02690834600000002,1,0
u159,0.0001,3,42080.0,41924.95999885369,0.361735125,4364,1917,2150,1740,15108,0.2550190749999996,0.0070591180000000005,1,0
u159,0.0005,4,42080.0,41924.95999885369,0.480830416,10415,4917,4088,4787,19892,0.36072977000000045,0.005300083999999998,1,0
kroC100,0.0005,4,20749.0,20472.489999725905,0.738816125,33056,15657,12765,15263,61948,0.6409294150000032,0.012839847000000001,1,0
pr124,0.0005,4,59030.0,58060.599998730104,0.471111584,8201,3886,3569,3497,26004,0.37801508899999925,0.021887093999999996,1,0
gr96,0.0005,4,55209.0,54569.47999942845,0.223109875,10890,5358,3762,5153,22335,0.16470590100000074,0.0057013299999999975,1,0
eil101,0.0005,4,629.0,627.3099999934485,0.045055875,2024,1226,490,1225,2052,0.013584125,0.0,1,0
u159,0.0,4,42080.0,41924.95999885369,0.445393208,1440,479,1340,0,21919,0.3318801049999998,0.020192171999999994,1,0
kroC100,0.0,4,20749.0,20472.489999725905,1.368200625,9726,3082,9167,0,142190,1.2121289689999981,0.09376873199999994,1,0
pr124,0.0,4,59030.0,58060.599998730104,0.553877792,2156,750,2005,0,33037,0.4486642279999999,0.04296128800000006,1,0
gr96,0.0,4,55209.0,54569.47999942845,0.195532916,1267,453,1198,0,20034,0.14293612699999975,0.012277920999999999,1,0
eil101,0.0,4,629.0,627.3099999934485,0.0345265,61,17,52,0,899,0.004453251999999998,0.00011866700000000001,1,0
u159,0.0001,4,42080.0,41924.95999885369,0.362899,4364,1917,2150,1740,15108,0.2555358859999998,0.007185120000000001,1,0
kroC100,0.0001,4,20749.0,20472.489999725905,0.739115542,17262,7442,8832,6569,67261,0.646844521999998,0.027103526999999957,1,0
pr124,0.0001,4,59030.0,58060.599998730104,0.482232167,5343,2503,2725,1994,27011,0.38654434500000007,0.028987714999999976,1,0
gr96,0.0001,4,55209.0,54569.47999942845,0.2325685,5676,2731,2621,2367,24763,0.1764125429999996,0.009737035999999998,1,0
eil101,0.0001,4,629.0,627.3099999934485,0.03855475,487,216,229,215,1517,0.008786746999999998,0.0,1,0
u159,0.00025,4,42080.0,41924.95999885369,0.420606625,7625,3484,3374,3356,17115,0.306927999,0.005268042000000002,1,0
kroC100,0.00025,4,20749.0,20472.489999725905,0.644943042,20428,9338,9017,8814,55718,0.5608240779999981,0.01666858100000001,1,0
pr124,0.00025,4,59030.0,58060.599998730104,0.448506958,6216,2939,2889,2525,24571,0.35596487900000057,0.023586951000000002,1,0
gr96,0.00025,4,55209.0,54569.47999942845,0.269029666,10735,5199,4026,4869,28648,0.20664488799999944,0.008941713000000006,1,0
eil101,0.00025,4,629.0,627.3099999934485,0.057683625,1936,1086,546,1085,2340,0.015331543,0.0,1,0
eil101,0.0,5,629.0,627.3099999934485,0.034944459,61,17,52,0,899,0.004434212000000001,0.00011087400000000001,1,0
gr96,0.0,5,55209.0,54569.47999942845,0.19544575,1267,453,1198,0,20034,0.1425449170000002,0.012349782000000002,1,0
pr124,0.0,5,59030.0,58060.599998730104,0.556006292,2156,750,2005,0,33037,0.4501909050000008,0.04304662000000001,1,0
kroC100,0.0,5,20749.0,20472.489999725905,1.373522167,9726,3082,9167,0,142190,1.2167021999999943,0.09407923399999969,1,0
u159,0.0,5,42080.0,41924.95999885369,0.445204417,1440,479,1340,0,21919,0.33212895499999995,0.019697667,1,0
eil101,0.0001,5,629.0,627.3099999934485,0.03899325,487,216,229,215,1517,0.009124128999999998,0.0,1,0
gr96,0.0001,5,55209.0,54569.47999942845,0.232593416,5676,2731,2621,2367,24763,0.17646279800000006,0.00980930300000001,1,0
pr124,0.0001,5,59030.0,58060.599998730104,0.481891625,5343,2503,2725,1994,27011,0.38633836399999943,0.028985492999999984,1,0
kroC100,0.0001,5,20749.0,20472.489999725905,0.741560625,17262,7442,8832,6569,67261,0.6495246349999969,0.026995954999999988,1,0
u159,0.0001,5,42080.0,41924.95999885369,0.3626745,4364,1917,2150,1740,15108,0.2556595300000004,0.007201880999999995,1,0
eil101,0.00025,5,629.0,627.3099999934485,0.046983792,1936,1086,546,1085,2340,0.015468326000000003,0.0,1,0
gr96,0.00025,5,55209.0,54569.47999942845,0.268239042,10735,5199,4026,4869,28648,0.2060110660000008,0.008988129000000004,1,0
pr124,0.00025,5,59030.0,58060.599998730104,0.444665792,6216,2939,2889,2525,24571,0.35439917299999946,0.023087502,1,0
kroC100,0.00025,5,20749.0,20472.489999725905,0.648539917,20428,9338,9017,8814,55718,0.563997625,0.016714245999999995,1,0
u159,0.00025,5,42080.0,41924.95999885369,0.420717792,7625,3484,3374,3356,17115,0.307115937,0.005218663,1,0
eil101,0.0005,5,629.0,627.3099999934485,0.045448292,2024,1226,490,1225,2052,0.013584505000000007,0.0,1,0
gr96,0.0005,5,55209.0,54569.47999942845,0.224401208,10890,5358,3762,5153,22335,0.16559024100000005,0.0056468809999999986,1,0
pr124,0.0005,5,59030.0,58060.599998730104,0.48392225,8201,3886,3569,3497,26004,0.3881147099999993,0.022486114999999973,1,0
kroC100,0.0005,5,20749.0,20472.489999725905,0.743014875,33056,15657,12765,15263,61948,0.6453249059999987,0.012834213000000002,1,0
u159,0.0005,5,42080.0,41924.95999885369,0.482919875,10415,4917,4088,4787,19892,0.36178967699999964,0.005349126000000001,1,0
