instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,D0:status,D0:successful_repeats,D0:result,D1:status,D1:successful_repeats,D1:result,result_match,D0:matches_reference,D1:matches_reference,D0:wall_vs_Concorde_symmetric_change,D1:wall_vs_Concorde_symmetric_change,D0:wall_seconds,D1:wall_seconds,symmetric_change:wall_seconds,D0:branches,D1:branches,symmetric_change:branches,D0:nodes_expanded,D1:nodes_expanded,D0:pruned_by_bound,D1:pruned_by_bound,D0:pruned_infeasible,D1:pruned_infeasible,D0:root_potential_iterations,D1:root_potential_iterations,D0:search_node_potential_update_candidates,D1:search_node_potential_update_candidates,D0:search_node_potential_updates_triggered,D1:search_node_potential_updates_triggered,D0:search_node_potential_updates_skipped_total,D1:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,D0:search_node_potential_iterations,D1:search_node_potential_iterations,D0:search_node_potential_updates_skipped_budget_exhausted,D1:search_node_potential_updates_skipped_budget_exhausted,D0:search_node_potential_updates_skipped_depth_interval,D1:search_node_potential_updates_skipped_depth_interval,D0:search_node_potential_updates_skipped_gap_above_maximum,D1:search_node_potential_updates_skipped_gap_above_maximum,D0:search_node_potential_updates_skipped_gap_below_minimum,D1:search_node_potential_updates_skipped_gap_below_minimum,D0:search_node_potential_updates_skipped_invalid_state,D1:search_node_potential_updates_skipped_invalid_state,D0:search_node_potential_updates_skipped_numerically_unsafe,D1:search_node_potential_updates_skipped_numerically_unsafe,D0:search_node_potential_updates_skipped_strategy_none,D1:search_node_potential_updates_skipped_strategy_none,D0:search_node_potential_updates_skipped_update_depth_zero,D1:search_node_potential_updates_skipped_update_depth_zero,D0:search_node_potential_updates_skipped_zero_iteration_limit,D1:search_node_potential_updates_skipped_zero_iteration_limit,D0:search_node_potential_updates_skipped_zero_violation,D1:search_node_potential_updates_skipped_zero_violation
kroC100.tsp,ok,0.13113335333764553,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,237.10527471339003,276.72744705549155,31.22354312054813,36.419331446290016,0.166406109187607,6988273.0,8892308.0,0.2724614507761789,5028819.0,6305937.0,4081345.0,5168210.0,2589.0,2575.0,618.0,618.0,5032846.0,6311016.0,6000.0,6000.0,5026846.0,6305016.0,0.25426878006606923,52644.0,36220.0,5026834.0,6302460.0,0.0,2545.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.16673828661441803,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,241.3454541942767,1501.8256818575649,40.40826580114663,250.57857927307487,5.2011713273269065,9422607.0,63405303.0,5.72906160683556,6567408.0,44593789.0,5716019.0,38374049.0,659.0,631.0,778.0,778.0,6571488.0,44598807.0,6000.0,6000.0,6565488.0,44592807.0,5.79200190450428,53023.0,38628.0,6565442.0,44590123.0,0.0,2662.0,46.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.11971067078411579,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,0.7566036204260091,0.7416634415592407,0.21028419770300388,0.20849569886922836,-0.008578109013640978,65.0,74.0,0.1384615384615384,18.0,28.0,47.0,48.0,0.0,0.0,333.0,333.0,33.0,49.0,31.0,32.0,2.0,17.0,7.5,303.0,219.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
pr124.tsp,ok,0.5397818107157946,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,8.148277309367623,9.730050799371371,4.938073690980673,5.7918862495571375,0.17290397268391167,137396.0,395726.0,1.8801857404873505,101073.0,296193.0,79134.0,231427.0,0.0,471.0,341.0,341.0,103376.0,300042.0,3781.0,5000.0,99595.0,295042.0,1.9624177920578343,36167.0,35392.0,99594.0,292309.0,0.0,2731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
rat99.tsp,ok,1.1183856073766947,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.9610551592416456,-1.7568011081994364,0.570297883823514,0.40568237006664276,-0.40577438386052944,844.0,1257.0,0.48933649289099534,262.0,478.0,590.0,846.0,0.0,0.0,400.0,400.0,694.0,1096.0,693.0,750.0,1.0,346.0,345.0,6622.0,4974.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
rd100.tsp,ok,0.12081130035221577,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,4.533742569176572,6.029254638674242,0.668538635596633,0.8492133934050798,0.270253278102925,667.0,59691.0,88.49175412293853,227.0,40713.0,449.0,33937.0,0.0,0.0,400.0,400.0,552.0,41511.0,541.0,1000.0,11.0,40511.0,3681.818181818182,5288.0,6854.0,0.0,40026.0,0.0,474.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
st70.tsp,ok,0.0706019327044487,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,18.397208388195438,16.65264368067179,1.3694804012775421,1.2463107611984015,-0.09882739033778853,135075.0,140028.0,0.036668517490283214,100470.0,101090.0,79176.0,81988.0,10.0,131.0,734.0,734.0,101956.0,103409.0,2361.0,2798.0,99595.0,100611.0,0.010201315327074578,23465.0,20387.0,99593.0,99385.0,0.0,1225.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.023476386442780495,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-1.062290427516821,0.007595414363093411,0.011383647099137306,0.023654699325561523,1.0779543778508525,8.0,5.0,-0.6000000000000001,4.0,3.0,3.0,3.0,5.0,3.0,100.0,100.0,3.0,3.0,3.0,2.0,0.0,1.0,,36.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.17980733327567577,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,2888.8378682628436,4483.74745788053,519.6140406914055,806.3904808163643,0.5519027925869173,23481692.0,24067660.0,0.024954249463795097,17165112.0,17654158.0,13107762.0,13471090.0,114.0,117.0,800.0,800.0,17168792.0,17658799.0,6000.0,6000.0,17162792.0,17652799.0,0.028550541193996803,57295.0,44885.0,17162772.0,17649497.0,0.0,3284.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.04370482452213764,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-5.467620755286468,-0.5738293646495018,0.006757481023669243,0.02776973508298397,3.109480290912499,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
