instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,B0:status,B0:successful_repeats,B0:result,B1:status,B1:successful_repeats,B1:result,result_match,B0:matches_reference,B1:matches_reference,B0:wall_vs_Concorde_symmetric_change,B1:wall_vs_Concorde_symmetric_change,B0:wall_seconds,B1:wall_seconds,symmetric_change:wall_seconds,B0:branches,B1:branches,symmetric_change:branches,B0:nodes_expanded,B1:nodes_expanded,B0:pruned_by_bound,B1:pruned_by_bound,B0:pruned_infeasible,B1:pruned_infeasible,B0:root_potential_iterations,B1:root_potential_iterations,B0:search_node_potential_update_candidates,B1:search_node_potential_update_candidates,B0:search_node_potential_updates_triggered,B1:search_node_potential_updates_triggered,B0:search_node_potential_updates_skipped_total,B1:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,B0:search_node_potential_iterations,B1:search_node_potential_iterations,B0:search_node_potential_updates_skipped_budget_exhausted,B1:search_node_potential_updates_skipped_budget_exhausted,B0:search_node_potential_updates_skipped_depth_interval,B1:search_node_potential_updates_skipped_depth_interval,B0:search_node_potential_updates_skipped_gap_above_maximum,B1:search_node_potential_updates_skipped_gap_above_maximum,B0:search_node_potential_updates_skipped_gap_below_minimum,B1:search_node_potential_updates_skipped_gap_below_minimum,B0:search_node_potential_updates_skipped_invalid_state,B1:search_node_potential_updates_skipped_invalid_state,B0:search_node_potential_updates_skipped_numerically_unsafe,B1:search_node_potential_updates_skipped_numerically_unsafe,B0:search_node_potential_updates_skipped_strategy_none,B1:search_node_potential_updates_skipped_strategy_none,B0:search_node_potential_updates_skipped_update_depth_zero,B1:search_node_potential_updates_skipped_update_depth_zero,B0:search_node_potential_updates_skipped_zero_iteration_limit,B1:search_node_potential_updates_skipped_zero_iteration_limit,B0:search_node_potential_updates_skipped_zero_violation,B1:search_node_potential_updates_skipped_zero_violation
kroA100.tsp,ok,0.1163388155400753,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,160.90158860560618,290.0722317895764,18.835439052432775,33.86299868300557,0.7978343158733985,193917.0,233722.0,0.20526823331631583,109099.0,121580.0,125612.0,153643.0,0.0,1.0,649.0,649.0,130611.0,167917.0,29710.0,67016.0,100901.0,100901.0,0.0,245993.0,338402.0,99747.0,99747.0,0.0,0.0,1153.0,1153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroB100.tsp,ok,0.2682826891541481,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,123.13788365363501,2184.9006472134074,33.304045252501965,586.4393038582057,16.608650823405586,203285.0,130663056.0,641.7579801756156,121148.0,93808268.0,122853.0,76407411.0,0.0,211340.0,745.0,745.0,156484.0,93870583.0,56895.0,101000.0,99589.0,93769583.0,940.5656648826678,544049.0,552766.0,99583.0,93769577.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.13113335333764553,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,71.01653468994485,96.10479309138107,9.443769689649343,12.733677143231034,0.3483680311674191,149187.0,152734.0,0.02377553003948063,104786.0,105661.0,89973.0,91273.0,2.0,0.0,618.0,618.0,115004.0,116463.0,15358.0,16837.0,99646.0,99626.0,-0.00020075080802195444,136192.0,88790.0,99633.0,99613.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroD100.tsp,ok,0.16673828661441803,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,38.77322667746358,167.77808395944206,6.63171966932714,28.141768537461758,3.2435099703659587,151698.0,195306.0,0.2874658861685717,102653.0,111917.0,91987.0,122635.0,229.0,84.0,778.0,778.0,108901.0,134193.0,9220.0,34564.0,99681.0,99629.0,-0.000521936383984567,81140.0,182016.0,99631.0,99600.0,0.0,0.0,49.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
lin105.tsp,ok,0.11971067078411579,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,0.692114261864595,0.9647677143897455,0.20256413333117962,0.23520366102457047,0.16113182110096091,65.0,64.0,-0.015625,18.0,22.0,47.0,43.0,0.0,0.0,333.0,333.0,33.0,36.0,31.0,35.0,2.0,1.0,-1.0,303.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
pr124.tsp,ok,0.5397818107157946,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.72105555233736,17.54706742156879,4.707467157393694,10.011369636282325,1.1266998369936916,137396.0,152595.0,0.11062185216454634,101073.0,105302.0,79134.0,89551.0,0.0,46.0,341.0,341.0,103376.0,113510.0,3781.0,13948.0,99595.0,99562.0,-0.000331451758703194,36167.0,77358.0,99594.0,99562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rat99.tsp,ok,1.1183856073766947,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.1478231547205175,-1.2309176412073266,0.5207065604627132,0.5013119205832481,-0.03868776919747008,844.0,1730.0,1.0497630331753554,262.0,813.0,590.0,1126.0,0.0,0.0,400.0,400.0,694.0,1458.0,693.0,1000.0,1.0,458.0,457.0,6622.0,5402.0,0.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rd100.tsp,ok,0.12081130035221577,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,4.102613452192692,4.47566273938668,0.6164533663541079,0.6615219358354807,0.07310945473121833,667.0,4434.0,5.6476761619190405,227.0,2746.0,449.0,2610.0,0.0,0.0,400.0,400.0,552.0,3309.0,541.0,1000.0,11.0,2309.0,208.9090909090909,5288.0,5698.0,0.0,2296.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
st70.tsp,ok,0.0706019327044487,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,21.12783434857906,26.461715617013073,1.5622678715735674,1.9388501979410648,0.24104849956889374,135075.0,141909.0,0.050594114380899446,100470.0,101744.0,79176.0,80474.0,10.0,318.0,734.0,734.0,101956.0,105210.0,2361.0,5594.0,99595.0,99616.0,0.00021085395853215338,23465.0,32058.0,99593.0,99614.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.023476386442780495,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.00020097131108753885,0.4055955713000272,0.023481104522943497,0.032998304814100266,0.40531314367505455,8.0,6.0,-0.33333333333333326,4.0,3.0,3.0,3.0,5.0,4.0,100.0,100.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.17980733327567577,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,188.0418921850689,371.4362726978218,33.99111851118505,66.9667730089277,0.9701256075728062,142118.0,193288.0,0.36005291377587634,107596.0,124760.0,82624.0,115588.0,0.0,0.0,800.0,800.0,120845.0,162571.0,21221.0,62952.0,99624.0,99619.0,-5.0191228580853675e-05,202229.0,353080.0,99602.0,99597.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
ulysses16.tsp,ok,0.04370482452213764,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-1.4244755606764974,-1.5293409862272704,0.018026506528258324,0.017279135063290596,-0.04325282846798939,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.05014468729496002,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-1.6545321018126513,-1.2396685840530535,0.018890216946601868,0.022389333695173264,0.1852343336480764,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.20685607381165028,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.257283478975296,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
