run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/pr76.tsp,ok,516.6887328010052,108159.0,2675854,665557,2013426,68,1,2774,1690,76,1,1159,0.000342934,361,2485773,2252932,0,0,0,0,0,1,0,0,0,232840,23785491
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/national/qa194.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/rat195.tsp,ok,639.718844294548,2323.0,239251,84072,156546,12,1,18720,12125,195,0,6790,0.002056696,400,227610,227600,0,0,0,0,0,0,0,0,0,10,4050771
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/rat99.tsp,ok,0.21695557236671448,1211.0,141,34,108,0,1,4752,4318,99,1,532,0.000523551,400,101,101,0,0,0,0,0,0,0,0,0,0,1608
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/rd100.tsp,ok,0.4108213074505329,7910.0,422,113,309,0,1,4850,4034,100,0,916,0.000502742,400,302,302,0,0,0,0,0,0,0,0,0,0,4815
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/si175.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/st70.tsp,ok,0.28537191823124886,675.0,844,262,587,0,1,2345,2033,70,4,378,0.000295946,373,739,739,0,0,0,0,0,0,0,0,0,0,11880
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/swiss42.tsp,ok,0.043328164145350456,1273.0,4,2,0,4,1,819,812,42,35,14,0.000105433,100,1,1,0,0,0,0,0,0,0,0,0,0,32
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/u159.tsp,ok,23.79500140249729,42080.0,26618,7903,18781,0,1,12402,10600,159,0,1961,0.001381397,400,24312,24311,0,0,0,0,0,1,0,0,0,0,356195
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/tsplib/ulysses16.tsp,ok,0.03706412948668003,6859.0,1,0,1,0,0,0,0,0,0,0,0.0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/national/wi29.tsp,ok,0.027977656573057175,27603.0,1,0,1,0,0,0,0,0,0,0,0.0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
PPS32-228a9fe68c1d,PPS32,1,/home/wj/code/TSP/data/classic/vlsi/vlsi/xqf131.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
