repeat,configuration,instance,upper_bound,lower_bound,wall_seconds,heuristic_seconds,root_ascent_seconds,root_potential_iterations
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat195.tsp,2356.0,2293.7609553055195,0.58637175,0.113762833,0.471101041,645.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rat99.tsp,1224.0,1205.9998415063767,0.072339666,0.011725708,0.060039417,495.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/rd100.tsp,8069.0,7899.187479828668,0.107756375,0.023661042,0.083463541,523.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/si175.tsp,21455.0,21367.295814485078,0.282839708,0.08735925,0.191710917,329.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/st70.tsp,685.0,670.9999299990969,0.02798125,0.005737084,0.021813625,385.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/swiss42.tsp,1274.0,1271.9897885923313,0.004620292,0.001578958,0.002558084,153.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/u159.tsp,43135.0,41924.99104797116,0.296254375,0.082092208,0.213061916,484.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ulysses16.tsp,6859.0,6858.999999996793,0.002144708,0.001269541,0.000230834,134.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/national/wi29.tsp,27603.0,27602.99999994365,0.002118333,0.001241959,0.000668875,71.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/vlsi/vlsi/xqf131.tsp,582.0,555.9483407419543,0.201839959,0.034593708,0.166513708,577.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10648.0,10599.68823369806,0.013818541,0.007436541,0.006115833,214.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1607.9853691203934,0.003981542,0.0027616669999999998,0.000939667,137.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2013.3953357260446,0.00470675,0.003470667,0.000947208,125.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7541.9999999735055,0.009062625,0.006319375,0.002495125,57.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,120414.0,117430.97806154632,0.176921125,0.049567458999999994,0.126582625,422.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25316.887550529744,0.020987167,0.009672499000000001,0.010360125,220.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1960.0,1949.2773311365436,0.210204125,0.037425625000000004,0.169207209,334.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3322.999999998799,0.001964042,0.0016335009999999999,5.7625e-05,28.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6235.0,6074.859641716426,0.234674958,0.059077000000000005,0.174650083,578.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6636.0,6488.697696628935,0.337284833,0.068902541,0.267179125,600.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,15929.0,14536.148992869335,0.757086,0.196789251,0.558600583,694.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,699.0,696.9533830654316,0.011490292,0.006271458000000001,0.004396042,225.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/national/dj38.tsp,6656.0,6655.999999980996,0.005125791,0.0039675,0.000905042,43.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil101.tsp,646.0,627.3444474025675,0.106429333,0.027044459,0.078877458,540.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil51.tsp,427.0,422.49983691886655,0.018724667,0.0039810010000000005,0.013997208,521.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil76.tsp,548.0,536.9999543717072,0.037876042,0.008614792999999999,0.028791375,423.0
1,root-alpha8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/fri26.tsp,937.0,936.999999998938,0.003983833,0.003372833,0.00037575,52.0
