comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_total,right_total,aggregate_relative_change,decreased,tied,increased
16,hk ascent、hk node ascent,PPS32,PS32,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=polyak-smoothed；hk node ascent=polyak,41,40,40,bier127.tsp,,40,,41,,40,,wall_seconds,40,3726.2295857705176,3515.826801761985,-0.05646533021261091,21,0,19
16,hk ascent、hk node ascent,PPS32,PS32,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=polyak-smoothed；hk node ascent=polyak,41,40,40,bier127.tsp,,40,,41,,40,,branches,40,5015701.0,3987931.0,-0.20491053992253527,13,9,18
16,hk ascent、hk node ascent,PPS32,PS32,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=polyak-smoothed；hk node ascent=polyak,41,40,40,bier127.tsp,,40,,41,,40,,search_node_potential_updates_skipped_total,40,387933.0,276339.0,-0.2876630758404157,9,24,7
17,hk ascent、hk node ascent、hk update iterations,PPS32,PSD-PSD16,hk ascent=polyak；hk node ascent=polyak-smoothed；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,wall_seconds,38,3278.574537364766,2564.6464397087693,-0.21775564030026107,13,0,25
17,hk ascent、hk node ascent、hk update iterations,PPS32,PSD-PSD16,hk ascent=polyak；hk node ascent=polyak-smoothed；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,branches,38,4731381.0,3991040.0,-0.1564746106897753,9,10,19
17,hk ascent、hk node ascent、hk update iterations,PPS32,PSD-PSD16,hk ascent=polyak；hk node ascent=polyak-smoothed；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,search_node_potential_updates_skipped_total,38,386221.0,134873.0,-0.650788020330329,8,19,11
18,hk ascent、hk node ascent,PPS32,PSD-PSD32,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic,41,40,40,bier127.tsp,,40,,41,,40,,wall_seconds,40,3726.2295857705176,3813.595882439986,0.023446299981916496,18,0,22
18,hk ascent、hk node ascent,PPS32,PSD-PSD32,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic,41,40,40,bier127.tsp,,40,,41,,40,,branches,40,5015701.0,3685356.0,-0.26523610558125377,16,10,14
18,hk ascent、hk node ascent,PPS32,PSD-PSD32,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic,41,40,40,bier127.tsp,,40,,41,,40,,search_node_potential_updates_skipped_total,40,387933.0,134906.0,-0.6522440730744742,8,23,9
19,hk ascent、hk node ascent、hk update iterations,PPS32,PSD-PSD64,hk ascent=polyak；hk node ascent=polyak-smoothed；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,wall_seconds,38,3278.574537364766,2566.4406907372177,-0.21720837471029197,12,0,26
19,hk ascent、hk node ascent、hk update iterations,PPS32,PSD-PSD64,hk ascent=polyak；hk node ascent=polyak-smoothed；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,branches,38,4731381.0,3991040.0,-0.1564746106897753,9,10,19
19,hk ascent、hk node ascent、hk update iterations,PPS32,PSD-PSD64,hk ascent=polyak；hk node ascent=polyak-smoothed；hk update iterations=32,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak-smoothed-dynamic；hk update iterations=16,41,38,38,bier127.tsp;ch130.tsp;kroA150.tsp,,38,,41,,38,,search_node_potential_updates_skipped_total,38,386221.0,134873.0,-0.650788020330329,8,19,11
20,hk ascent、hk node ascent,PPS32,PSD32,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak,41,40,40,bier127.tsp,,40,,41,,40,,wall_seconds,40,3726.2295857705176,4037.4343773312867,0.08351734223494378,25,0,15
20,hk ascent、hk node ascent,PPS32,PSD32,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak,41,40,40,bier127.tsp,,40,,41,,40,,branches,40,5015701.0,3792607.0,-0.24385305264408708,19,10,11
20,hk ascent、hk node ascent,PPS32,PSD32,hk ascent=polyak；hk node ascent=polyak-smoothed,hk ascent=polyak-smoothed-dynamic；hk node ascent=polyak,41,40,40,bier127.tsp,,40,,41,,40,,search_node_potential_updates_skipped_total,40,387933.0,134901.0,-0.6522569618980597,8,21,11
