tau,CPHKMST-P32-LKH,Concorde,GAPMST-P32-LKH-BP-ascent-strong,GAPMST-P32-LKH-BP-ascent-strong-lift2,GAPMST-P32-LKH-BP-ascent-strong-lift2-split2,GAPMST-P32-LKH-BP-ascent-strong-split2,GAPMST-P32-LKH-BP-base,GAPMST-P32-LKH-BP-lift2,GAPMST-P32-LKH-BP-lift2-split2,GAPMST-P32-LKH-BP-split2,GAPMST-P32-LKH-same
1.551225610795708,0.16,0.64,0.22,0.14,0.14,0.16,0.48,0.2,0.22,0.2,0.24
1.552775687308827,0.16,0.64,0.22,0.14,0.14,0.16,0.5,0.2,0.22,0.2,0.24
1.5627794509564463,0.18,0.64,0.22,0.14,0.14,0.16,0.5,0.2,0.22,0.2,0.24
1.5670287430729732,0.18,0.64,0.22,0.14,0.14,0.16,0.5,0.2,0.22,0.22,0.24
1.5688413240858001,0.18,0.64,0.22,0.16,0.14,0.16,0.5,0.2,0.22,0.22,0.24
1.5700713519844434,0.18,0.64,0.22,0.16,0.14,0.16,0.5,0.2,0.22,0.24,0.24
1.570686836588496,0.2,0.64,0.22,0.16,0.14,0.16,0.5,0.2,0.22,0.24,0.24
1.5738281940862135,0.2,0.64,0.22,0.16,0.16,0.16,0.5,0.2,0.22,0.24,0.24
1.5755527602838344,0.2,0.64,0.22,0.16,0.18,0.16,0.5,0.2,0.22,0.24,0.24
1.5758002648653193,0.2,0.64,0.22,0.16,0.18,0.16,0.5,0.2,0.24,0.24,0.24
1.5778705088783935,0.2,0.64,0.22,0.16,0.18,0.16,0.5,0.2,0.26,0.24,0.24
1.5834761575700143,0.2,0.64,0.22,0.16,0.18,0.16,0.5,0.22,0.26,0.24,0.24
1.5863429572005943,0.2,0.66,0.22,0.16,0.18,0.16,0.5,0.22,0.26,0.24,0.24
1.5865709496968177,0.2,0.66,0.22,0.18,0.18,0.16,0.5,0.22,0.26,0.24,0.24
1.589217890376822,0.2,0.66,0.22,0.2,0.18,0.16,0.5,0.22,0.26,0.24,0.24
1.597905359407656,0.2,0.68,0.22,0.2,0.18,0.16,0.5,0.22,0.26,0.24,0.24
1.6002178486274636,0.22,0.68,0.22,0.2,0.18,0.16,0.5,0.22,0.26,0.24,0.24
1.6171050101516211,0.22,0.68,0.24,0.2,0.18,0.16,0.5,0.22,0.26,0.24,0.24
1.6183951986876983,0.22,0.68,0.24,0.2,0.18,0.18,0.5,0.22,0.26,0.24,0.24
1.619675612141567,0.22,0.68,0.24,0.2,0.18,0.18,0.5,0.22,0.26,0.26,0.24
1.6221891855937574,0.22,0.68,0.24,0.2,0.18,0.18,0.5,0.22,0.26,0.28,0.24
1.6262427040113767,0.22,0.68,0.24,0.2,0.2,0.18,0.5,0.22,0.26,0.28,0.24
1.6394791849581174,0.22,0.68,0.24,0.2,0.2,0.18,0.5,0.24,0.26,0.28,0.24
1.6395970376609574,0.22,0.68,0.26,0.2,0.2,0.18,0.5,0.24,0.26,0.28,0.24
1.6414770243484453,0.22,0.68,0.26,0.2,0.2,0.18,0.52,0.24,0.26,0.28,0.24
1.6590062467978959,0.22,0.68,0.26,0.2,0.22,0.18,0.52,0.24,0.26,0.28,0.24
1.6611707319025506,0.22,0.68,0.26,0.22,0.22,0.18,0.52,0.24,0.26,0.28,0.24
1.6620171145149738,0.22,0.68,0.26,0.24,0.22,0.18,0.52,0.24,0.26,0.28,0.24
1.6643162534499254,0.22,0.68,0.26,0.24,0.22,0.18,0.52,0.24,0.28,0.28,0.24
1.701014110485993,0.22,0.68,0.26,0.24,0.22,0.18,0.52,0.24,0.3,0.28,0.24
1.705525120825542,0.22,0.68,0.26,0.24,0.24,0.18,0.52,0.24,0.3,0.28,0.24
1.7199811464647885,0.22,0.68,0.26,0.24,0.24,0.18,0.52,0.26,0.3,0.28,0.24
1.7242697302536771,0.22,0.68,0.26,0.24,0.24,0.18,0.52,0.26,0.3,0.28,0.26
1.7481079964949495,0.22,0.68,0.26,0.24,0.24,0.18,0.52,0.28,0.3,0.28,0.26
1.7504604365203982,0.24,0.68,0.26,0.24,0.24,0.18,0.52,0.28,0.3,0.28,0.26
1.7517944033918067,0.24,0.68,0.26,0.24,0.26,0.18,0.52,0.28,0.3,0.28,0.26
1.76040482794857,0.24,0.68,0.26,0.24,0.26,0.18,0.52,0.28,0.32,0.28,0.26
1.7818187895982975,0.24,0.68,0.26,0.24,0.26,0.2,0.52,0.28,0.32,0.28,0.26
1.7835528164169223,0.24,0.68,0.26,0.24,0.28,0.2,0.52,0.28,0.32,0.28,0.26
1.785434882255331,0.24,0.68,0.26,0.24,0.28,0.2,0.52,0.28,0.32,0.3,0.26
1.8012918962693303,0.24,0.68,0.26,0.24,0.28,0.2,0.52,0.28,0.32,0.3,0.28
1.8054596257415096,0.24,0.68,0.26,0.26,0.28,0.2,0.52,0.28,0.32,0.3,0.28
1.814591022570933,0.26,0.68,0.26,0.26,0.28,0.2,0.52,0.28,0.32,0.3,0.28
1.8192139768598208,0.26,0.68,0.26,0.28,0.28,0.2,0.52,0.28,0.32,0.3,0.28
1.8264817353620146,0.28,0.68,0.26,0.28,0.28,0.2,0.52,0.28,0.32,0.3,0.28
1.8397864197726976,0.28,0.68,0.26,0.28,0.28,0.2,0.52,0.28,0.32,0.3,0.3
1.8560918800878492,0.28,0.68,0.26,0.28,0.28,0.2,0.52,0.28,0.34,0.3,0.3
1.8579984255834636,0.28,0.68,0.26,0.28,0.28,0.22,0.52,0.28,0.34,0.3,0.3
1.8603256610201762,0.28,0.68,0.26,0.28,0.28,0.24,0.52,0.28,0.34,0.3,0.3
1.87132405328672,0.28,0.68,0.26,0.28,0.28,0.24,0.54,0.28,0.34,0.3,0.3
1.8766665635832627,0.28,0.68,0.26,0.28,0.28,0.24,0.54,0.28,0.34,0.32,0.3
1.8930717452289376,0.28,0.68,0.26,0.28,0.28,0.24,0.54,0.28,0.34,0.34,0.3
1.9038955106267874,0.28,0.68,0.26,0.3,0.28,0.24,0.54,0.28,0.34,0.34,0.3
1.9104136718763094,0.3,0.68,0.26,0.3,0.28,0.24,0.54,0.28,0.34,0.34,0.3
1.9144479390205809,0.32,0.68,0.26,0.3,0.28,0.24,0.54,0.28,0.34,0.34,0.3
1.9189448603210235,0.32,0.68,0.26,0.3,0.28,0.24,0.54,0.3,0.34,0.34,0.3
1.9216977295485809,0.32,0.68,0.26,0.3,0.28,0.24,0.54,0.32,0.34,0.34,0.3
1.9385751358327892,0.32,0.68,0.26,0.3,0.28,0.24,0.54,0.34,0.34,0.34,0.3
1.9399505407778381,0.32,0.68,0.26,0.3,0.28,0.24,0.54,0.34,0.34,0.36,0.3
1.9448610193570932,0.32,0.68,0.28,0.3,0.28,0.24,0.54,0.34,0.34,0.36,0.3
1.94700742127914,0.32,0.68,0.28,0.3,0.28,0.24,0.54,0.34,0.34,0.36,0.32
1.950061006265541,0.32,0.68,0.28,0.3,0.28,0.26,0.54,0.34,0.34,0.36,0.32
1.9524767540207506,0.32,0.68,0.3,0.3,0.28,0.26,0.54,0.34,0.34,0.36,0.32
1.95489414580168,0.32,0.68,0.3,0.3,0.28,0.26,0.54,0.36,0.34,0.36,0.32
1.9572670764792304,0.32,0.68,0.32,0.3,0.28,0.26,0.54,0.36,0.34,0.36,0.32
1.9591336995340967,0.32,0.68,0.34,0.3,0.28,0.26,0.54,0.36,0.34,0.36,0.32
1.9645731179668906,0.32,0.68,0.34,0.3,0.28,0.26,0.54,0.36,0.36,0.36,0.32
1.9778268839615298,0.32,0.68,0.34,0.3,0.28,0.26,0.54,0.38,0.36,0.36,0.32
1.9874367295016089,0.32,0.68,0.34,0.3,0.28,0.26,0.54,0.4,0.36,0.36,0.32
1.9978655550812345,0.32,0.68,0.34,0.3,0.3,0.26,0.54,0.4,0.36,0.36,0.32
2.0,0.32,0.68,0.34,0.3,0.3,0.26,0.54,0.4,0.36,0.36,0.32
2.0000293770827042,0.32,0.7,0.34,0.3,0.3,0.26,0.54,0.4,0.36,0.36,0.32
