source_index,instance,dimension,concorde_optimum,polyak_lower_bound,polyak_gap_percent,polyak_evaluations,helsgaun_lower_bound,helsgaun_gap_percent,helsgaun_evaluations,hybrid_lower_bound,hybrid_gap_percent,hybrid_evaluations,hybrid-reverse_lower_bound,hybrid-reverse_gap_percent,hybrid-reverse_evaluations,polyak-smoothed_lower_bound,polyak-smoothed_gap_percent,polyak-smoothed_evaluations,polyak-smoothed-dynamic_lower_bound,polyak-smoothed-dynamic_gap_percent,polyak-smoothed-dynamic_evaluations,best_strategy,chart
11,/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,198,15780,14365.305510755265,8.965110832,751,14416.794526004702,8.638817959,294,14389.262471002889,8.813292326,999,14536.373531410221,7.881029585,918,14476.594351954749,8.259858353,785,14389.220538108382,8.81355806,794,Hybrid H→P,d198/root-ascent-trends.svg
12,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,42,699,696.54868347575257,0.3506890593,100,693.36803385060455,0.8057176179,125,696.99649091505182,0.2866250479,201,696.95338306543158,0.2927921223,225,696.61046597006271,0.3418503619,100,696.53191204109783,0.3530884061,100,Hybrid P→H,dantzig42/root-ascent-trends.svg
13,/Users/a/Ayanami/code/TSP/data/classic/national/dj38.tsp,38,6656,6655.9999999809979,2.854878727e-10,32,6655.7999999809972,0.003004807978,41,6655.9999999809979,2.854878727e-10,33,6655.9999999809961,2.855152012e-10,43,6655.9999999809988,2.854742084e-10,22,6655.9999999809997,2.854605441e-10,25,Polyak+Hybrid P→H+Hybrid H→P+Polyak + H direction 0.7/0.3+Polyak + H direction dynamic,dj38/root-ascent-trends.svg
14,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil101.tsp,101,629,627.44792696190234,0.2467524703,546,627.21933063128324,0.2830952891,167,627.44792696190234,0.2467524703,643,627.34444740256754,0.2632039106,540,627.4486954153009,0.2466302996,618,627.44752360071118,0.2468165977,540,Polyak + H direction 0.7/0.3,eil101/root-ascent-trends.svg
15,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil51.tsp,51,426,422.49998084195732,0.8216007413,519,421.93085937350105,0.9551973302,121,422.49998084195732,0.8216007413,566,422.49997487137284,0.8216021429,602,422.49998364828838,0.8216000826,544,422.49998153260839,0.8216005792,525,Polyak + H direction 0.7/0.3,eil51/root-ascent-trends.svg
16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil76.tsp,76,538,536.99994556571335,0.1858837238,367,536.60559604755304,0.2591828908,143,536.99994556571335,0.1858837238,440,536.99995437170719,0.185882087,423,536.9999614559797,0.1858807703,457,536.99996408473919,0.1858802816,341,Polyak + H direction dynamic,eil76/root-ascent-trends.svg
17,/Users/a/Ayanami/code/TSP/data/classic/tsplib/fri26.tsp,26,937,936.99999999891429,1.158707898e-10,43,936.27499999893837,0.0773745999,31,936.99999999891429,1.158707898e-10,44,936.99999999893805,1.133349788e-10,52,936.99999999883607,1.242183399e-10,69,936.99999999891509,1.157858583e-10,53,Polyak+Hybrid P→H+Hybrid H→P+Polyak + H direction 0.7/0.3+Polyak + H direction dynamic,fri26/root-ascent-trends.svg
18,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr120.tsp,120,6942,6911.248555341891,0.4429767309,471,6901.1999998904193,0.5877268814,116,6911.248555341891,0.4429767309,587,6911.2450481154483,0.4430272527,552,6911.2490417625077,0.442969724,537,6911.248910921945,0.4429716087,485,Polyak + H direction 0.7/0.3,gr120/root-ascent-trends.svg
19,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr137.tsp,137,69853,69112.055819517263,1.060719197,554,69073.455685120105,1.11597829,192,69113.640007382812,1.058451309,704,69118.405992451691,1.05162843,694,69112.900296155742,1.059510263,617,69094.427456814403,1.085955568,547,Hybrid H→P,gr137/root-ascent-trends.svg
20,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr17.tsp,17,2085,2084.9999999989141,5.208329371e-11,32,2037.4648437484764,2.279863609,89,2084.9999999989141,5.208329371e-11,33,2084.9999999989241,5.160346437e-11,121,2084.9999999989127,5.214872499e-11,40,2084.9999999988936,5.306476282e-11,39,Polyak+Hybrid P→H+Hybrid H→P+Polyak + H direction 0.7/0.3+Polyak + H direction dynamic,gr17/root-ascent-trends.svg
21,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,21,2707,2706.9999999976462,8.695132206e-11,23,2699.9999999976826,0.2585888438,22,2706.9999999976462,8.695132206e-11,24,2706.9999999976822,8.562420567e-11,29,2706.9999999977103,8.458267129e-11,21,2706.999999997734,8.370912632e-11,23,Polyak+Hybrid P→H+Hybrid H→P+Polyak + H direction 0.7/0.3+Polyak + H direction dynamic,gr21/root-ascent-trends.svg
22,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr24.tsp,24,1272,1271.9719231118684,0.002207302526,100,1263.9999999986503,0.6289308177,22,1271.9719231118684,0.002207302526,122,1271.9995357693901,3.649611713e-05,122,1271.9985824741141,0.0001114407143,100,1271.9954046217463,0.0003612718753,100,Hybrid H→P,gr24/root-ascent-trends.svg
23,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr48.tsp,48,5046,4958.999309385722,1.724151617,334,4946.3999999857479,1.973840666,48,4958.999309385722,1.724151617,380,4958.9994433825923,1.724148962,318,4958.9993925482331,1.724149969,389,4958.9992052524094,1.724153681,323,Hybrid H→P,gr48/root-ascent-trends.svg
24,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr96.tsp,96,55209,54569.493890485697,1.158336701,335,54567.699999410361,1.161585974,120,54569.493890485697,1.158336701,429,54569.493520663818,1.158337371,370,54569.495645564813,1.158333522,390,54569.49715935337,1.158330781,396,Polyak + H direction dynamic,gr96/root-ascent-trends.svg
25,/Users/a/Ayanami/code/TSP/data/classic/tsplib/hk48.tsp,48,11461,11431.636797632716,0.2562010502,100,11435.837499958732,0.2195489053,62,11444.177495069403,0.1467804287,176,11443.03742578926,0.1567278092,162,11440.670376372351,0.1773808885,100,11440.542648238146,0.1784953474,100,Hybrid P→H,hk48/root-ascent-trends.svg
26,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,100,21282,20936.495441677383,1.623459066,339,20935.621276570808,1.627566598,133,20936.495441677383,1.623459066,436,20936.495650387562,1.623458085,391,20936.498618879992,1.623444136,398,20936.49507951906,1.623460767,361,Polyak + H direction 0.7/0.3,kroA100/root-ascent-trends.svg
27,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA150.tsp,150,26524,26271.905545311751,0.950439054,859,26268.635546173591,0.962767508,202,26275.538967821147,0.936740432,1103,26296.109855650786,0.8591846793,731,26294.500601701995,0.865251841,944,26271.808254488013,0.950805857,994,Hybrid H→P,kroA150/root-ascent-trends.svg
28,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB100.tsp,100,22141,21833.996427868413,1.386584039,372,21809.927392306552,1.495292027,125,21833.996427868413,1.386584039,469,21833.996439724335,1.386583986,400,21833.997903660664,1.386577374,400,21833.997341108457,1.386579915,414,Polyak + H direction 0.7/0.3,kroB100/root-ascent-trends.svg
