instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,P32:matches_reference,hybrid-reverse:matches_reference,P32:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,P32:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,P32:branches,hybrid-reverse:branches,relative_change:branches,P32:nodes_expanded,hybrid-reverse:nodes_expanded,P32:pruned_by_bound,hybrid-reverse:pruned_by_bound,P32:pruned_infeasible,hybrid-reverse:pruned_infeasible,P32:root_potential_iterations,hybrid-reverse:root_potential_iterations,P32:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,15.163015358017685,17.76393592113785,3.2561134677380323,3.7800808269530535,0.1609180283201288,5119.0,6120.0,0.19554600507911712,1765.0,2184.0,3384.0,3985.0,0.0,0.0,319.0,357.0,4732.0,5605.0,4731.0,5605.0,1.0,0.0,-1.0,78352.0,96224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.17955172171916423,0.35081802064409806,0.03686647303402424,0.042219340801239014,0.14519609082958884,18.0,10.0,-0.4444444444444444,7.0,5.0,11.0,5.0,1.0,4.0,100.0,152.0,13.0,9.0,13.0,9.0,0.0,0.0,0.0,195.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1134.1473085981813,335.6753721552581,105.61777054145932,31.32536361925304,-0.7034082100137065,406666.0,45495.0,-0.8881268657817472,74929.0,11672.0,331874.0,33899.0,0.0,2.0,320.0,372.0,384981.0,42194.0,323504.0,40654.0,61477.0,1540.0,-0.9749499812938172,1648233.0,510939.0,0.0,0.0,0.0,0.0,61476.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,388.6648979924491,263.3725958950781,183.42823673598468,124.44898002408445,-0.3215385905758411,89949.0,66191.0,-0.26412744999944415,28403.0,19992.0,61819.0,46387.0,0.0,0.0,400.0,612.0,86002.0,62856.0,85993.0,62854.0,9.0,2.0,-0.7777777777777778,1426112.0,1013266.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.9339148509698,438.03093355030956,26.3919495921582,80.50140427052975,2.0502257512059288,29185.0,106369.0,2.6446462223745075,9814.0,34309.0,19473.0,72354.0,0.0,0.0,372.0,396.0,27449.0,99518.0,27443.0,99492.0,6.0,26.0,3.333333333333333,459387.0,1604312.0,0.0,0.0,0.0,0.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,143.19338205892296,114.3104180624846,17.192988101392984,13.749109823256731,-0.20030714020311735,22282.0,17141.0,-0.2307243514944799,6636.0,5225.0,15700.0,11959.0,0.0,0.0,301.0,370.0,20676.0,16129.0,20664.0,16114.0,12.0,15.0,0.25,306097.0,240582.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,107.28839825732489,392.87386311765937,15.256532818078995,55.49208978563547,2.637267421591184,16514.0,81423.0,3.930543781034274,5333.0,19531.0,11243.0,62069.0,0.0,0.0,378.0,458.0,15624.0,76711.0,15331.0,71953.0,293.0,4758.0,15.238907849829353,248604.0,905057.0,0.0,0.0,0.0,0.0,292.0,4758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,413.29850191548746,627.4517097258965,97.51451370306313,147.92031005769968,0.516905580928444,603657.0,160029.0,-0.7349007797474394,109411.0,50347.0,494438.0,110202.0,1328.0,1.0,729.0,445.0,556471.0,152471.0,465965.0,152415.0,90506.0,56.0,-0.9993812564912824,2157607.0,2363092.0,0.0,0.0,0.0,0.0,90506.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,2.04037565759554,1.4424436611960503,0.24557560123503208,0.19727975688874722,-0.19666385464760627,81.0,54.0,-0.33333333333333337,26.0,14.0,55.0,40.0,0.0,0.0,333.0,356.0,51.0,26.0,51.0,26.0,0.0,0.0,0.0,779.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.747438428342111,7.729888952781737,4.710256366059184,3.8260293640196323,-0.18772375287490695,3749.0,3262.0,-0.12990130701520408,1387.0,1150.0,2374.0,2120.0,0.0,0.0,341.0,393.0,3497.0,3039.0,3497.0,3039.0,0.0,0.0,0.0,59072.0,49307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
