instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,result_match,PPS32:matches_reference,PS-PS64:matches_reference,PPS32:wall_vs_Concorde_relative_change,PS-PS64:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PS-PS64:wall_seconds,relative_change:wall_seconds,PPS32:branches,PS-PS64:branches,relative_change:branches,PPS32:nodes_expanded,PS-PS64:nodes_expanded,PPS32:pruned_by_bound,PS-PS64:pruned_by_bound,PPS32:pruned_infeasible,PS-PS64:pruned_infeasible,PPS32:root_potential_iterations,PS-PS64:root_potential_iterations,PPS32:search_node_potential_update_candidates,PS-PS64:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PS-PS64:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PS-PS64:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,16.20577302574643,29.43844314550333,3.4661817755550146,6.131963774561882,0.7690831501703383,5725.0,14704.0,1.5683842794759824,2044.0,5218.0,3716.0,9656.0,1.0,1.0,319.0,395.0,5199.0,13467.0,5199.0,13465.0,0.0,2.0,,90151.0,128098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.005511060351397035,-0.019835621721971286,0.031082401052117348,0.030634691938757896,-0.014403942366252753,17.0,16.0,-0.05882352941176472,5.0,6.0,12.0,10.0,0.0,0.0,100.0,100.0,12.0,13.0,12.0,13.0,0.0,0.0,0.0,132.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1005.4477222956513,1629.963132036439,93.64314551092684,151.7500755507499,0.6205145045351215,406316.0,801204.0,0.9718741078372499,74906.0,143666.0,331519.0,658008.0,0.0,0.0,320.0,800.0,384541.0,761556.0,323065.0,639202.0,61476.0,122354.0,0.9902726267161168,1691616.0,2724311.0,0.0,0.0,0.0,0.0,61476.0,122354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,421.36568579607,813.1344091596694,198.82158593833447,383.24016329832375,0.9275581244844695,99892.0,291874.0,1.921895647299083,31982.0,93977.0,68244.0,199496.0,0.0,0.0,400.0,400.0,95579.0,274330.0,95571.0,274327.0,8.0,3.0,-0.625,1588549.0,2570687.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.63743482080528,814.1768428308237,26.337586546316743,149.4721113294363,4.675239493435653,31476.0,275891.0,7.765122633117295,10881.0,93599.0,20709.0,183791.0,0.0,0.0,372.0,400.0,29785.0,256049.0,29779.0,256045.0,6.0,4.0,-0.33333333333333337,505592.0,2402306.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,122.79556508601951,190.97008467145048,14.760841635987163,22.889673121273518,0.5507024386379253,20167.0,42335.0,1.0992215004710668,5927.0,13263.0,14267.0,29227.0,0.0,0.0,301.0,372.0,18665.0,39616.0,18652.0,39071.0,13.0,545.0,40.92307692307692,273167.0,340879.0,0.0,0.0,0.0,0.0,12.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,115.32565362678189,15.353821288252963,16.38888542726636,2.304056715220213,-0.8594134588684762,18395.0,3289.0,-0.8212014134275618,6015.0,1084.0,12441.0,2221.0,0.0,0.0,378.0,400.0,17371.0,2987.0,17077.0,2950.0,294.0,37.0,-0.8741496598639455,278508.0,27164.0,0.0,0.0,0.0,0.0,292.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,391.1368493653687,526.087840425372,92.29826802201569,124.0620330516249,0.34414259021667304,615321.0,681597.0,0.10770963448346471,112258.0,138862.0,503226.0,543770.0,1332.0,1248.0,729.0,721.0,566844.0,626734.0,475903.0,540761.0,90941.0,85973.0,-0.05462882528232593,2330217.0,2559291.0,0.0,0.0,0.0,0.0,90941.0,85973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.4520114000022737,1.8117863886212504,0.19805255718529224,0.22711211070418358,0.14672647468875666,73.0,55.0,-0.2465753424657534,26.0,19.0,47.0,36.0,0.0,0.0,333.0,348.0,41.0,38.0,41.0,38.0,0.0,0.0,0.0,750.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.995223313723562,8.440536698457324,3.9423168748617172,4.137483399361372,0.049505539685086974,3662.0,5484.0,0.49754232659748765,1322.0,1981.0,2350.0,3531.0,0.0,0.0,341.0,387.0,3387.0,5022.0,3387.0,5022.0,0.0,0.0,0.0,55799.0,47816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
