instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H232:status,H232:successful_repeats,H232:result,PR1532:status,PR1532:successful_repeats,PR1532:result,result_match,H232:matches_reference,PR1532:matches_reference,H232:wall_vs_Concorde_symmetric_change,PR1532:wall_vs_Concorde_symmetric_change,H232:wall_seconds,PR1532:wall_seconds,symmetric_change:wall_seconds,H232:branches,PR1532:branches,symmetric_change:branches,H232:nodes_expanded,PR1532:nodes_expanded,H232:pruned_by_bound,PR1532:pruned_by_bound,H232:pruned_infeasible,PR1532:pruned_infeasible,H232:root_potential_iterations,PR1532:root_potential_iterations,H232:search_node_potential_update_candidates,PR1532:search_node_potential_update_candidates,H232:search_node_potential_updates_triggered,PR1532:search_node_potential_updates_triggered,H232:search_node_potential_updates_skipped_total,PR1532:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,H232:search_node_potential_iterations,PR1532:search_node_potential_iterations,H232:search_node_potential_updates_skipped_budget_exhausted,PR1532:search_node_potential_updates_skipped_budget_exhausted,H232:search_node_potential_updates_skipped_depth_interval,PR1532:search_node_potential_updates_skipped_depth_interval,H232:search_node_potential_updates_skipped_gap_above_maximum,PR1532:search_node_potential_updates_skipped_gap_above_maximum,H232:search_node_potential_updates_skipped_gap_below_minimum,PR1532:search_node_potential_updates_skipped_gap_below_minimum,H232:search_node_potential_updates_skipped_invalid_state,PR1532:search_node_potential_updates_skipped_invalid_state,H232:search_node_potential_updates_skipped_numerically_unsafe,PR1532:search_node_potential_updates_skipped_numerically_unsafe,H232:search_node_potential_updates_skipped_strategy_none,PR1532:search_node_potential_updates_skipped_strategy_none,H232:search_node_potential_updates_skipped_update_depth_zero,PR1532:search_node_potential_updates_skipped_update_depth_zero,H232:search_node_potential_updates_skipped_zero_iteration_limit,PR1532:search_node_potential_updates_skipped_zero_iteration_limit,H232:search_node_potential_updates_skipped_zero_violation,PR1532:search_node_potential_updates_skipped_zero_violation
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.18194527013879314,0.015826317463511597,0.03884453698992729,0.0466387365013361,0.20065111120850543,18.0,18.0,0.0,7.0,7.0,11.0,11.0,1.0,1.0,100.0,100.0,14.0,14.0,10.0,10.0,4.0,4.0,0.0,85.0,85.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,851.0747586364148,855.3435977094451,95.27632144838572,95.75364961661398,0.005009934902732827,455323.0,629077.0,0.3816060247340898,95745.0,136977.0,362356.0,493058.0,0.0,0.0,320.0,649.0,428946.0,576986.0,341798.0,443076.0,87148.0,133910.0,0.5365814476522697,1563743.0,1432403.0,0.0,0.0,25673.0,8818.0,61475.0,125090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,395.2736276477009,443.1304975680088,212.95879817195237,238.67724318429828,0.12076723400542333,235971.0,234218.0,-0.00748448027051718,87442.0,86812.0,153450.0,152338.0,0.0,0.0,400.0,400.0,222421.0,220734.0,158263.0,157029.0,64158.0,63705.0,-0.007110901813044412,1660472.0,1646405.0,0.0,0.0,64148.0,63682.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
kroB100.tsp,ok,0.21567042730748653,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,230.32170987601313,571.3069753344625,49.88925201445818,123.4296899214387,1.474073772155736,130789.0,342681.0,1.620105666378671,53052.0,137340.0,82394.0,218184.0,0.0,15.0,372.0,745.0,119890.0,314597.0,81704.0,214765.0,38186.0,99832.0,1.6143612842402977,916630.0,2350671.0,0.0,0.0,38181.0,96127.0,5.0,3705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,102.79204810432046,102.2790742516447,12.512816853821278,12.450974468141794,-0.004966871134280959,31185.0,30174.0,-0.03350566713064218,11540.0,11125.0,20753.0,20075.0,0.0,0.0,301.0,301.0,28430.0,27992.0,19884.0,19723.0,8546.0,8269.0,-0.033498609263514334,187909.0,184181.0,0.0,0.0,8535.0,7742.0,11.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,119.1950716361727,253.5858882322707,16.734106298536062,35.444608982652426,1.1181058821021832,36270.0,89965.0,1.480424593327819,13871.0,26638.0,23408.0,64960.0,0.0,0.0,378.0,378.0,33153.0,82919.0,23080.0,61742.0,10073.0,21177.0,1.1023528243820113,251424.0,523059.0,0.0,0.0,9779.0,13198.0,291.0,7976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
kroE100.tsp,ok,0.26656487211585045,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,312.8104404481318,236.98496259467987,83.65083992667496,63.438431119546294,-0.31861457558809225,589833.0,516817.0,-0.14128018234694295,129053.0,131876.0,467103.0,388503.0,1203.0,1729.0,729.0,729.0,539828.0,456163.0,425151.0,334256.0,114677.0,121907.0,0.06304664405242555,1908042.0,1364863.0,0.0,0.0,37449.0,26766.0,77228.0,95139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.1512107842694412,1.5557068584218854,0.20447171479463577,0.24291890300810337,0.18803181776062572,60.0,60.0,0.0,21.0,21.0,39.0,39.0,0.0,0.0,333.0,333.0,36.0,36.0,23.0,23.0,13.0,13.0,0.0,274.0,274.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,5.447005637285918,6.917115933588031,3.282970415428281,4.031585955992341,0.2280299380847144,6613.0,7172.0,0.08453047028580074,2915.0,3155.0,4137.0,4481.0,0.0,0.0,341.0,341.0,5773.0,6352.0,3698.0,4094.0,2075.0,2258.0,0.08819277108433732,44097.0,47092.0,0.0,0.0,2074.0,2188.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pr76.tsp,ok,0.2033493872731924,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3248.6030355335965,6856.375850378848,660.804786156863,1394.4431774765253,1.1102195484787392,4079681.0,14120905.0,2.46127675178525,1348020.0,3585869.0,2882767.0,10703057.0,298.0,648.0,361.0,361.0,3657128.0,12800686.0,2610359.0,9505077.0,1046769.0,3295609.0,2.1483632014322165,21204431.0,44460883.0,0.0,0.0,813931.0,724028.0,232838.0,2571581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
