instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,P128 [P128-ba5f558d610b]:status,P128 [P128-ba5f558d610b]:successful_repeats,P128 [P128-ba5f558d610b]:result,result_match,P32:matches_reference,P128 [P128-ba5f558d610b]:matches_reference,P32:wall_vs_Concorde_symmetric_change,P128 [P128-ba5f558d610b]:wall_vs_Concorde_symmetric_change,P32:wall_seconds,P128 [P128-ba5f558d610b]:wall_seconds,symmetric_change:wall_seconds,P32:branches,P128 [P128-ba5f558d610b]:branches,symmetric_change:branches,P32:nodes_expanded,P128 [P128-ba5f558d610b]:nodes_expanded,P32:pruned_by_bound,P128 [P128-ba5f558d610b]:pruned_by_bound,P32:pruned_infeasible,P128 [P128-ba5f558d610b]:pruned_infeasible,P32:root_potential_iterations,P128 [P128-ba5f558d610b]:root_potential_iterations,P32:search_node_potential_update_candidates,P128 [P128-ba5f558d610b]:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,P128 [P128-ba5f558d610b]:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,P128 [P128-ba5f558d610b]:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,P128 [P128-ba5f558d610b]:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.829813090715626,7.033758777214187,0.5696642939001322,0.6700835675001144,0.17627798455205057,695.0,698.0,0.004316546762589857,154.0,154.0,548.0,555.0,0.0,0.0,400.0,400.0,379.0,384.0,352.0,356.0,27.0,28.0,0.03703703703703698,5416.0,9368.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.4018720011208465,1.9706996162805646,0.10703548789024353,0.13238435797393322,0.23682678131651969,429.0,327.0,-0.31192660550458706,135.0,115.0,298.0,214.0,51.0,14.0,400.0,400.0,411.0,298.0,411.0,298.0,0.0,0.0,0.0,6174.0,8583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.3830817695751785,4.1811427370985745,0.26096134819090366,0.30847656168043613,0.18207759048965833,454.0,364.0,-0.24725274725274726,135.0,112.0,328.0,256.0,0.0,0.0,364.0,364.0,304.0,264.0,295.0,254.0,9.0,10.0,0.11111111111111116,5287.0,7593.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-1.0784746619806227,-0.4338416821270983,0.01599702797830105,0.023189043626189232,0.4495844889215481,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,91.47385143660735,89.64611925298024,17.418047908693552,17.073782732710242,-0.02016338039277965,12407.0,8048.0,-0.5416252485089463,3833.0,2357.0,8620.0,5699.0,0.0,0.0,400.0,400.0,11445.0,7359.0,11321.0,7235.0,124.0,124.0,0.0,179449.0,192018.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,191.96171384227145,197.76306342418135,67.94008772075176,69.98269084468484,0.030064770188825918,51113.0,32773.0,-0.5596069935617733,17260.0,10987.0,34040.0,21835.0,0.0,0.0,400.0,400.0,47121.0,30572.0,47117.0,30566.0,4.0,6.0,0.5,768553.0,886108.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.07628818490139722,-0.25374990700485145,0.02659849263727665,0.02283361554145813,-0.164883090414778,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.35711311247680033,0.3631560826493885,0.014999672770500183,0.015066463500261307,0.004452812456847699,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.4489850154977706,-0.9793944970516477,0.019799761474132538,0.014494108036160469,-0.3660558776528584,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,1.9449781187160369,2.5944272307876726,0.28193128295242786,0.34410492703318596,0.22052765280130004,1203.0,1218.0,0.012468827930174564,405.0,396.0,800.0,822.0,0.0,0.0,334.0,334.0,1124.0,1122.0,1117.0,1115.0,7.0,7.0,0.0,17868.0,31325.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,14.128702865261973,13.134702809785306,3.6054332200437784,3.3685457054525614,-0.07032337848578818,5119.0,3144.0,-0.6281806615776082,1765.0,1070.0,3384.0,2079.0,0.0,0.0,319.0,319.0,4732.0,2920.0,4731.0,2920.0,1.0,0.0,,78352.0,87804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.645985186261536,-0.5826150727403581,0.027893396094441414,0.029010286554694176,0.04004139390095052,18.0,12.0,-0.5,7.0,5.0,11.0,7.0,1.0,0.0,100.0,100.0,13.0,8.0,13.0,8.0,0.0,0.0,0.0,195.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,944.3905087016559,916.5279212559038,105.71059533022344,102.59508837386966,-0.030367018594501083,406666.0,388670.0,-0.04630148969562864,74929.0,69749.0,331874.0,318955.0,0.0,0.0,320.0,320.0,384981.0,368501.0,323504.0,307025.0,61477.0,61476.0,-1.6266510508122778e-05,1648233.0,1727797.0,0.0,0.0,0.0,0.0,61476.0,61476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,382.83147405509465,340.72647671730164,206.2723424229771,183.6449733413756,-0.12321256972027084,89949.0,55833.0,-0.6110364837999034,28403.0,17654.0,61819.0,38241.0,0.0,0.0,400.0,400.0,86002.0,53696.0,85993.0,53688.0,9.0,8.0,-0.125,1426112.0,1569691.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroB100.tsp,ok,0.21567042730748653,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,127.6552513383196,177.43077894660513,27.747133031487465,38.482242340222,0.386890757201918,29185.0,26794.0,-0.0892363962081062,9814.0,8986.0,19473.0,17832.0,0.0,0.0,372.0,372.0,27449.0,25166.0,27443.0,25160.0,6.0,6.0,0.0,459387.0,754968.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,154.80183995156986,167.9743394862817,18.782940739765763,20.37097255140543,0.08454649533539826,22282.0,17056.0,-0.30640243902439024,6636.0,4920.0,15700.0,12146.0,0.0,0.0,301.0,301.0,20676.0,15805.0,20664.0,15793.0,12.0,12.0,0.0,306097.0,403558.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,120.22240613489878,149.01335841520503,16.87713649496436,20.885544238612056,0.2375052038504093,16514.0,12600.0,-0.3106349206349206,5333.0,3836.0,11243.0,8778.0,0.0,0.0,378.0,378.0,15624.0,11949.0,15331.0,11657.0,293.0,292.0,-0.003424657534246478,248604.0,321098.0,0.0,0.0,0.0,0.0,292.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroE100.tsp,ok,0.26656487211585045,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,391.56750240718867,454.6975934597754,104.64470607601106,121.47297072410583,0.1608133395288165,603657.0,616389.0,0.02109144762671522,109411.0,110765.0,494438.0,505686.0,1328.0,1329.0,729.0,729.0,556471.0,568913.0,465965.0,476196.0,90506.0,92717.0,0.024429319603120225,2157607.0,2836823.0,0.0,0.0,0.0,0.0,90506.0,92717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.5738282486497037,1.3700351697511883,0.24464133381843567,0.22527088411152363,-0.08598736487100767,81.0,68.0,-0.19117647058823528,26.0,22.0,55.0,46.0,0.0,0.0,333.0,333.0,51.0,40.0,51.0,40.0,0.0,0.0,0.0,779.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,8.754945085509881,9.419393794863868,4.96745278686285,5.3058060593903065,0.0681140389340551,3749.0,2726.0,-0.3752751283932503,1387.0,971.0,2374.0,1758.0,0.0,0.0,341.0,341.0,3497.0,2531.0,3497.0,2531.0,0.0,0.0,0.0,59072.0,76066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.294503515586257,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1142.454619292494,932.150337690372,336.7514052949846,274.81605502031744,-0.22537020360796678,175447.0,94476.0,-0.8570536432533129,75900.0,40657.0,107786.0,57686.0,30.0,24.0,400.0,400.0,152770.0,82345.0,152750.0,82325.0,20.0,20.0,0.0,3157180.0,3180003.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.2033493872731924,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,4036.836606571456,5305.292047618898,821.091599855572,1079.0312365759164,0.314142340228198,2709624.0,2509196.0,-0.07987737904890646,681902.0,608438.0,2032234.0,1902096.0,103.0,41.0,361.0,361.0,2519825.0,2344807.0,2286985.0,2111967.0,232840.0,232840.0,0.0,24908798.0,35816208.0,0.0,0.0,0.0,0.0,232840.0,232840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat195.tsp,ok,2.894400419667363,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,439.71336211903497,591.6174730017028,1275.6009402703494,1715.272262558341,0.3446777972700523,315708.0,284305.0,-0.11045532087019216,111928.0,99925.0,205946.0,185206.0,6.0,5.0,400.0,400.0,300400.0,272585.0,300390.0,272575.0,10.0,10.0,0.0,5480655.0,8830777.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.2710327673703432,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.9852270832221426,-2.2475500868351816,0.4257742315530777,0.3913820367306471,-0.0878737182465521,412.0,251.0,-0.6414342629482073,139.0,76.0,277.0,175.0,0.0,0.0,400.0,400.0,345.0,192.0,345.0,192.0,0.0,0.0,0.0,5741.0,5406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rd100.tsp,ok,0.09606701135635376,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,5.029035463757425,5.503648897121553,0.579191418364644,0.6247861124575138,0.07872128737958017,507.0,395.0,-0.2835443037974683,161.0,116.0,347.0,279.0,0.0,0.0,400.0,400.0,376.0,314.0,364.0,303.0,12.0,11.0,-0.09090909090909083,6292.0,8161.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
st70.tsp,ok,0.07336051017045975,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,5.369031439383052,5.6968354600076925,0.4672353956848383,0.4912832658737898,0.05146842557530107,977.0,730.0,-0.33835616438356175,329.0,235.0,657.0,501.0,0.0,0.0,361.0,361.0,857.0,619.0,855.0,617.0,2.0,2.0,0.0,15183.0,18843.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.02214985154569149,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.3062492542011339,0.010137482633765904,0.028933227062225342,0.02237439528107643,-0.2931400692065258,5.0,8.0,0.6000000000000001,3.0,4.0,3.0,3.0,3.0,6.0,100.0,100.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,67.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.13504626415669918,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,2538.469287138603,2875.2840073139087,342.9458401687443,388.43140984140337,0.1326319329322616,190887.0,158573.0,-0.2037799625409118,60228.0,48110.0,131295.0,110603.0,0.0,0.0,400.0,400.0,177281.0,146139.0,177251.0,146108.0,30.0,31.0,0.03333333333333344,2803552.0,4024647.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ulysses16.tsp,ok,0.03646428510546684,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.3789447599770315,-0.5564876131292322,0.026443615555763245,0.023427288979291916,-0.12875269431036385,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.03916095197200775,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.4290453021145808,-1.2465991730132528,0.02740357629954815,0.017431214451789856,-0.5720979381751752,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.20501085184514523,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.20812725275754929,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d198.tsp,ok,1.0714040137827396,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.47228593938052654,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.17204810306429863,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.6123605966567993,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
