instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32-no-node-update:status,P32-no-node-update:successful_repeats,P32-no-node-update:result,gap0.005-0.02:status,gap0.005-0.02:successful_repeats,gap0.005-0.02:result,result_match,P32-no-node-update:matches_reference,gap0.005-0.02:matches_reference,P32-no-node-update:wall_vs_Concorde_relative_change,gap0.005-0.02:wall_vs_Concorde_relative_change,P32-no-node-update:wall_seconds,gap0.005-0.02:wall_seconds,relative_change:wall_seconds,P32-no-node-update:branches,gap0.005-0.02:branches,relative_change:branches,P32-no-node-update:nodes_expanded,gap0.005-0.02:nodes_expanded,P32-no-node-update:pruned_by_bound,gap0.005-0.02:pruned_by_bound,P32-no-node-update:pruned_infeasible,gap0.005-0.02:pruned_infeasible,P32-no-node-update:root_potential_iterations,gap0.005-0.02:root_potential_iterations,P32-no-node-update:search_node_potential_update_candidates,gap0.005-0.02:search_node_potential_update_candidates,P32-no-node-update:search_node_potential_updates_triggered,gap0.005-0.02:search_node_potential_updates_triggered,P32-no-node-update:search_node_potential_updates_skipped_total,gap0.005-0.02:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32-no-node-update:search_node_potential_iterations,gap0.005-0.02:search_node_potential_iterations,P32-no-node-update:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.02:search_node_potential_updates_skipped_budget_exhausted,P32-no-node-update:search_node_potential_updates_skipped_depth_interval,gap0.005-0.02:search_node_potential_updates_skipped_depth_interval,P32-no-node-update:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.02:search_node_potential_updates_skipped_gap_above_maximum,P32-no-node-update:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.02:search_node_potential_updates_skipped_gap_below_minimum,P32-no-node-update:search_node_potential_updates_skipped_invalid_state,gap0.005-0.02:search_node_potential_updates_skipped_invalid_state,P32-no-node-update:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.02:search_node_potential_updates_skipped_numerically_unsafe,P32-no-node-update:search_node_potential_updates_skipped_strategy_none,gap0.005-0.02:search_node_potential_updates_skipped_strategy_none,P32-no-node-update:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.02:search_node_potential_updates_skipped_update_depth_zero,P32-no-node-update:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.02:search_node_potential_updates_skipped_zero_iteration_limit,P32-no-node-update:search_node_potential_updates_skipped_zero_violation,gap0.005-0.02:search_node_potential_updates_skipped_zero_violation
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,339.1829393190776,73.57511981845136,40.56192555092275,8.892011057585478,-0.7807793654563524,11756617.0,1720223.0,-0.8536804422564757,8463763.0,1251106.0,6839324.0,995621.0,3514.0,68.0,618.0,618.0,8463761.0,1251363.0,0.0,1623.0,8463761.0,1249740.0,-0.8523422388699303,0.0,47190.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1249726.0,0.0,0.0,0.0,0.0,8463761.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,3251.157744954055,35.9275961468061,458.18990920484066,5.202654130756855,-0.9886452014192418,129214031.0,1017916.0,-0.9921222487053283,90688415.0,707906.0,77948748.0,598356.0,1132.0,232.0,778.0,778.0,90688413.0,708066.0,0.0,598.0,90688413.0,707468.0,-0.9921989152020998,0.0,15902.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,707398.0,0.0,0.0,0.0,0.0,90688413.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.3398964035735665,1.4157623823585226,0.18899686448276043,0.19512467086315155,0.03242279387629776,348.0,314.0,-0.0977011494252874,225.0,199.0,212.0,189.0,3.0,2.0,333.0,333.0,224.0,198.0,0.0,7.0,224.0,191.0,-0.1473214285714286,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.199388986276112,2.2121915299207786,3.593528302386403,1.4078001659363508,-0.6082401340761797,660814.0,57069.0,-0.9136383309070328,487141.0,42078.0,383782.0,32875.0,84.0,1.0,341.0,341.0,487140.0,42119.0,0.0,417.0,487140.0,41702.0,-0.9143942193209345,0.0,12639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41701.0,0.0,0.0,0.0,0.0,487140.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.5815838767462996,-0.76708724144369,0.48565537482500076,0.2703417167067528,-0.443346597771791,91741.0,19062.0,-0.7922194002681462,67911.0,14654.0,52854.0,10460.0,346.0,4.0,400.0,400.0,67910.0,14655.0,0.0,30.0,67910.0,14625.0,-0.7846414371962892,0.0,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14623.0,0.0,0.0,0.0,0.0,67910.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,25.475888791773233,5.056239757926359,2.078137196600437,0.47536448016762733,-0.7712545249922566,525879.0,55909.0,-0.8936846689067257,350903.0,39868.0,302332.0,32171.0,0.0,0.0,400.0,400.0,350902.0,39876.0,0.0,53.0,350902.0,39823.0,-0.8865124735681187,0.0,1482.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,39808.0,0.0,0.0,0.0,0.0,350902.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,267.56769779894785,3.077384794895009,19.177821092307568,0.29115696623921394,-0.9848180372088255,8607708.0,49878.0,-0.9942054261134323,5632636.0,36469.0,5120096.0,28057.0,46294.0,1.0,734.0,361.0,5632634.0,36481.0,0.0,99.0,5632634.0,36382.0,-0.9935408549534729,0.0,2982.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36379.0,0.0,0.0,0.0,0.0,5632634.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.29198348142925834,0.46488054661196254,0.04375326260924339,0.04960845410823822,0.13382296884433598,8.0,8.0,0.0,4.0,4.0,2.0,2.0,6.0,6.0,100.0,100.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.31024178269484226,0.1713818377855152,0.041843099519610405,0.03740855120122433,-0.10598039746811205,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,0.08315493955999997,0.11856769097900344,0.04930255189538002,0.05091445334255695,0.03269407738969354,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
