instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P33>1%128:status,P33>1%128:successful_repeats,P33>1%128:result,gap0.005-0.01:status,gap0.005-0.01:successful_repeats,gap0.005-0.01:result,result_match,P33>1%128:matches_reference,gap0.005-0.01:matches_reference,P33>1%128:wall_vs_Concorde_relative_change,gap0.005-0.01:wall_vs_Concorde_relative_change,P33>1%128:wall_seconds,gap0.005-0.01:wall_seconds,relative_change:wall_seconds,P33>1%128:branches,gap0.005-0.01:branches,relative_change:branches,P33>1%128:nodes_expanded,gap0.005-0.01:nodes_expanded,P33>1%128:pruned_by_bound,gap0.005-0.01:pruned_by_bound,P33>1%128:pruned_infeasible,gap0.005-0.01:pruned_infeasible,P33>1%128:root_potential_iterations,gap0.005-0.01:root_potential_iterations,P33>1%128:search_node_potential_update_candidates,gap0.005-0.01:search_node_potential_update_candidates,P33>1%128:search_node_potential_updates_triggered,gap0.005-0.01:search_node_potential_updates_triggered,P33>1%128:search_node_potential_updates_skipped_total,gap0.005-0.01:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P33>1%128:search_node_potential_iterations,gap0.005-0.01:search_node_potential_iterations,P33>1%128:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.01:search_node_potential_updates_skipped_budget_exhausted,P33>1%128:search_node_potential_updates_skipped_depth_interval,gap0.005-0.01:search_node_potential_updates_skipped_depth_interval,P33>1%128:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.01:search_node_potential_updates_skipped_gap_above_maximum,P33>1%128:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.01:search_node_potential_updates_skipped_gap_below_minimum,P33>1%128:search_node_potential_updates_skipped_invalid_state,gap0.005-0.01:search_node_potential_updates_skipped_invalid_state,P33>1%128:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.01:search_node_potential_updates_skipped_numerically_unsafe,P33>1%128:search_node_potential_updates_skipped_strategy_none,gap0.005-0.01:search_node_potential_updates_skipped_strategy_none,P33>1%128:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.01:search_node_potential_updates_skipped_update_depth_zero,P33>1%128:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.01:search_node_potential_updates_skipped_zero_iteration_limit,P33>1%128:search_node_potential_updates_skipped_zero_violation,gap0.005-0.01:search_node_potential_updates_skipped_zero_violation
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1953.0210420349229,2466.9017128433757,181.8084265254438,229.62154325842857,0.2629862523247426,42366206.0,8611910.0,-0.7967269006811702,31290492.0,5747104.0,24820493.0,5458680.0,627.0,1514.0,320.0,649.0,31290527.0,6866103.0,615.0,1120236.0,31289912.0,5745867.0,-0.816366789398449,75437.0,3561454.0,0.0,0.0,0.0,0.0,0.0,735516.0,31289905.0,5010351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,3956.8555374264574,612.2015087702293,725.7186323665082,112.43759558722377,-0.8450672332601217,196710268.0,13943098.0,-0.9291186060506003,140892772.0,9961988.0,113725328.0,8105028.0,319748.0,26005.0,745.0,745.0,140892771.0,10205414.0,114.0,251184.0,140892657.0,9954230.0,-0.9293488375338113,14527.0,1563920.0,0.0,0.0,0.0,0.0,0.0,156746.0,140892657.0,9797484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,286.9453106914396,80.04299734469599,34.33333922736347,9.663212480023503,-0.7185472576369158,9306571.0,617035.0,-0.9336989961179042,6860780.0,423107.0,5391513.0,367629.0,4619.0,38.0,618.0,618.0,6860789.0,455712.0,210.0,33146.0,6860579.0,422566.0,-0.9384066563478097,25819.0,155368.0,0.0,0.0,0.0,0.0,0.0,21667.0,6860571.0,400897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,68.92594441196692,287.33695813783254,9.851724496111274,40.62320927530527,3.12346176462205,2338818.0,2043376.0,-0.126321073294288,1591102.0,1352353.0,1389542.0,1261464.0,3.0,133.0,378.0,778.0,1591103.0,1470845.0,47.0,121747.0,1591056.0,1349098.0,-0.15207384278114666,5850.0,698840.0,0.0,0.0,0.0,0.0,0.0,61230.0,1591048.0,1287864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.261002695540117,1.5431576868023091,0.18262450397014618,0.20541457645595074,0.12479197473702697,344.0,364.0,0.058139534883721034,225.0,237.0,205.0,219.0,2.0,3.0,333.0,333.0,224.0,236.0,1.0,6.0,223.0,230.0,0.03139013452914807,128.0,172.0,0.0,0.0,0.0,0.0,0.0,1.0,223.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,2.2891992665050704,5.825234487610146,1.4415501784533262,2.991280611604452,1.0750443906252842,163593.0,86844.0,-0.46914599035411053,120312.0,62977.0,94276.0,50314.0,40.0,42.0,341.0,341.0,120312.0,65257.0,40.0,2941.0,120272.0,62316.0,-0.4818744179858986,5038.0,37815.0,0.0,0.0,0.0,0.0,0.0,1995.0,120272.0,60321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.13932855352728002,-0.760612337672135,0.9989808965474367,0.2778571341186762,-0.7218594118476398,146658.0,8551.0,-0.9416942819348416,116317.0,6326.0,82260.0,4973.0,350.0,0.0,800.0,400.0,116315.0,6672.0,28.0,378.0,116287.0,6294.0,-0.945875291305133,3584.0,3161.0,0.0,0.0,0.0,0.0,0.0,233.0,116284.0,6058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,4.217129160996665,4.286558673697975,0.4095012731850147,0.41495091281831264,0.01330799191639076,39166.0,34799.0,-0.1114997702088546,28396.0,24415.0,22199.0,19783.0,6.0,2.0,400.0,400.0,28395.0,24468.0,15.0,113.0,28380.0,24355.0,-0.14182522903453132,1920.0,2349.0,0.0,0.0,0.0,0.0,0.0,76.0,28376.0,24275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,9.986711525617869,91.49989305302724,0.7845365982502699,6.605211328715086,7.419252006147966,218797.0,396100.0,0.8103538896785605,144557.0,228783.0,130693.0,255079.0,143.0,1517.0,734.0,734.0,144555.0,304021.0,18.0,75269.0,144537.0,228752.0,0.5826535765928447,2304.0,265382.0,0.0,0.0,0.0,0.0,0.0,55947.0,144536.0,172805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.3754251224091829,0.4918894944094554,0.0465790294110775,0.05052311718463898,0.08467518158769294,8.0,8.0,0.0,4.0,4.0,2.0,2.0,6.0,6.0,100.0,100.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
