instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,gap0.005-0.04:status,gap0.005-0.04:successful_repeats,gap0.005-0.04:result,result_match,P32:matches_reference,gap0.005-0.04:matches_reference,P32:wall_vs_Concorde_relative_change,gap0.005-0.04:wall_vs_Concorde_relative_change,P32:wall_seconds,gap0.005-0.04:wall_seconds,relative_change:wall_seconds,P32:branches,gap0.005-0.04:branches,relative_change:branches,P32:nodes_expanded,gap0.005-0.04:nodes_expanded,P32:pruned_by_bound,gap0.005-0.04:pruned_by_bound,P32:pruned_infeasible,gap0.005-0.04:pruned_infeasible,P32:root_potential_iterations,gap0.005-0.04:root_potential_iterations,P32:search_node_potential_update_candidates,gap0.005-0.04:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,gap0.005-0.04:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,gap0.005-0.04:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,gap0.005-0.04:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.04:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,gap0.005-0.04:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.04:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.04:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,gap0.005-0.04:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.04:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,gap0.005-0.04:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.04:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.04:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,gap0.005-0.04:search_node_potential_updates_skipped_zero_violation
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1134.1473085981813,338.1107657654258,105.61777054145932,31.551960503682494,-0.7012627672225191,406666.0,5901165.0,13.511085264074204,74929.0,4292060.0,331874.0,3447469.0,0.0,8.0,320.0,649.0,384981.0,4293027.0,323504.0,4945.0,61477.0,4288082.0,68.75099630756218,1648233.0,140224.0,0.0,0.0,0.0,0.0,61476.0,0.0,0.0,4288079.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.9339148509698,255.25322557823353,26.3919495921582,46.986995520070195,0.7803533367626381,29185.0,11758320.0,401.8891553880418,9814.0,8535273.0,19473.0,6770015.0,0.0,7991.0,372.0,745.0,27449.0,8535431.0,27443.0,1740.0,6.0,8533691.0,1422280.8333333333,459387.0,52927.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8533690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,143.19338205892296,78.41654308589544,17.192988101392984,9.469281189143658,-0.4492358667789428,22282.0,1714367.0,75.93954761691052,6636.0,1251106.0,15700.0,992055.0,0.0,68.0,301.0,618.0,20676.0,1251536.0,20664.0,2139.0,12.0,1249397.0,104115.41666666667,306097.0,60087.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1249397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,107.28839825732489,11.087494127010775,15.256532818078995,1.702982533723116,-0.8883768314839475,16514.0,238280.0,13.428969359331477,5333.0,163538.0,11243.0,140051.0,0.0,0.0,378.0,378.0,15624.0,163555.0,15331.0,196.0,293.0,163359.0,556.5392491467577,248604.0,5912.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,163355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,413.29850191548746,616.17815275152,97.51451370306313,145.26682369224727,0.4896943867719268,603657.0,36678106.0,59.75984540889942,109411.0,25888543.0,494438.0,21377175.0,1328.0,12441.0,729.0,729.0,556471.0,25888886.0,465965.0,2132.0,90506.0,25886754.0,285.02251784412084,2157607.0,61833.0,0.0,0.0,0.0,0.0,90506.0,0.0,0.0,25886752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,2.04037565759554,1.3154486902005083,0.24557560123503208,0.18702218681573868,-0.23843335463629356,81.0,314.0,2.876543209876543,26.0,199.0,55.0,189.0,0.0,2.0,333.0,333.0,51.0,198.0,51.0,7.0,0.0,191.0,,779.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.747438428342111,2.2349380268218666,4.710256366059184,1.4177692234516144,-0.6990038092899421,3749.0,57069.0,14.222459322485996,1387.0,42078.0,2374.0,32875.0,0.0,1.0,341.0,341.0,3497.0,42119.0,3497.0,417.0,0.0,41702.0,,59072.0,12639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1190.2384268469175,185.73212005965982,297.6144673358649,46.65244101732969,-0.8432453857672136,175447.0,2185390.0,11.456126351547761,75900.0,1644032.0,107786.0,1249205.0,30.0,44785.0,400.0,400.0,152770.0,1644061.0,152750.0,2359.0,20.0,1641702.0,82084.1,3157180.0,75118.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1641702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3778.690218042191,1600.2209433906871,813.1661650892347,344.4882037639618,-0.5763618574487066,2709624.0,25763642.0,8.508198185430894,681902.0,18081934.0,2032234.0,15382194.0,103.0,42446.0,361.0,361.0,2519825.0,18151239.0,2286985.0,289150.0,232840.0,17862089.0,75.71400532554544,24908798.0,7794262.0,0.0,0.0,0.0,0.0,232840.0,0.0,0.0,17862083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,439.47998241384715,495.791796958776,1260.4318454265594,1421.5678950995207,0.12784193787045184,315708.0,60003014.0,189.0585794468306,111928.0,45724452.0,205946.0,34851996.0,6.0,883.0,400.0,400.0,300400.0,45724739.0,300390.0,5846.0,10.0,45718893.0,4571888.3,5480655.0,183098.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,45718890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.6720143141592231,-0.768578507245173,0.38069281354546547,0.26861080527305603,-0.29441587622463405,412.0,19062.0,45.26699029126213,139.0,14654.0,277.0,10460.0,0.0,4.0,400.0,400.0,345.0,14655.0,345.0,30.0,0.0,14625.0,,5741.0,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,6.478038915323585,5.374271593024987,0.5869638957083225,0.5003273356705904,-0.14760117389023197,507.0,50823.0,99.24260355029585,161.0,38551.0,347.0,28932.0,0.0,0.0,400.0,400.0,376.0,38556.0,364.0,60.0,12.0,38496.0,3207.0,6292.0,1847.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,38492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
