instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,HP25:status,HP25:successful_repeats,HP25:result,HP2532:status,HP2532:successful_repeats,HP2532:result,result_match,HP25:matches_reference,HP2532:matches_reference,HP25:wall_vs_Concorde_symmetric_change,HP2532:wall_vs_Concorde_symmetric_change,HP25:wall_seconds,HP2532:wall_seconds,symmetric_change:wall_seconds,HP25:branches,HP2532:branches,symmetric_change:branches,HP25:nodes_expanded,HP2532:nodes_expanded,HP25:pruned_by_bound,HP2532:pruned_by_bound,HP25:pruned_infeasible,HP2532:pruned_infeasible,HP25:root_potential_iterations,HP2532:root_potential_iterations,HP25:search_node_potential_update_candidates,HP2532:search_node_potential_update_candidates,HP25:search_node_potential_updates_triggered,HP2532:search_node_potential_updates_triggered,HP25:search_node_potential_updates_skipped_total,HP2532:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,HP25:search_node_potential_iterations,HP2532:search_node_potential_iterations,HP25:search_node_potential_updates_skipped_budget_exhausted,HP2532:search_node_potential_updates_skipped_budget_exhausted,HP25:search_node_potential_updates_skipped_depth_interval,HP2532:search_node_potential_updates_skipped_depth_interval,HP25:search_node_potential_updates_skipped_gap_above_maximum,HP2532:search_node_potential_updates_skipped_gap_above_maximum,HP25:search_node_potential_updates_skipped_gap_below_minimum,HP2532:search_node_potential_updates_skipped_gap_below_minimum,HP25:search_node_potential_updates_skipped_invalid_state,HP2532:search_node_potential_updates_skipped_invalid_state,HP25:search_node_potential_updates_skipped_numerically_unsafe,HP2532:search_node_potential_updates_skipped_numerically_unsafe,HP25:search_node_potential_updates_skipped_strategy_none,HP2532:search_node_potential_updates_skipped_strategy_none,HP25:search_node_potential_updates_skipped_update_depth_zero,HP2532:search_node_potential_updates_skipped_update_depth_zero,HP25:search_node_potential_updates_skipped_zero_iteration_limit,HP2532:search_node_potential_updates_skipped_zero_iteration_limit,HP25:search_node_potential_updates_skipped_zero_violation,HP2532:search_node_potential_updates_skipped_zero_violation
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,343.9190254785083,345.578753313295,41.582266407087445,41.782357558608055,0.004811934721444366,11779135.0,11764483.0,-0.0012454435949289522,8463763.0,8463763.0,6851967.0,6847237.0,3515.0,3520.0,812.0,812.0,8463761.0,8463761.0,5.0,8.0,8463756.0,8463753.0,-3.5445268786737927e-07,80.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,8463756.0,8463753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,30.475012167268453,72.4714491490324,4.38209480792284,10.229030385613441,1.3342786575770393,1094707.0,2644580.0,1.4157879688354966,749325.0,1747525.0,670181.0,1574155.0,62.0,127.0,972.0,475.0,749323.0,1747524.0,17.0,5.0,749306.0,1747519.0,1.3321833803546217,272.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,749302.0,1747506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.159777812629172,1.3002009450911625,0.20528600737452507,0.2186331693083048,0.0650173974567545,348.0,348.0,0.0,225.0,225.0,212.0,212.0,3.0,3.0,434.0,434.0,224.0,224.0,0.0,0.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,6.199066327034569,6.1396814803457715,3.665937816724181,3.6356976237148046,-0.00831757647064113,660814.0,660814.0,0.0,487141.0,487141.0,383782.0,383782.0,84.0,84.0,460.0,460.0,487140.0,487140.0,0.0,0.0,487140.0,487140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487140.0,487140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.2033493872731924,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,8733.663433745522,8821.909507864402,1776.1884572897106,1794.1332423910499,0.010102973604907417,478474421.0,511252109.0,0.06850457738471238,339509661.0,360459365.0,289751435.0,309666766.0,770684.0,744914.0,434.0,434.0,339509661.0,360459365.0,3776.0,1471.0,339505885.0,360457894.0,0.06171324246706367,60406.0,47072.0,0.0,0.0,0.0,0.0,0.0,0.0,339505878.0,360457890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0
rat99.tsp,ok,1.2710327673703432,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.4408806621167933,-1.46195354562242,0.5207271240651608,0.5162700042128563,-0.00863331167012138,91741.0,91741.0,0.0,67911.0,67911.0,52854.0,52854.0,346.0,346.0,495.0,495.0,67910.0,67910.0,0.0,0.0,67910.0,67910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67907.0,67907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
rd100.tsp,ok,0.09606701135635376,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,41.81732627593708,344.4845069713607,4.113332569599152,33.18966405466199,7.068801511446072,1130105.0,9139590.0,7.087381261033267,810398.0,6577529.0,639743.0,5298064.0,23.0,793.0,497.0,497.0,810397.0,6577528.0,6.0,6.0,810391.0,6577522.0,7.11647957590842,96.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,810388.0,6577522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
st70.tsp,ok,0.07336051017045975,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,261.07859863536294,266.22668353157906,19.22621970064938,19.603885835036635,0.019643286109671365,8620168.0,8618315.0,-0.00021500722589040677,5632636.0,5632636.0,5135010.0,5132934.0,44533.0,44703.0,868.0,868.0,5632634.0,5632634.0,2.0,2.0,5632632.0,5632632.0,0.0,32.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,5632632.0,5632632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.02214985154569149,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.9463606739238275,1.033874888776634,0.04311159998178482,0.04505002684891224,0.0449629999338097,8.0,8.0,0.0,4.0,4.0,2.0,2.0,6.0,6.0,139.0,139.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03646428510546684,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.13458062768157975,0.5461702416975682,0.04137167148292065,0.05637999251484871,0.3627680607036605,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
