instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PH432:status,PH432:successful_repeats,PH432:result,result_match,P32:matches_reference,PH432:matches_reference,P32:wall_vs_Concorde_symmetric_change,PH432:wall_vs_Concorde_symmetric_change,P32:wall_seconds,PH432:wall_seconds,symmetric_change:wall_seconds,P32:branches,PH432:branches,symmetric_change:branches,P32:nodes_expanded,PH432:nodes_expanded,P32:pruned_by_bound,PH432:pruned_by_bound,P32:pruned_infeasible,PH432:pruned_infeasible,P32:root_potential_iterations,PH432:root_potential_iterations,P32:search_node_potential_update_candidates,PH432:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PH432:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PH432:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PH432:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PH432:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PH432:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PH432:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PH432:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PH432:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PH432:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PH432:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PH432:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PH432:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PH432:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.829813090715626,4.811863057950695,0.5696642939001322,0.4847586341202259,-0.17515038166158514,695.0,1264.0,0.8187050359712231,154.0,509.0,548.0,867.0,0.0,0.0,400.0,400.0,379.0,811.0,352.0,361.0,27.0,450.0,15.666666666666668,5416.0,3569.0,0.0,0.0,0.0,426.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.4018720011208465,1.2336918822047709,0.10703548789024353,0.09954081661999226,-0.07529244308757277,429.0,1254.0,1.923076923076923,135.0,650.0,298.0,721.0,51.0,187.0,400.0,400.0,411.0,1135.0,411.0,559.0,0.0,576.0,,6174.0,4480.0,0.0,0.0,0.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,3.3830817695751785,4.29307578009845,0.26096134819090366,0.3151408676058054,0.20761511155003398,454.0,1808.0,2.9823788546255505,135.0,784.0,328.0,1144.0,0.0,0.0,364.0,364.0,304.0,1573.0,295.0,833.0,9.0,740.0,81.22222222222223,5287.0,4900.0,0.0,0.0,0.0,733.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-1.0784746619806227,0.2578685532091418,0.01599702797830105,0.04182339645922184,1.614447915947426,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,91.47385143660735,157.7005257196011,17.418047908693552,29.892270270735025,0.7161664973843276,12407.0,104280.0,7.4049326992826625,3833.0,45440.0,8620.0,65504.0,0.0,6.0,400.0,400.0,11445.0,92769.0,11321.0,49443.0,124.0,43326.0,348.4032258064516,179449.0,277048.0,0.0,0.0,0.0,43204.0,123.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,191.96171384227145,280.13837317155503,67.94008772075176,98.98629813455045,0.45696453235982304,51113.0,354948.0,5.944378142546906,17260.0,183448.0,34040.0,216594.0,0.0,18.0,400.0,400.0,47121.0,306429.0,47117.0,135115.0,4.0,171314.0,42827.5,768553.0,963744.0,0.0,0.0,0.0,171312.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.07628818490139722,0.5746519257256766,0.02659849263727665,0.04507857374846935,0.6947792629907779,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.35711311247680033,1.5834322715639138,0.014999672770500183,0.028553728014230728,0.9036233957308235,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.4489850154977706,-0.02594423291786918,0.019799761474132538,0.027964051812887192,0.4123428632926167,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,1.9449781187160369,1.955651941397154,0.28193128295242786,0.28295311890542507,0.0036244149364923484,1203.0,6797.0,4.6500415627597675,405.0,3320.0,800.0,4296.0,0.0,2.0,334.0,334.0,1124.0,5730.0,1117.0,2587.0,7.0,3143.0,448.0,17868.0,16056.0,0.0,0.0,0.0,3138.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,14.128702865261973,12.332496556370721,3.6054332200437784,3.177365992218256,-0.13472392820780144,5119.0,24645.0,3.8144168782965426,1765.0,12357.0,3384.0,15059.0,0.0,7.0,319.0,319.0,4732.0,20891.0,4731.0,9366.0,1.0,11525.0,11524.0,78352.0,68506.0,0.0,0.0,0.0,11524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.645985186261536,0.15653258890464805,0.027893396094441414,0.05309885926544666,0.9036355087657535,18.0,31.0,0.7222222222222223,7.0,19.0,11.0,17.0,1.0,7.0,100.0,100.0,13.0,23.0,13.0,6.0,0.0,17.0,,195.0,49.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,944.3905087016559,1011.5692537506069,105.71059533022344,113.22231145948172,0.071059254805943,406666.0,649711.0,0.5976526191026543,74929.0,190047.0,331874.0,483994.0,0.0,0.0,320.0,320.0,384981.0,595401.0,323504.0,410872.0,61477.0,184529.0,2.0015940920994844,1648233.0,1664739.0,0.0,0.0,0.0,123056.0,61476.0,61473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,382.83147405509465,817.8831196299517,206.2723424229771,440.07057960145175,1.1334444280419023,89949.0,1066086.0,10.852116199179536,28403.0,460072.0,61819.0,666473.0,0.0,19.0,400.0,400.0,86002.0,962583.0,85993.0,523146.0,9.0,439437.0,48825.333333333336,1426112.0,2971494.0,0.0,0.0,0.0,439429.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
kroB100.tsp,ok,0.21567042730748653,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,127.6552513383196,332.0339068715026,27.747133031487465,71.82556500285864,1.588576085368926,29185.0,503564.0,16.254205927702586,9814.0,241263.0,19473.0,307085.0,0.0,59.0,372.0,745.0,27449.0,439622.0,27443.0,212058.0,6.0,227564.0,37926.333333333336,459387.0,1395314.0,0.0,0.0,0.0,227561.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,154.80183995156986,139.47242890794223,18.782940739765763,16.93487900123,-0.10912754312573081,22282.0,102303.0,3.591284444843371,6636.0,45667.0,15700.0,65163.0,0.0,0.0,301.0,301.0,20676.0,89990.0,20664.0,46361.0,12.0,43629.0,3634.75,306097.0,246835.0,0.0,0.0,0.0,43620.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,120.22240613489878,205.88192292423082,16.87713649496436,28.803045269101858,0.7066310554338311,16514.0,144370.0,7.742279278188205,5333.0,65852.0,11243.0,89889.0,0.0,0.0,378.0,378.0,15624.0,122886.0,15331.0,60596.0,293.0,62290.0,211.5938566552901,248604.0,386813.0,0.0,0.0,0.0,61998.0,292.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
kroE100.tsp,ok,0.26656487211585045,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,391.56750240718867,269.8904634646833,104.64470607601106,72.20988175086677,-0.44917431712530065,603657.0,557967.0,-0.08188656318384413,109411.0,174190.0,494438.0,410206.0,1328.0,909.0,729.0,729.0,556471.0,495214.0,465965.0,328501.0,90506.0,166713.0,0.8420104744436834,2157607.0,1356426.0,0.0,0.0,0.0,116615.0,90506.0,50097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.5738282486497037,1.2889011959643706,0.24464133381843567,0.21755913272500038,-0.12448202359616767,81.0,59.0,-0.3728813559322033,26.0,25.0,55.0,36.0,0.0,1.0,333.0,333.0,51.0,41.0,51.0,21.0,0.0,20.0,,779.0,162.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,8.754945085509881,6.8114749013404365,4.96745278686285,3.9777910001575947,-0.24879682885954701,3749.0,17329.0,3.622299279807949,1387.0,9240.0,2374.0,10536.0,0.0,0.0,341.0,341.0,3497.0,14304.0,3497.0,5735.0,0.0,8569.0,,59072.0,45667.0,0.0,0.0,0.0,8568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr76.tsp,ok,0.2033493872731924,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,4036.836606571456,3789.569186319128,821.091599855572,770.8099214546382,-0.06523226673839955,2709624.0,8727965.0,2.2210982040312603,681902.0,3851721.0,2032234.0,5768509.0,103.0,5034.0,361.0,361.0,2519825.0,7337374.0,2286985.0,3695738.0,232840.0,3641636.0,14.640079024222642,24908798.0,20961330.0,0.0,0.0,0.0,3408830.0,232840.0,232806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.2710327673703432,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.9852270832221426,-2.4027337008516962,0.4257742315530777,0.37353283539414406,-0.13985757397688903,412.0,893.0,1.1674757281553396,139.0,431.0,277.0,548.0,0.0,0.0,400.0,400.0,345.0,748.0,345.0,347.0,0.0,401.0,,5741.0,2172.0,0.0,0.0,0.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rd100.tsp,ok,0.09606701135635376,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,5.029035463757425,11.17905714843675,0.579191418364644,1.1700056213885546,1.020067259787936,507.0,5100.0,9.059171597633137,161.0,2415.0,347.0,3218.0,0.0,0.0,400.0,400.0,376.0,4265.0,364.0,2003.0,12.0,2262.0,187.5,6292.0,12543.0,0.0,0.0,0.0,2252.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
st70.tsp,ok,0.07336051017045975,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,5.369031439383052,5.954272151079174,0.4672353956848383,0.5101689528673887,0.09188849470537575,977.0,5282.0,4.406345957011259,329.0,2400.0,657.0,3305.0,0.0,0.0,361.0,361.0,857.0,4376.0,855.0,2110.0,2.0,2266.0,1132.0,15183.0,14969.0,0.0,0.0,0.0,2266.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.02214985154569149,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.3062492542011339,1.1964098892908623,0.028933227062225342,0.04865015298128128,0.6814630762289897,5.0,8.0,0.6000000000000001,3.0,4.0,3.0,2.0,3.0,6.0,100.0,100.0,3.0,3.0,3.0,0.0,0.0,3.0,,67.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.13504626415669918,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,2538.469287138603,1000.3503363770895,342.9458401687443,135.22862203978002,-1.5360447736268465,190887.0,421370.0,1.207431621849576,60228.0,208591.0,131295.0,261509.0,0.0,3.0,400.0,800.0,177281.0,360820.0,177251.0,163859.0,30.0,196961.0,6564.366666666667,2803552.0,1020283.0,0.0,0.0,0.0,196942.0,30.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ulysses16.tsp,ok,0.03646428510546684,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.3789447599770315,0.4961905056717162,0.026443615555763245,0.05455751717090607,1.063164057723398,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.03916095197200775,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.4290453021145808,-0.2850817718285945,0.02740357629954815,0.030473509803414345,0.1120267468124887,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.20501085184514523,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.20812725275754929,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d198.tsp,ok,1.0714040137827396,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.47228593938052654,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.17204810306429863,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.6123605966567993,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr144.tsp,ok,0.294503515586257,58537.0,1.0,ok,1,58537.0,timeout,0,,,True,,1142.454619292494,,336.7514052949846,,,175447.0,,,75900.0,,107786.0,,30.0,,400.0,,152770.0,,152750.0,,20.0,,,3157180.0,,0.0,,0.0,,20.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
pr152.tsp,ok,0.8900012671947479,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa194.tsp,ok,0.45648094080388546,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rat195.tsp,ok,2.894400419667363,2323.0,3.0,ok,1,2323.0,timeout,0,,,True,,439.71336211903497,,1275.6009402703494,,,315708.0,,,111928.0,,205946.0,,6.0,,400.0,,300400.0,,300390.0,,10.0,,,5480655.0,,0.0,,0.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
si175.tsp,ok,2.043676285073161,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xqf131.tsp,ok,0.3609807752072811,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
