instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PSD-PSD16:status,PSD-PSD16:successful_repeats,PSD-PSD16:result,result_match,PS-PS16:matches_reference,PSD-PSD16:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PSD-PSD16:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PSD-PSD16:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PSD-PSD16:branches,relative_change:branches,PS-PS16:nodes_expanded,PSD-PSD16:nodes_expanded,PS-PS16:pruned_by_bound,PSD-PSD16:pruned_by_bound,PS-PS16:pruned_infeasible,PSD-PSD16:pruned_infeasible,PS-PS16:root_potential_iterations,PSD-PSD16:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PSD-PSD16:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PSD-PSD16:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PSD-PSD16:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PSD-PSD16:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD16:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PSD-PSD16:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD16:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD16:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PSD-PSD16:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD16:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PSD-PSD16:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD16:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD16:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PSD-PSD16:search_node_potential_updates_skipped_zero_violation
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.08879551024448518,0.28485651510922927,0.028479374945163727,0.04015773721039295,0.4100638545514288,16.0,12.0,-0.25,6.0,5.0,10.0,7.0,0.0,0.0,100.0,100.0,13.0,9.0,13.0,9.0,0.0,0.0,0.0,94.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1654.867892533188,1181.890520964611,154.06729487515986,110.05995316430926,-0.28563714152643216,801204.0,419072.0,-0.47694719447231915,143666.0,80639.0,658008.0,338851.0,0.0,1.0,800.0,330.0,761556.0,397351.0,639202.0,344659.0,122354.0,52692.0,-0.5693479575657518,2724311.0,1789644.0,0.0,0.0,0.0,0.0,122354.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,801.7190976687402,848.2813984736539,147.18783953227103,155.72557643055916,0.0580057219768908,275891.0,288210.0,0.044651692153785394,93599.0,99495.0,183791.0,190564.0,0.0,14.0,400.0,400.0,256049.0,267405.0,256045.0,267142.0,4.0,263.0,64.75,2402306.0,2557901.0,0.0,0.0,0.0,0.0,2.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,176.40903793144824,210.53596178181823,21.153477605432272,25.22262271679938,0.19236293848544972,42335.0,48189.0,0.13827802055037197,13263.0,14744.0,29227.0,33625.0,0.0,0.0,372.0,311.0,39616.0,44922.0,39071.0,44764.0,545.0,158.0,-0.710091743119266,340879.0,392736.0,0.0,0.0,0.0,0.0,545.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,14.314670287496126,179.3760824591088,2.1576528381556273,25.412820449098945,10.777993196913899,3289.0,41390.0,11.58437214958954,1084.0,13365.0,2221.0,28277.0,0.0,0.0,400.0,400.0,2987.0,38328.0,2950.0,38008.0,37.0,320.0,7.648648648648649,27164.0,350637.0,0.0,0.0,0.0,0.0,34.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,502.1981259481485,274.62167743048497,118.43904894962907,64.8737895898521,-0.4522601273382205,681597.0,112861.0,-0.8344168181491409,138862.0,37703.0,543770.0,75997.0,1248.0,0.0,721.0,394.0,626734.0,106787.0,540761.0,106763.0,85973.0,24.0,-0.9997208425901155,2559291.0,974592.0,0.0,0.0,0.0,0.0,85973.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.6064550862883467,1.5085961115400015,0.2105272002518177,0.20262298732995987,-0.03754485364553073,55.0,62.0,0.1272727272727272,19.0,22.0,36.0,40.0,0.0,0.0,348.0,307.0,38.0,40.0,38.0,39.0,0.0,1.0,,352.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,8.384934315283054,12.479612389377507,4.1131146643310785,5.907680280506611,0.4363033279227544,5484.0,7902.0,0.44091903719912473,1981.0,2750.0,3531.0,5211.0,0.0,0.0,387.0,349.0,5022.0,7237.0,5022.0,7237.0,0.0,0.0,0.0,47816.0,68594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1505.9501472312838,1178.3095761312727,376.4906800035387,294.6342087481171,-0.2174196483553119,369988.0,289684.0,-0.21704487713115017,170203.0,132675.0,225057.0,175480.0,121.0,69.0,400.0,400.0,311567.0,249603.0,311567.0,249603.0,0.0,0.0,0.0,3592924.0,2831507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,1455.0039017627962,1998.4395512906553,313.24607066996396,430.161335574463,0.37323777008421266,1219976.0,1680006.0,0.37708118848239636,362873.0,472155.0,864005.0,1217433.0,95.0,122.0,400.0,400.0,1124682.0,1528715.0,1068068.0,1453850.0,56614.0,74865.0,0.32237609071961004,8906012.0,11816231.0,0.0,0.0,0.0,0.0,56613.0,74865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,459.4354875438627,313.4212739274417,1317.5344497710466,899.7153159286827,-0.3171219803132814,548457.0,385045.0,-0.2979486085508982,199894.0,140683.0,355955.0,249508.0,19.0,17.0,400.0,400.0,516995.0,362982.0,516985.0,362973.0,10.0,9.0,-0.09999999999999998,5354138.0,3773961.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7624444274104423,-0.7628921524954355,0.2757306285202503,0.2752109542489052,-0.0018847172478952956,265.0,304.0,0.14716981132075468,84.0,100.0,183.0,208.0,0.0,0.0,400.0,400.0,203.0,220.0,203.0,220.0,0.0,0.0,0.0,2019.0,2326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,18.899090491520816,2.3418210682207534,1.5619131978601217,0.26230517588555813,-0.8320616176078633,2672.0,280.0,-0.8952095808383234,945.0,67.0,1750.0,215.0,2.0,0.0,400.0,400.0,2365.0,134.0,2351.0,118.0,14.0,16.0,0.1428571428571428,22535.0,1213.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,5.421203896333847,8.764403618292587,0.4585238676518202,0.6972543131560087,0.5206499865029237,1507.0,2322.0,0.5408095554080956,499.0,789.0,1033.0,1572.0,0.0,0.0,400.0,400.0,1335.0,2109.0,1333.0,2099.0,2.0,10.0,4.0,13307.0,21442.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.14620696262970934,-0.0011208260121398084,0.028913861140608788,0.03382723033428192,0.16993127171010824,11.0,3.0,-0.7272727272727273,5.0,2.0,6.0,2.0,3.0,0.0,100.0,100.0,5.0,2.0,4.0,2.0,1.0,0.0,-1.0,54.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,904.9376702756701,513.6431189831437,109.56179663538933,62.23962927237153,-0.43192215549824564,87109.0,49715.0,-0.42927826057009033,30343.0,17389.0,57336.0,32662.0,0.0,0.0,400.0,400.0,80976.0,46382.0,80888.0,46353.0,88.0,29.0,-0.6704545454545454,786342.0,450586.0,0.0,0.0,0.0,0.0,86.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.17005388508694774,0.002493294182992045,0.02650466375052929,0.03201502747833729,0.20790166514366581,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.56730455748639,-0.4732395017482679,0.019695233553647995,0.023976843804121017,0.21739322048709453,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,85.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
