instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P33>2%:status,P33>2%:successful_repeats,P33>2%:result,P33>5%64:status,P33>5%64:successful_repeats,P33>5%64:result,result_match,P33>2%:matches_reference,P33>5%64:matches_reference,P33>2%:wall_vs_Concorde_relative_change,P33>5%64:wall_vs_Concorde_relative_change,P33>2%:wall_seconds,P33>5%64:wall_seconds,relative_change:wall_seconds,P33>2%:branches,P33>5%64:branches,relative_change:branches,P33>2%:nodes_expanded,P33>5%64:nodes_expanded,P33>2%:pruned_by_bound,P33>5%64:pruned_by_bound,P33>2%:pruned_infeasible,P33>5%64:pruned_infeasible,P33>2%:root_potential_iterations,P33>5%64:root_potential_iterations,P33>2%:search_node_potential_update_candidates,P33>5%64:search_node_potential_update_candidates,P33>2%:search_node_potential_updates_triggered,P33>5%64:search_node_potential_updates_triggered,P33>2%:search_node_potential_updates_skipped_total,P33>5%64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P33>2%:search_node_potential_iterations,P33>5%64:search_node_potential_iterations,P33>2%:search_node_potential_updates_skipped_budget_exhausted,P33>5%64:search_node_potential_updates_skipped_budget_exhausted,P33>2%:search_node_potential_updates_skipped_depth_interval,P33>5%64:search_node_potential_updates_skipped_depth_interval,P33>2%:search_node_potential_updates_skipped_gap_above_maximum,P33>5%64:search_node_potential_updates_skipped_gap_above_maximum,P33>2%:search_node_potential_updates_skipped_gap_below_minimum,P33>5%64:search_node_potential_updates_skipped_gap_below_minimum,P33>2%:search_node_potential_updates_skipped_invalid_state,P33>5%64:search_node_potential_updates_skipped_invalid_state,P33>2%:search_node_potential_updates_skipped_numerically_unsafe,P33>5%64:search_node_potential_updates_skipped_numerically_unsafe,P33>2%:search_node_potential_updates_skipped_strategy_none,P33>5%64:search_node_potential_updates_skipped_strategy_none,P33>2%:search_node_potential_updates_skipped_update_depth_zero,P33>5%64:search_node_potential_updates_skipped_update_depth_zero,P33>2%:search_node_potential_updates_skipped_zero_iteration_limit,P33>5%64:search_node_potential_updates_skipped_zero_iteration_limit,P33>2%:search_node_potential_updates_skipped_zero_violation,P33>5%64:search_node_potential_updates_skipped_zero_violation
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,74.54855473763455,3400.363373745387,10.643882662057877,479.2111876513809,44.022216315820486,2644580.0,129214031.0,47.859944112108536,1747525.0,90688415.0,1574155.0,77948748.0,127.0,1132.0,378.0,778.0,1747524.0,90688413.0,5.0,0.0,1747519.0,90688413.0,50.895523310476165,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1747506.0,90688403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.3450398351382584,1.287926180725969,0.18941230699419975,0.18479915335774422,-0.024355089221297588,348.0,348.0,0.0,225.0,225.0,212.0,212.0,3.0,3.0,333.0,333.0,224.0,224.0,0.0,0.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.212480280245362,7.263174298903154,3.599265795201063,3.621483352035284,0.006172802482062867,660814.0,660814.0,0.0,487141.0,487141.0,383782.0,383782.0,84.0,84.0,341.0,341.0,487140.0,487140.0,0.0,0.0,487140.0,487140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487140.0,487140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.5732063042467561,-0.5772587492070436,0.49537921883165836,0.4906755480915308,-0.009495090955210173,91741.0,91741.0,0.0,67911.0,67911.0,52854.0,52854.0,346.0,346.0,400.0,400.0,67910.0,67910.0,0.0,0.0,67910.0,67910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67907.0,67907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,423.8832461744573,26.118401100296765,33.349803099408746,2.128569072112441,-0.9361744635862579,9139590.0,525879.0,-0.942461423324241,6577529.0,350903.0,5298064.0,302332.0,793.0,0.0,400.0,400.0,6577528.0,350902.0,6.0,0.0,6577522.0,350902.0,-0.9466513376922191,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6577522.0,350895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,273.2896715361102,274.0745982002233,19.58641449175775,19.64246435649693,0.002861670509564984,8618315.0,8607708.0,-0.0012307510226766682,5632636.0,5632636.0,5132934.0,5120096.0,44703.0,46294.0,734.0,734.0,5632634.0,5632634.0,2.0,0.0,5632632.0,5632634.0,3.550737914803648e-07,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5632632.0,5632634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.38165077243931844,0.10084453013475314,0.020940512418746948,0.037280306220054626,0.7802957957551944,8.0,8.0,0.0,4.0,4.0,2.0,2.0,6.0,6.0,100.0,100.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.3117233644960111,0.1511130615124745,0.04189041443169117,0.03676125966012478,-0.12244220643675596,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.35797687486355245,-0.36408772009872714,0.02922331541776657,0.028945164754986763,-0.009518107675445475,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.18208833783864975,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d198.tsp,ok,0.9902167804539204,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,timeout,0,,ok,1,21282.0,,,True,,8924.212912391471,,830.4306254126132,,,192614325.0,,,146674028.0,,115357483.0,,7007.0,,649.0,,146674026.0,,0.0,,146674026.0,,,0.0,,0.0,,0.0,,0.0,,146674025.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.46501733362674713,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.15831930935382843,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.5037562884390354,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr152.tsp,ok,0.8909101411700249,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa194.tsp,ok,0.48868450708687305,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rat195.tsp,ok,2.86149631254375,2323.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si175.tsp,ok,1.865148700773716,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,timeout,0,,,True,,7124.827376614412,,861.7794308718294,,,38741116.0,,,28704690.0,,21793674.0,,102.0,,800.0,,28704688.0,,15.0,,28704673.0,,,480.0,,0.0,,0.0,,0.0,,28704664.0,,0.0,,0.0,,0.0,,0.0,,0.0,,9.0,
xqf131.tsp,ok,0.36307481303811073,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
