instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,H4:status,H4:successful_repeats,H4:result,PH432:status,PH432:successful_repeats,PH432:result,result_match,H4:matches_reference,PH432:matches_reference,H4:wall_vs_Concorde_symmetric_change,PH432:wall_vs_Concorde_symmetric_change,H4:wall_seconds,PH432:wall_seconds,symmetric_change:wall_seconds,H4:branches,PH432:branches,symmetric_change:branches,H4:nodes_expanded,PH432:nodes_expanded,H4:pruned_by_bound,PH432:pruned_by_bound,H4:pruned_infeasible,PH432:pruned_infeasible,H4:root_potential_iterations,PH432:root_potential_iterations,H4:search_node_potential_update_candidates,PH432:search_node_potential_update_candidates,H4:search_node_potential_updates_triggered,PH432:search_node_potential_updates_triggered,H4:search_node_potential_updates_skipped_total,PH432:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,H4:search_node_potential_iterations,PH432:search_node_potential_iterations,H4:search_node_potential_updates_skipped_budget_exhausted,PH432:search_node_potential_updates_skipped_budget_exhausted,H4:search_node_potential_updates_skipped_depth_interval,PH432:search_node_potential_updates_skipped_depth_interval,H4:search_node_potential_updates_skipped_gap_above_maximum,PH432:search_node_potential_updates_skipped_gap_above_maximum,H4:search_node_potential_updates_skipped_gap_below_minimum,PH432:search_node_potential_updates_skipped_gap_below_minimum,H4:search_node_potential_updates_skipped_invalid_state,PH432:search_node_potential_updates_skipped_invalid_state,H4:search_node_potential_updates_skipped_numerically_unsafe,PH432:search_node_potential_updates_skipped_numerically_unsafe,H4:search_node_potential_updates_skipped_strategy_none,PH432:search_node_potential_updates_skipped_strategy_none,H4:search_node_potential_updates_skipped_update_depth_zero,PH432:search_node_potential_updates_skipped_update_depth_zero,H4:search_node_potential_updates_skipped_zero_iteration_limit,PH432:search_node_potential_updates_skipped_zero_iteration_limit,H4:search_node_potential_updates_skipped_zero_violation,PH432:search_node_potential_updates_skipped_zero_violation
rat99.tsp,ok,1.2710327673703432,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.8525501531425066,-2.4027337008516962,0.4455777108669281,0.37353283539414406,-0.19287427676007063,2887.0,893.0,-2.232922732362822,1404.0,431.0,1807.0,548.0,1.0,0.0,400.0,400.0,2490.0,748.0,1170.0,347.0,1320.0,401.0,-2.291770573566085,5516.0,2172.0,0.0,0.0,1319.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rd100.tsp,ok,0.09606701135635376,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,6.975552831355239,11.17905714843675,0.7661875244230032,1.1700056213885546,0.5270486455253325,4345.0,5100.0,0.17376294591484465,2143.0,2415.0,2630.0,3218.0,0.0,0.0,400.0,400.0,3734.0,4265.0,1743.0,2003.0,1991.0,2262.0,0.13611250627825222,8498.0,12543.0,0.0,0.0,1981.0,2252.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
st70.tsp,ok,0.07336051017045975,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,32.66058101023117,5.954272151079174,2.469357395544648,0.5101689528673887,-3.8402737596353163,43736.0,5282.0,-7.280196895115486,20524.0,2400.0,27788.0,3305.0,2.0,0.0,361.0,361.0,37371.0,4376.0,17963.0,2110.0,19408.0,2266.0,-7.564872021182701,84903.0,14969.0,0.0,0.0,19406.0,2266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
swiss42.tsp,ok,0.02214985154569149,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,1.6522847072612787,1.1964098892908623,0.05874771252274513,0.04865015298128128,-0.20755452804740426,8.0,8.0,0.0,4.0,4.0,2.0,2.0,6.0,6.0,100.0,100.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.13504626415669918,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,539.4544740450079,1000.3503363770895,72.98635766655207,135.22862203978002,0.8527931296090985,293912.0,421370.0,0.4336604153624215,154149.0,208591.0,179278.0,261509.0,0.0,3.0,800.0,800.0,257174.0,360820.0,112921.0,163859.0,144253.0,196961.0,0.3653858151996838,560737.0,1020283.0,0.0,0.0,144233.0,196942.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ulysses16.tsp,ok,0.03646428510546684,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.0897617943532012,0.4961905056717162,0.039737384766340256,0.05455751717090607,0.3729518812501038,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.03916095197200775,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.11923802888161661,-0.2850817718285945,0.03498893976211548,0.030473509803414345,-0.14817557898090272,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.20501085184514523,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.20812725275754929,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch130.tsp,ok,0.19108222052454948,6110.0,1.0,timeout,0,,ok,1,6110.0,,,True,,6064.752258060579,,1159.0574106220156,,,4257378.0,,,1857192.0,,2652335.0,,74.0,,800.0,,3815682.0,,2039188.0,,1776494.0,,,11480392.0,,0.0,,1774794.0,,1695.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0
