instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P16:status,P16:successful_repeats,P16:result,hybrid:status,hybrid:successful_repeats,hybrid:result,result_match,P16:matches_reference,hybrid:matches_reference,P16:wall_vs_Concorde_symmetric_change,hybrid:wall_vs_Concorde_symmetric_change,P16:wall_seconds,hybrid:wall_seconds,symmetric_change:wall_seconds,P16:branches,hybrid:branches,symmetric_change:branches,P16:nodes_expanded,hybrid:nodes_expanded,P16:pruned_by_bound,hybrid:pruned_by_bound,P16:pruned_infeasible,hybrid:pruned_infeasible,P16:root_potential_iterations,hybrid:root_potential_iterations,P16:search_node_potential_update_candidates,hybrid:search_node_potential_update_candidates,P16:search_node_potential_updates_triggered,hybrid:search_node_potential_updates_triggered,P16:search_node_potential_updates_skipped_total,hybrid:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P16:search_node_potential_iterations,hybrid:search_node_potential_iterations,P16:search_node_potential_updates_skipped_budget_exhausted,hybrid:search_node_potential_updates_skipped_budget_exhausted,P16:search_node_potential_updates_skipped_depth_interval,hybrid:search_node_potential_updates_skipped_depth_interval,P16:search_node_potential_updates_skipped_gap_above_maximum,hybrid:search_node_potential_updates_skipped_gap_above_maximum,P16:search_node_potential_updates_skipped_gap_below_minimum,hybrid:search_node_potential_updates_skipped_gap_below_minimum,P16:search_node_potential_updates_skipped_invalid_state,hybrid:search_node_potential_updates_skipped_invalid_state,P16:search_node_potential_updates_skipped_numerically_unsafe,hybrid:search_node_potential_updates_skipped_numerically_unsafe,P16:search_node_potential_updates_skipped_strategy_none,hybrid:search_node_potential_updates_skipped_strategy_none,P16:search_node_potential_updates_skipped_update_depth_zero,hybrid:search_node_potential_updates_skipped_update_depth_zero,P16:search_node_potential_updates_skipped_zero_iteration_limit,hybrid:search_node_potential_updates_skipped_zero_iteration_limit,P16:search_node_potential_updates_skipped_zero_violation,hybrid:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,3.7772527989540947,3.9379857794123323,0.39846337027847767,0.41186986304819584,0.03364548354933761,669.0,669.0,0.0,145.0,145.0,528.0,528.0,0.0,0.0,400.0,497.0,333.0,333.0,306.0,306.0,27.0,27.0,0.0,3068.0,3068.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.62149913069182,1.1792641534891115,0.11682281084358692,0.09711533412337303,-0.20292857866480674,434.0,434.0,0.0,150.0,150.0,291.0,291.0,56.0,56.0,400.0,447.0,407.0,407.0,407.0,407.0,0.0,0.0,0.0,3861.0,3861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,2.8970225777775553,2.8003840836030216,0.23202219791710377,0.22626850381493568,-0.025428612489849733,461.0,461.0,0.0,132.0,132.0,336.0,336.0,0.0,0.0,364.0,437.0,331.0,331.0,322.0,322.0,9.0,9.0,0.0,3304.0,3304.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.45747903449299576,-0.25706182661595967,0.022812964394688606,0.026450105011463165,0.15943305542621067,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,80.12385533087057,75.54744264782684,15.280202746391296,14.418205823749304,-0.05978531123630737,17218.0,17218.0,0.0,5309.0,5309.0,12010.0,12010.0,0.0,0.0,400.0,516.0,15777.0,15777.0,15651.0,15651.0,126.0,126.0,0.0,140529.0,140529.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,606.8199948229736,510.4622915150463,214.00796533375978,180.08128275536,-0.1883964955119133,227526.0,210917.0,-0.07874661596741839,80843.0,75940.0,148909.0,136983.0,2.0,0.0,400.0,576.0,210360.0,195266.0,210357.0,195260.0,3.0,6.0,1.0,1969124.0,1830533.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-1.0559970570038293,0.10693198521290648,0.013923970982432365,0.03168885409832001,1.2758489039011423,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.24993440163590597,1.9430346671133703,0.01381506584584713,0.03252828121185303,1.3545512974613274,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.408151092984975,-0.1422741406499366,0.02037391997873783,0.025116175413131714,0.2327610709840271,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.6647160557976584,2.399126962812645,0.3508338797837496,0.3254082668572664,-0.07813450215029594,2354.0,2354.0,0.0,747.0,747.0,1619.0,1619.0,0.0,0.0,334.0,380.0,2178.0,2178.0,2171.0,2171.0,7.0,7.0,0.0,19414.0,19414.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,26.411799302364894,24.9429755906653,6.532708898186684,6.182662641629577,-0.056617395586191055,14143.0,14143.0,0.0,5120.0,5120.0,9212.0,9212.0,2.0,2.0,319.0,413.0,12968.0,12968.0,12967.0,12967.0,1.0,1.0,0.0,123800.0,123800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.6232672645610562,-0.21005365125857178,0.028283769264817238,0.03794221580028534,0.34148371262109123,21.0,5.0,-3.2,9.0,2.0,12.0,3.0,2.0,0.0,100.0,176.0,15.0,3.0,15.0,3.0,0.0,0.0,0.0,139.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,993.1753663402266,949.321595357269,111.16556478105485,106.26197394169867,-0.046146242700578544,439737.0,439737.0,0.0,85517.0,85517.0,354732.0,354732.0,0.0,0.0,320.0,417.0,416167.0,416167.0,354691.0,354691.0,61476.0,61476.0,0.0,1638919.0,1638919.0,0.0,0.0,0.0,0.0,61476.0,61476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,567.5478775029725,243.50966243642324,305.5395672302693,131.40032598935068,-1.3252573000087664,195936.0,92048.0,-1.1286285416304538,65126.0,30766.0,132011.0,61923.0,0.0,1.0,400.0,594.0,187178.0,87137.0,187168.0,87122.0,10.0,15.0,0.5,1761772.0,820365.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
kroB100.tsp,ok,0.21567042730748653,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,300.27030584275656,288.641442184199,64.97509559616446,62.46709360182285,-0.04014917054294376,102594.0,102594.0,0.0,35753.0,35753.0,67570.0,67570.0,0.0,0.0,372.0,469.0,95965.0,95965.0,95959.0,95959.0,6.0,6.0,0.0,908300.0,908300.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,164.98839922245043,166.96393234316392,20.01099773310125,20.24916129745543,0.011901633668181422,37038.0,37038.0,0.0,11521.0,11521.0,25675.0,25675.0,0.0,0.0,301.0,398.0,34305.0,34305.0,34293.0,34293.0,12.0,12.0,0.0,304589.0,304589.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,136.17078821931742,137.09795267195463,19.097543017938733,19.22662708349526,0.0067591975279372996,29829.0,29829.0,0.0,10043.0,10043.0,19997.0,19997.0,0.0,0.0,378.0,475.0,27892.0,27892.0,27595.0,27595.0,297.0,297.0,0.0,258196.0,258196.0,0.0,0.0,0.0,0.0,292.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
kroE100.tsp,ok,0.26656487211585045,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,490.4481303544916,508.58231015848503,131.00280801951885,135.8367433398962,0.03689947867115273,663187.0,663187.0,0.0,140007.0,140007.0,524566.0,524566.0,1225.0,1225.0,729.0,923.0,612410.0,612410.0,530952.0,530952.0,81458.0,81458.0,0.0,2633126.0,2633126.0,0.0,0.0,0.0,0.0,81458.0,81458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.1515761621402172,1.7962720600686315,0.20450644381344318,0.26578452810645103,0.29963889230261875,65.0,65.0,0.0,18.0,18.0,47.0,47.0,0.0,0.0,333.0,434.0,33.0,33.0,31.0,31.0,2.0,2.0,0.0,303.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,11.369932946626678,11.19328235194057,6.299067534506321,6.209112800657749,-0.014487534167368032,8174.0,8174.0,0.0,2938.0,2938.0,5297.0,5297.0,0.0,0.0,341.0,460.0,7550.0,7550.0,7550.0,7550.0,0.0,0.0,0.0,71237.0,71237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.2033493872731924,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3733.6664799832915,3443.014114184623,759.4421403743327,700.3381598796695,-0.08439348857531659,3137470.0,3137470.0,0.0,840927.0,840927.0,2312984.0,2312984.0,160.0,160.0,361.0,434.0,2898408.0,2898408.0,2665567.0,2665567.0,232841.0,232841.0,0.0,19459545.0,19459545.0,0.0,0.0,0.0,0.0,232840.0,232840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
rat99.tsp,ok,1.2710327673703432,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-1.4951064443195712,-1.5390303943041461,0.5094102378934622,0.5005976967513561,-0.017604038530930843,844.0,844.0,0.0,262.0,262.0,590.0,590.0,0.0,0.0,400.0,495.0,694.0,694.0,693.0,693.0,1.0,1.0,0.0,6622.0,6622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
rd100.tsp,ok,0.09606701135635376,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,5.024328430289805,4.713620324686969,0.5787392277270555,0.5488904286175966,-0.05438025068980412,667.0,667.0,0.0,227.0,227.0,449.0,449.0,0.0,0.0,400.0,497.0,552.0,552.0,541.0,541.0,11.0,11.0,0.0,5288.0,5288.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st70.tsp,ok,0.07336051017045975,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,15.252725343710992,14.202809543014261,1.192308222874999,1.1152858640998602,-0.06906064288486524,3585.0,3585.0,0.0,1295.0,1295.0,2351.0,2351.0,0.0,0.0,361.0,428.0,3293.0,3293.0,3291.0,3291.0,2.0,2.0,0.0,34226.0,34226.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.02214985154569149,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,0.0026348826916722246,0.7506046909876214,0.022208213806152344,0.03877563402056694,0.7460041748078328,8.0,8.0,0.0,4.0,4.0,3.0,3.0,5.0,5.0,100.0,139.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.13504626415669918,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,2934.270458040354,2743.4190185206394,396.39730964787304,370.62353573180735,-0.06954165462043482,318695.0,318695.0,0.0,107596.0,107596.0,213299.0,213299.0,0.0,0.0,800.0,1106.0,291848.0,291848.0,291823.0,291823.0,25.0,25.0,0.0,2714296.0,2714296.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
ulysses16.tsp,ok,0.03646428510546684,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-1.7443264064722355,0.01509653303681624,0.013287153095006943,0.03701476939022541,1.7857562207313507,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.03916095197200775,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-2.164390645949189,-0.2738448413963086,0.012375511229038239,0.030742324888706207,1.4841256510334357,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.20501085184514523,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.20812725275754929,1950.0,1.0,timeout,0,,ok,1,1950.0,,,True,,1.167737020853202,,0.4511651508510113,,,101.0,,,37.0,,64.0,,1.0,,346.0,,43.0,,43.0,,0.0,,,593.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
d198.tsp,ok,1.0714040137827396,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.47228593938052654,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.17204810306429863,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.6123605966567993,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr144.tsp,ok,0.294503515586257,58537.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr152.tsp,ok,0.8900012671947479,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa194.tsp,ok,0.45648094080388546,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rat195.tsp,ok,2.894400419667363,2323.0,3.0,timeout,0,,ok,1,2323.0,,,True,,294.1563870179462,,854.3007704522461,,,345450.0,,,124118.0,,225923.0,,22.0,,641.0,,326297.0,,326287.0,,10.0,,,3367234.0,,0.0,,0.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0
si175.tsp,ok,2.043676285073161,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xqf131.tsp,ok,0.3609807752072811,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
