instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,gap0.005-0.015:status,gap0.005-0.015:successful_repeats,gap0.005-0.015:result,gap0.005-0.02:status,gap0.005-0.02:successful_repeats,gap0.005-0.02:result,result_match,gap0.005-0.015:matches_reference,gap0.005-0.02:matches_reference,gap0.005-0.015:wall_vs_Concorde_relative_change,gap0.005-0.02:wall_vs_Concorde_relative_change,gap0.005-0.015:wall_seconds,gap0.005-0.02:wall_seconds,relative_change:wall_seconds,gap0.005-0.015:branches,gap0.005-0.02:branches,relative_change:branches,gap0.005-0.015:nodes_expanded,gap0.005-0.02:nodes_expanded,gap0.005-0.015:pruned_by_bound,gap0.005-0.02:pruned_by_bound,gap0.005-0.015:pruned_infeasible,gap0.005-0.02:pruned_infeasible,gap0.005-0.015:root_potential_iterations,gap0.005-0.02:root_potential_iterations,gap0.005-0.015:search_node_potential_update_candidates,gap0.005-0.02:search_node_potential_update_candidates,gap0.005-0.015:search_node_potential_updates_triggered,gap0.005-0.02:search_node_potential_updates_triggered,gap0.005-0.015:search_node_potential_updates_skipped_total,gap0.005-0.02:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,gap0.005-0.015:search_node_potential_iterations,gap0.005-0.02:search_node_potential_iterations,gap0.005-0.015:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.02:search_node_potential_updates_skipped_budget_exhausted,gap0.005-0.015:search_node_potential_updates_skipped_depth_interval,gap0.005-0.02:search_node_potential_updates_skipped_depth_interval,gap0.005-0.015:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.02:search_node_potential_updates_skipped_gap_above_maximum,gap0.005-0.015:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.02:search_node_potential_updates_skipped_gap_below_minimum,gap0.005-0.015:search_node_potential_updates_skipped_invalid_state,gap0.005-0.02:search_node_potential_updates_skipped_invalid_state,gap0.005-0.015:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.02:search_node_potential_updates_skipped_numerically_unsafe,gap0.005-0.015:search_node_potential_updates_skipped_strategy_none,gap0.005-0.02:search_node_potential_updates_skipped_strategy_none,gap0.005-0.015:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.02:search_node_potential_updates_skipped_update_depth_zero,gap0.005-0.015:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.02:search_node_potential_updates_skipped_zero_iteration_limit,gap0.005-0.015:search_node_potential_updates_skipped_zero_violation,gap0.005-0.02:search_node_potential_updates_skipped_zero_violation
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,397.1124719364229,324.60695879619163,37.04166973941028,30.295522704720497,-0.18212318942826322,3100760.0,3503135.0,0.12976657335620945,2238301.0,2516326.0,1836520.0,2055155.0,18.0,10.0,649.0,649.0,2344459.0,2582991.0,107629.0,68594.0,2236830.0,2514397.0,0.12408944801348332,452538.0,299211.0,0.0,0.0,0.0,0.0,45028.0,20158.0,2191800.0,2494238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,267.76558767691233,254.32649593900425,49.281281964853406,46.81706891208887,-0.050003022537481234,11752425.0,11757627.0,0.00044263205253392,8535273.0,8535273.0,6764400.0,6767786.0,7991.0,7991.0,745.0,745.0,8535693.0,8535430.0,2316.0,1725.0,8533377.0,8533705.0,3.843730330910233e-05,65389.0,52457.0,0.0,0.0,0.0,0.0,230.0,6.0,8533147.0,8533699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,49.47820980611799,73.57511981845136,6.018800919875503,8.892011057585478,0.47737251588135377,1102790.0,1720223.0,0.559882661250102,784352.0,1251106.0,641582.0,995621.0,11.0,68.0,618.0,618.0,785228.0,1251363.0,1623.0,1623.0,783605.0,1249740.0,0.5948596550557999,30985.0,47190.0,0.0,0.0,0.0,0.0,352.0,12.0,783249.0,1249726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,57.40438740488428,35.9275961468061,8.228475695475936,5.202654130756855,-0.3677256489172952,877937.0,1017916.0,0.15944082548064387,601643.0,707906.0,519210.0,598356.0,473.0,232.0,778.0,778.0,606629.0,708066.0,6000.0,598.0,600629.0,707468.0,0.17787852401399196,72601.0,15902.0,0.0,0.0,0.0,0.0,1965.0,67.0,598657.0,707398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,668.9047478449282,644.5683833143275,157.67721923068166,151.94910594634712,-0.03632809680613602,36491677.0,36733157.0,0.006617399359311493,25615338.0,25888543.0,21294295.0,21427586.0,12762.0,12761.0,729.0,729.0,25660603.0,25922669.0,46522.0,36616.0,25614081.0,25886053.0,0.010618065898987394,183636.0,214183.0,0.0,0.0,0.0,0.0,22448.0,11247.0,25591632.0,25874804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.6019169745786646,1.4157623823585226,0.21016065031290054,0.19512467086315155,-0.07154516998002469,314.0,314.0,0.0,199.0,199.0,189.0,189.0,2.0,2.0,333.0,333.0,198.0,198.0,7.0,7.0,191.0,191.0,0.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,2.2887342170243885,2.2121915299207786,1.441346362233162,1.4078001659363508,-0.02327420887567655,54704.0,57069.0,0.04323267037145362,40518.0,42078.0,31238.0,32875.0,6.0,1.0,341.0,341.0,40654.0,42119.0,470.0,417.0,40184.0,41702.0,0.03777622934501301,12178.0,12639.0,0.0,0.0,0.0,0.0,72.0,0.0,40112.0,41701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,4318.379501830954,1831.6749899164888,929.2754332888871,394.28344849310815,-0.5757087356784392,37728706.0,22535852.0,-0.40268685599765863,23496078.0,15612548.0,24455532.0,13610841.0,16520.0,26085.0,361.0,361.0,28761274.0,16349287.0,5484797.0,942254.0,23276477.0,15407033.0,-0.33808569913737374,29956999.0,10805451.0,0.0,0.0,0.0,0.0,2571585.0,232840.0,20704891.0,15174190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.765924701286514,-0.76708724144369,0.27169107645750046,0.2703417167067528,-0.004966522155757103,19062.0,19062.0,0.0,14654.0,14654.0,10460.0,10460.0,4.0,4.0,400.0,400.0,14655.0,14655.0,30.0,30.0,14625.0,14625.0,0.0,922.0,922.0,0.0,0.0,0.0,0.0,0.0,0.0,14623.0,14623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,4.730364739321665,5.056239757926359,0.4497859999537468,0.47536448016762733,0.05686811109396661,51854.0,55909.0,0.07820033170054375,37442.0,39868.0,29796.0,32171.0,0.0,0.0,400.0,400.0,37457.0,39876.0,60.0,53.0,37397.0,39823.0,0.06487151375778799,1548.0,1482.0,0.0,0.0,0.0,0.0,19.0,11.0,37374.0,39808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
