instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,HP1:status,HP1:successful_repeats,HP1:result,hybrid:status,hybrid:successful_repeats,hybrid:result,result_match,HP1:matches_reference,hybrid:matches_reference,HP1:wall_vs_Concorde_symmetric_change,hybrid:wall_vs_Concorde_symmetric_change,HP1:wall_seconds,hybrid:wall_seconds,symmetric_change:wall_seconds,HP1:branches,hybrid:branches,symmetric_change:branches,HP1:nodes_expanded,hybrid:nodes_expanded,HP1:pruned_by_bound,hybrid:pruned_by_bound,HP1:pruned_infeasible,hybrid:pruned_infeasible,HP1:root_potential_iterations,hybrid:root_potential_iterations,HP1:search_node_potential_update_candidates,hybrid:search_node_potential_update_candidates,HP1:search_node_potential_updates_triggered,hybrid:search_node_potential_updates_triggered,HP1:search_node_potential_updates_skipped_total,hybrid:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,HP1:search_node_potential_iterations,hybrid:search_node_potential_iterations,HP1:search_node_potential_updates_skipped_budget_exhausted,hybrid:search_node_potential_updates_skipped_budget_exhausted,HP1:search_node_potential_updates_skipped_depth_interval,hybrid:search_node_potential_updates_skipped_depth_interval,HP1:search_node_potential_updates_skipped_gap_above_maximum,hybrid:search_node_potential_updates_skipped_gap_above_maximum,HP1:search_node_potential_updates_skipped_gap_below_minimum,hybrid:search_node_potential_updates_skipped_gap_below_minimum,HP1:search_node_potential_updates_skipped_invalid_state,hybrid:search_node_potential_updates_skipped_invalid_state,HP1:search_node_potential_updates_skipped_numerically_unsafe,hybrid:search_node_potential_updates_skipped_numerically_unsafe,HP1:search_node_potential_updates_skipped_strategy_none,hybrid:search_node_potential_updates_skipped_strategy_none,HP1:search_node_potential_updates_skipped_update_depth_zero,hybrid:search_node_potential_updates_skipped_update_depth_zero,HP1:search_node_potential_updates_skipped_zero_iteration_limit,hybrid:search_node_potential_updates_skipped_zero_iteration_limit,HP1:search_node_potential_updates_skipped_zero_violation,hybrid:search_node_potential_updates_skipped_zero_violation
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.18989703036962768,-0.21005365125857178,0.03858494944870472,0.03794221580028534,-0.016939802667364168,5.0,5.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,176.0,176.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,3165.2613619800286,949.321595357269,354.041393969208,106.26197394169867,-2.331778818295387,3225042.0,439737.0,-6.334024655646443,822405.0,85517.0,2404443.0,354732.0,0.0,0.0,843.0,417.0,2949754.0,416167.0,2131601.0,354691.0,818153.0,61476.0,-12.308494371787365,5818424.0,1638919.0,0.0,0.0,0.0,0.0,818153.0,61476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,422.5613076924074,243.50966243642324,227.62329043634236,131.40032598935068,-0.7322886280722778,246564.0,92048.0,-1.6786459238658091,72853.0,30766.0,174954.0,61923.0,8.0,1.0,594.0,594.0,234567.0,87137.0,208561.0,87122.0,26006.0,15.0,-1732.7333333333333,1577814.0,820365.0,0.0,0.0,0.0,0.0,26005.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
kroB100.tsp,ok,0.21567042730748653,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,799.3947538613062,288.641442184199,172.6214785799384,62.46709360182285,-1.7633985931898892,1015807.0,102594.0,-8.901232040860089,277219.0,35753.0,741195.0,67570.0,204.0,0.0,939.0,469.0,957917.0,95965.0,728836.0,95959.0,229081.0,6.0,-38179.166666666664,3603112.0,908300.0,0.0,0.0,0.0,0.0,229081.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,221.6925163805684,166.96393234316392,26.847053537145257,20.24916129745543,-0.3258353342525322,146282.0,37038.0,-2.94951131270587,41188.0,11521.0,105292.0,25675.0,0.0,0.0,398.0,398.0,139165.0,34305.0,103377.0,34293.0,35788.0,12.0,-2981.3333333333335,460952.0,304589.0,0.0,0.0,0.0,0.0,35787.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,825.3482499134598,137.09795267195463,115.04797380976379,19.22662708349526,-4.983783495157327,685576.0,29829.0,-21.983539508531965,163147.0,10043.0,522936.0,19997.0,62.0,0.0,972.0,475.0,635043.0,27892.0,483861.0,27595.0,151182.0,297.0,-508.030303030303,2023286.0,258196.0,0.0,0.0,0.0,0.0,151179.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0
kroE100.tsp,ok,0.26656487211585045,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,290.96626270170316,508.58231015848503,77.8279494792223,135.8367433398962,0.7453465528622272,594843.0,663187.0,0.11489418216235214,158836.0,140007.0,437686.0,524566.0,34.0,1225.0,923.0,923.0,521923.0,612410.0,388267.0,530952.0,133656.0,81458.0,-0.6407964840776843,1542637.0,2633126.0,0.0,0.0,0.0,0.0,133653.0,81458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.4844576641099754,1.7962720600686315,0.2361466959118843,0.26578452810645103,0.12550602107778697,55.0,65.0,0.18181818181818188,18.0,18.0,37.0,47.0,0.0,0.0,434.0,434.0,35.0,33.0,34.0,31.0,1.0,2.0,1.0,317.0,303.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,15.391911640114401,11.19328235194057,8.347155872732401,6.209112800657749,-0.344339544265996,15807.0,8174.0,-0.9338145338879373,5320.0,2938.0,10643.0,5297.0,0.0,0.0,460.0,460.0,14748.0,7550.0,12752.0,7550.0,1996.0,0.0,,100473.0,71237.0,0.0,0.0,0.0,0.0,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rat195.tsp,ok,2.894400419667363,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,350.8061234216156,294.1563870179462,1018.2677912730724,854.3007704522461,-0.19193125710752446,464604.0,345450.0,-0.3449240121580548,162639.0,124118.0,307786.0,225923.0,42.0,22.0,641.0,641.0,440656.0,326297.0,430603.0,326287.0,10053.0,10.0,-1004.3,4279743.0,3367234.0,0.0,0.0,0.0,0.0,10053.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
