instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,H232:status,H232:successful_repeats,H232:result,result_match,P32:matches_reference,H232:matches_reference,P32:wall_vs_Concorde_symmetric_change,H232:wall_vs_Concorde_symmetric_change,P32:wall_seconds,H232:wall_seconds,symmetric_change:wall_seconds,P32:branches,H232:branches,symmetric_change:branches,P32:nodes_expanded,H232:nodes_expanded,P32:pruned_by_bound,H232:pruned_by_bound,P32:pruned_infeasible,H232:pruned_infeasible,P32:root_potential_iterations,H232:root_potential_iterations,P32:search_node_potential_update_candidates,H232:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,H232:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,H232:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,H232:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,H232:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,H232:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,H232:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,H232:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,H232:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,H232:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,H232:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,H232:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,H232:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,H232:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,14.128702865261973,9.07084489908112,3.6054332200437784,2.4000576306134462,-0.5022277690566299,5119.0,6585.0,0.28638405938659894,1765.0,2854.0,3384.0,4131.0,0.0,2.0,319.0,319.0,4732.0,5872.0,4731.0,3855.0,1.0,2017.0,2016.0,78352.0,48209.0,0.0,0.0,0.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.645985186261536,-0.18194527013879314,0.027893396094441414,0.03884453698992729,0.392606940309725,18.0,18.0,0.0,7.0,7.0,11.0,11.0,1.0,1.0,100.0,100.0,13.0,14.0,13.0,10.0,0.0,4.0,,195.0,85.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,944.3905087016559,851.0747586364148,105.71059533022344,95.27632144838572,-0.10951591878460909,406666.0,455323.0,0.11964855680091269,74929.0,95745.0,331874.0,362356.0,0.0,0.0,320.0,320.0,384981.0,428946.0,323504.0,341798.0,61477.0,87148.0,0.41757079883533677,1648233.0,1563743.0,0.0,0.0,0.0,25673.0,61476.0,61475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,382.83147405509465,395.2736276477009,206.2723424229771,212.95879817195237,0.032415667900179246,89949.0,235971.0,1.623386585731915,28403.0,87442.0,61819.0,153450.0,0.0,0.0,400.0,400.0,86002.0,222421.0,85993.0,158263.0,9.0,64158.0,7127.666666666667,1426112.0,1660472.0,0.0,0.0,0.0,64148.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
kroB100.tsp,ok,0.21567042730748653,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,127.6552513383196,230.32170987601313,27.747133031487465,49.88925201445818,0.7979966419537408,29185.0,130789.0,3.4813774199074867,9814.0,53052.0,19473.0,82394.0,0.0,0.0,372.0,372.0,27449.0,119890.0,27443.0,81704.0,6.0,38186.0,6363.333333333333,459387.0,916630.0,0.0,0.0,0.0,38181.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,154.80183995156986,102.79204810432046,18.782940739765763,12.512816853821278,-0.5010961128252795,22282.0,31185.0,0.3995601831074409,6636.0,11540.0,15700.0,20753.0,0.0,0.0,301.0,301.0,20676.0,28430.0,20664.0,19884.0,12.0,8546.0,711.1666666666666,306097.0,187909.0,0.0,0.0,0.0,8535.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,120.22240613489878,119.1950716361727,16.87713649496436,16.734106298536062,-0.008547226477270131,16514.0,36270.0,1.1963182754026884,5333.0,13871.0,11243.0,23408.0,0.0,0.0,378.0,378.0,15624.0,33153.0,15331.0,23080.0,293.0,10073.0,33.37883959044368,248604.0,251424.0,0.0,0.0,0.0,9779.0,292.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
kroE100.tsp,ok,0.26656487211585045,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,391.56750240718867,312.8104404481318,104.64470607601106,83.65083992667496,-0.25097017755874895,603657.0,589833.0,-0.023437142377588316,109411.0,129053.0,494438.0,467103.0,1328.0,1203.0,729.0,729.0,556471.0,539828.0,465965.0,425151.0,90506.0,114677.0,0.2670651669502575,2157607.0,1908042.0,0.0,0.0,0.0,37449.0,90506.0,77228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.5738282486497037,1.1512107842694412,0.24464133381843567,0.20447171479463577,-0.19645562744042544,81.0,60.0,-0.3500000000000001,26.0,21.0,55.0,39.0,0.0,0.0,333.0,333.0,51.0,36.0,51.0,23.0,0.0,13.0,,779.0,274.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,8.754945085509881,5.447005637285918,4.96745278686285,3.282970415428281,-0.5130970305179614,3749.0,6613.0,0.763937049879968,1387.0,2915.0,2374.0,4137.0,0.0,0.0,341.0,341.0,3497.0,5773.0,3497.0,3698.0,0.0,2075.0,,59072.0,44097.0,0.0,0.0,0.0,2074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
