instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,P33>2%128:status,P33>2%128:successful_repeats,P33>2%128:result,result_match,P32:matches_reference,P33>2%128:matches_reference,P32:wall_vs_Concorde_relative_change,P33>2%128:wall_vs_Concorde_relative_change,P32:wall_seconds,P33>2%128:wall_seconds,relative_change:wall_seconds,P32:branches,P33>2%128:branches,relative_change:branches,P32:nodes_expanded,P33>2%128:nodes_expanded,P32:pruned_by_bound,P33>2%128:pruned_by_bound,P32:pruned_infeasible,P33>2%128:pruned_infeasible,P32:root_potential_iterations,P33>2%128:root_potential_iterations,P32:search_node_potential_update_candidates,P33>2%128:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,P33>2%128:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,P33>2%128:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,P33>2%128:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,P33>2%128:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,P33>2%128:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,P33>2%128:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,P33>2%128:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,P33>2%128:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,P33>2%128:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,P33>2%128:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,P33>2%128:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,P33>2%128:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,P33>2%128:search_node_potential_updates_skipped_zero_violation
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,143.19338205892296,349.46700229772676,17.192988101392984,41.78815223276615,1.4305345869099075,22282.0,11780411.0,527.6963019477605,6636.0,8463763.0,15700.0,6853777.0,0.0,3518.0,301.0,618.0,20676.0,8463761.0,20664.0,5.0,12.0,8463756.0,705312.0,306097.0,640.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,8463754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,107.28839825732489,4220.8201661282865,15.256532818078995,594.803681217134,37.986818847352495,16514.0,163909963.0,9924.515501998305,5333.0,112643137.0,11243.0,97193741.0,0.0,632.0,378.0,778.0,15624.0,112643135.0,15331.0,6.0,293.0,112643129.0,384446.53924914676,248604.0,768.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,112643124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,2.04037565759554,1.2447612182783305,0.24557560123503208,0.18131265603005886,-0.2616829395175514,81.0,348.0,3.2962962962962967,26.0,225.0,55.0,212.0,0.0,3.0,333.0,333.0,51.0,224.0,51.0,0.0,0.0,224.0,,779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.747438428342111,7.270244480714835,4.710256366059184,3.6245819851756096,-0.23049156914401658,3749.0,660814.0,175.26407041877835,1387.0,487141.0,2374.0,383782.0,0.0,84.0,341.0,341.0,3497.0,487140.0,3497.0,0.0,0.0,487140.0,,59072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3778.690218042191,7194.702228006857,813.1661650892347,1548.090252989903,0.9037809484117183,2709624.0,411309055.0,150.7956199826987,681902.0,292385456.0,2032234.0,249395520.0,103.0,432349.0,361.0,361.0,2519825.0,292385456.0,2286985.0,765.0,232840.0,292384691.0,1254.7322238447002,24908798.0,97805.0,0.0,0.0,0.0,0.0,232840.0,0.0,0.0,292384686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.6720143141592231,-0.5813305395601279,0.38069281354546547,0.48594942316412926,0.27648698865205446,412.0,91741.0,221.67233009708738,139.0,67911.0,277.0,52854.0,0.0,346.0,400.0,400.0,345.0,67910.0,345.0,0.0,0.0,67910.0,,5741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,6.478038915323585,1098.8296200674781,0.5869638957083225,86.32748314365745,146.0746050563829,507.0,24725998.0,48768.2268244576,161.0,16622053.0,347.0,14299162.0,0.0,2941.0,400.0,400.0,376.0,16622052.0,364.0,6.0,12.0,16622046.0,1385169.5,6292.0,768.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,16622043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,5.13420428687289,327.0205353055955,0.4380298648029566,23.423215793445706,52.474015530841505,977.0,8618313.0,8820.200614124871,329.0,5632636.0,657.0,5132248.0,0.0,44851.0,361.0,734.0,857.0,5632634.0,855.0,2.0,2.0,5632632.0,2816315.0,15183.0,256.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5632632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.321571462091077,0.31163979298654865,0.02297510951757431,0.044418927282094955,0.9333499693708822,5.0,8.0,0.6000000000000001,3.0,4.0,3.0,2.0,3.0,6.0,100.0,100.0,3.0,3.0,3.0,0.0,0.0,3.0,,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,2743.8951052894104,5817.577822147745,331.96062949858606,703.6839961223304,1.1197814848863805,190887.0,29118868.0,151.54505545165463,60228.0,21805023.0,131295.0,16338318.0,0.0,103.0,400.0,800.0,177281.0,21805021.0,177251.0,14.0,30.0,21805007.0,726832.5666666667,2803552.0,1792.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,21805002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.3782357254854408,0.7129152090420234,0.019856292754411697,0.0547026377171278,1.7549270346537318,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.7553570818402962,-0.18434913059250824,0.011135544627904892,0.03712642379105091,2.334046517851916,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.18208833783864975,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
