repeat,configuration,instance,lower_bound,upper_bound,instance_wall_seconds,root_ascent_seconds,root_potential_iterations
1,polyak32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.00112875,5.1958e-05,1.0
1,polyak64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001117,4.55e-05,1.0
1,polyak128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001434708,5.9833e-05,1.0
1,polyak-smoothed32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001169917,4.8917e-05,1.0
1,polyak-smoothed64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001265084,5.8875e-05,1.0
1,polyak-smoothed128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001138334,5.3583e-05,1.0
1,polyak-smoothed-dynamic32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001137459,5.4792e-05,1.0
1,polyak-smoothed-dynamic64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001288292,5.1083e-05,1.0
1,polyak-smoothed-dynamic128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001163334,5.025e-05,1.0
1,helsgaun16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001201209,5.0584e-05,1.0
1,helsgaun32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001146667,5.1667e-05,1.0
1,helsgaun64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001253625,5.1e-05,1.0
1,hybrid-reverse16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001369125,8.2084e-05,2.0
1,hybrid-reverse32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.0011835,9.7209e-05,2.0
1,hybrid-reverse64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.999999973971,7542.0,0.001220625,7.6375e-05,2.0
1,local-full,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7541.9999999735055,7542.0,0.003854792,0.002776583,57.0
1,replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.025255959,5.667e-06,0.0
1,polyak8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.027871541,0.002575125,8.0
1,polyak16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.029829,0.004684083,16.0
1,polyak32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,117430.62999807068,118282.0,0.034540167,0.009440958,32.0
