config,mode,gap_ratio,repeat,instance_name,instance,status,cost,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_potential_iterations,root_ascent_seconds,instance_wall_seconds
adaptive-0.015,adaptive,0.014999999999999999,1,burma14.tsp,data/classic/tsplib/burma14.tsp,ok,3323,3322.999999998799,3323,3323,3322.999999998799,3.6141671793293762e-13,0.00044391599999999998,1,0,0,28,4.8708000000000002e-05,0.00053041700000000004
adaptive-0.015,adaptive,0.014999999999999999,1,ch130.tsp,data/classic/tsplib/ch130.tsp,ok,6198,6074.8655218289859,6198,6198,6074.8655218289859,0.019866808352858027,0.064015917000000006,3,1,1,1126,0.32190874999999997,0.38697391599999997
adaptive-0.015,adaptive,0.014999999999999999,1,ch150.tsp,data/classic/tsplib/ch150.tsp,ok,6617,6488.9821438243325,6617,6617,6488.9821438243325,0.019346812177069288,0.082858874999999999,3,1,1,1200,0.50581612499999995,0.59003308300000001
adaptive-0.015,adaptive,0.014999999999999999,1,d198.tsp,data/classic/tsplib/d198.tsp,ok,15921,14540.351680368885,15921,15921,14540.351680368885,0.086718693526230434,0.179044959,3,1,1,1388,1.0594562490000001,1.2407881670000001
adaptive-0.015,adaptive,0.014999999999999999,1,dantzig42.tsp,data/classic/tsplib/dantzig42.tsp,ok,699,696.95338306543158,699,699,696.95338306543158,0.0029279212225585397,0.0026020840000000002,1,0,0,225,0.0040524159999999997,0.0068194170000000004
adaptive-0.015,adaptive,0.014999999999999999,1,dj38.tsp,data/classic/national/dj38.tsp,ok,6656,6655.9999999809961,6656,6656,6655.9999999809961,2.8551520122514027e-12,0.0014712499999999999,1,0,0,43,0.00084041699999999999,0.002404083
adaptive-0.015,adaptive,0.014999999999999999,1,eil101.tsp,data/classic/tsplib/eil101.tsp,ok,638,627.33622859762909,638,638,627.33622859762909,0.016714375238825883,0.030504457999999998,3,1,1,1107,0.14811645800000001,0.17921475000000001
adaptive-0.015,adaptive,0.014999999999999999,1,eil51.tsp,data/classic/tsplib/eil51.tsp,ok,427,422.49983691886655,427,427,422.49983691886655,0.010539023609211828,0.0020489169999999999,1,0,0,521,0.012384582999999999,0.014544333
adaptive-0.015,adaptive,0.014999999999999999,1,eil76.tsp,data/classic/tsplib/eil76.tsp,ok,547,536.99995254168448,547,547,536.99995254168448,0.018281622410083218,0.015839083,3,1,1,847,0.053642416999999998,0.069814957999999996
adaptive-0.015,adaptive,0.014999999999999999,1,fri26.tsp,data/classic/tsplib/fri26.tsp,ok,937,936.99999999893805,937,937,936.99999999893805,1.1333497877882768e-12,0.0010842499999999999,1,0,0,52,0.00034783299999999997,0.0015141250000000001
adaptive-0.015,adaptive,0.014999999999999999,1,gr120.tsp,data/classic/tsplib/gr120.tsp,ok,7057,6911.247844112143,7057,7057,6911.247844112143,0.020653557586489592,0.058641874999999996,3,1,1,1032,0.24242075000000002,0.30258125000000002
adaptive-0.015,adaptive,0.014999999999999999,1,gr137.tsp,data/classic/tsplib/gr137.tsp,ok,70368,69103.510529515072,70368,70368,69103.510529515072,0.017969666190383819,0.069391707999999996,3,1,1,1184,0.35742108299999997,0.42815737500000001
adaptive-0.015,adaptive,0.014999999999999999,1,gr17.tsp,data/classic/tsplib/gr17.tsp,ok,2085,2084.9999999989241,2085,2085,2084.9999999989241,5.1603464373974782e-13,0.001011208,1,0,0,121,0.00022937500000000001,0.001289292
adaptive-0.015,adaptive,0.014999999999999999,1,gr21.tsp,data/classic/tsplib/gr21.tsp,ok,2707,2706.9999999976822,2707,2707,2706.9999999976822,8.5624205669313169e-13,0.00059516699999999996,1,0,0,29,0.000133833,0.00079370899999999997
adaptive-0.015,adaptive,0.014999999999999999,1,gr24.tsp,data/classic/tsplib/gr24.tsp,ok,1272,1271.9995357693901,1272,1272,1271.9995357693901,3.6496117126599589e-07,0.00093550000000000003,1,0,0,122,0.000482375,0.001475208
adaptive-0.015,adaptive,0.014999999999999999,1,gr48.tsp,data/classic/tsplib/gr48.tsp,ok,5046,4958.9994271644737,5046,5046,4958.9994271644737,0.017241492833041286,0.010187999999999999,3,1,1,636,0.012727958000000001,0.023162042000000001
adaptive-0.015,adaptive,0.014999999999999999,1,gr96.tsp,data/classic/tsplib/gr96.tsp,ok,55411,54569.495618557943,55411,55411,54569.495618557943,0.015186594384545612,0.029086458999999999,3,1,1,741,0.083538500000000002,0.113231625
adaptive-0.015,adaptive,0.014999999999999999,1,hk48.tsp,data/classic/tsplib/hk48.tsp,ok,11470,11443.03742578926,11470,11470,11443.03742578926,0.0023507039416512691,0.0024144589999999999,1,0,0,162,0.0042819160000000002,0.0068998330000000002
adaptive-0.015,adaptive,0.014999999999999999,1,kroA100.tsp,data/classic/tsplib/kroA100.tsp,ok,21689,20936.495650387562,21689,21689,20936.495650387562,0.034695207230044635,0.033388000000000001,3,1,0,391,0.058570166999999999,0.092323332999999994
adaptive-0.015,adaptive,0.014999999999999999,1,kroA150.tsp,data/classic/tsplib/kroA150.tsp,ok,26816,26296.059282328926,26816,26816,26296.059282328926,0.019389197407185033,0.101702083,3,1,0,602,0.26459037499999999,0.367137459
adaptive-0.015,adaptive,0.014999999999999999,1,kroB100.tsp,data/classic/tsplib/kroB100.tsp,ok,22327,21833.996392950492,22327,22327,21833.996392950492,0.0220810501656966,0.037372124999999999,3,1,1,797,0.11679429199999999,0.154778375
adaptive-0.015,adaptive,0.014999999999999999,1,kroB150.tsp,data/classic/tsplib/kroB150.tsp,ok,26396,25732.495543736655,26396,26396,25732.495543736655,0.025136553124084891,0.115316583,3,1,1,860,0.37021791599999998,0.48686458399999999
adaptive-0.015,adaptive,0.014999999999999999,1,kroC100.tsp,data/classic/tsplib/kroC100.tsp,ok,20965,20472.496949803051,20965,20965,20472.496949803051,0.023491678998185005,0.030506790999999998,3,1,0,354,0.050395792000000002,0.081344542000000006
adaptive-0.015,adaptive,0.014999999999999999,1,kroD100.tsp,data/classic/tsplib/kroD100.tsp,ok,21762,21141.497898571146,21762,21762,21141.497898571146,0.028513100883597743,0.035720292000000001,3,1,1,788,0.11117437399999999,0.147510417
adaptive-0.015,adaptive,0.014999999999999999,1,kroE100.tsp,data/classic/tsplib/kroE100.tsp,ok,22213,21799.499477304089,22213,22213,21799.499477304089,0.018615248849588577,0.032899542000000004,3,1,1,1075,0.16020912500000001,0.193697167
adaptive-0.015,adaptive,0.014999999999999999,1,lin105.tsp,data/classic/tsplib/lin105.tsp,ok,14523,14370.499389782033,14523,14523,14370.499389782033,0.010500627295873224,0.019501583999999999,1,0,0,345,0.051733624999999998,0.071597166000000004
adaptive-0.015,adaptive,0.014999999999999999,1,pr107.tsp,data/classic/tsplib/pr107.tsp,ok,44303,39439.603513482449,44303,44303,39439.603513482449,0.10977578237405032,0.033463874000000005,3,1,0,524,0.108741875,0.142576958
adaptive-0.015,adaptive,0.014999999999999999,1,pr124.tsp,data/classic/tsplib/pr124.tsp,ok,59159,58067.492748859826,59159,59159,58067.492748859826,0.018450400634564039,0.040046125000000002,3,1,0,370,0.080851084000000004,0.12143862499999999
adaptive-0.015,adaptive,0.014999999999999999,1,pr136.tsp,data/classic/tsplib/pr136.tsp,ok,99244,95267.489492485111,99244,99244,95267.489492485111,0.040068019301064947,0.063706667999999994,3,1,1,1184,0.38724266699999998,0.45210062499999998
adaptive-0.015,adaptive,0.014999999999999999,1,pr144.tsp,data/classic/tsplib/pr144.tsp,ok,58537,58050.966881097163,58537,58537,58050.966881097163,0.0083030069682907669,0.026745417,1,0,0,288,0.103270958,0.13066604200000001
adaptive-0.015,adaptive,0.014999999999999999,1,pr152.tsp,data/classic/tsplib/pr152.tsp,ok,74442,68056.891923902702,74442,74442,68056.891923902702,0.085772924909289089,0.069356833000000007,3,1,0,621,0.25759729199999998,0.32779416700000003
adaptive-0.015,adaptive,0.014999999999999999,1,pr76.tsp,data/classic/tsplib/pr76.tsp,ok,109067,105119.98570260686,109067,109067,105119.98570260686,0.036188895792431591,0.032797708000000002,3,1,0,342,0.023245542000000001,0.056257624999999999
