instance,single_gap,single_ub,triple_ub,triple_ub_gain,single_wall_seconds,triple_wall_seconds,triple_wall_delta,single_initial_tour_seconds,triple_initial_tour_seconds,triple_clk_delta,triple_helpful,triple_material_wall_overhead,triple_material_clk_overhead,adaptive_0.005_trigger,adaptive_0.005_improved,adaptive_0.005_starts,adaptive_0.005_ub,adaptive_0.005_wall_seconds,adaptive_0.01_trigger,adaptive_0.01_improved,adaptive_0.01_starts,adaptive_0.01_ub,adaptive_0.01_wall_seconds,adaptive_0.015_trigger,adaptive_0.015_improved,adaptive_0.015_starts,adaptive_0.015_ub,adaptive_0.015_wall_seconds,adaptive_0.02_trigger,adaptive_0.02_improved,adaptive_0.02_starts,adaptive_0.02_ub,adaptive_0.02_wall_seconds,adaptive_0.03_trigger,adaptive_0.03_improved,adaptive_0.03_starts,adaptive_0.03_ub,adaptive_0.03_wall_seconds,adaptive_0.05_trigger,adaptive_0.05_improved,adaptive_0.05_starts,adaptive_0.05_ub,adaptive_0.05_wall_seconds
kroE100.tsp,0.035341162302046106,22597.0,22213.0,384.0,0.099688709,0.098102666,-0.0015860429999999953,0.015439917,0.030234542,0.014794625,1,0,1,1,1,3,22213.0,0.189178125,1,1,3,22213.0,0.187253958,1,1,3,22213.0,0.193926125,1,1,3,22213.0,0.185817166,1,1,3,22213.0,0.184340083,0,0,1,22597.0,0.1013495
lin105.tsp,0.010500627295873224,14523.0,14523.0,0.0,0.071556875,0.09092275,0.01936587499999999,0.019879583,0.035821375,0.015941792000000003,0,1,1,1,0,3,14523.0,0.090153875,1,0,3,14523.0,0.0913175,0,0,1,14523.0,0.071981208,0,0,1,14523.0,0.070861959,0,0,1,14523.0,0.075127125,0,0,1,14523.0,0.074521625
pr107.tsp,0.10977578237405032,44303.0,44303.0,0.0,0.10978425,0.129911041,0.020126791000000005,0.014288959,0.032875625,0.018586665999999998,0,1,1,1,0,3,44303.0,0.131847625,1,0,3,44303.0,0.137646667,1,0,3,44303.0,0.131819167,1,0,3,44303.0,0.13195725,1,0,3,44303.0,0.130487583,1,0,3,44303.0,0.130450791
pr124.tsp,0.01845040063456404,59159.0,59159.0,0.0,0.102393333,0.118624834,0.016231500999999995,0.020510667,0.037877333,0.017366666,0,1,1,1,0,3,59159.0,0.11989325,1,0,3,59159.0,0.12056625,1,0,3,59159.0,0.121168041,0,0,1,59159.0,0.104268459,0,0,1,59159.0,0.103127084,0,0,1,59159.0,0.100727291
pr136.tsp,0.05293739875996982,100656.0,99244.0,1412.0,0.22909675,0.254557958,0.025461207999999985,0.040010625,0.065820875,0.02581025,1,1,1,1,1,3,99244.0,0.447460709,1,1,3,99244.0,0.450374916,1,1,3,99244.0,0.452100625,1,1,3,99244.0,0.450460375,1,1,3,99244.0,0.44518375,1,1,3,99244.0,0.443659458
pr144.tsp,0.008303006968290767,58537.0,58537.0,0.0,0.122503917,0.15593,0.03342608300000001,0.025432375,0.055037833,0.029605458,0,1,1,1,0,3,58537.0,0.153420709,0,0,1,58537.0,0.127555875,0,0,1,58537.0,0.126856875,0,0,1,58537.0,0.125682292,0,0,1,58537.0,0.125641,0,0,1,58537.0,0.125960333
pr152.tsp,0.08577292490928909,74442.0,74442.0,0.0,0.293817209,0.323526459,0.029709249999999965,0.044881542,0.068553416,0.023671874000000002,0,1,1,1,0,3,74442.0,0.329666,1,0,3,74442.0,0.334097833,1,0,3,74442.0,0.327794167,1,0,3,74442.0,0.324942834,1,0,3,74442.0,0.321063833,1,0,3,74442.0,0.324681291
pr76.tsp,0.03618889579243159,109067.0,109067.0,0.0,0.030195292,0.044342875,0.014147582999999998,0.007773583,0.021112291,0.013338707999999998,0,1,1,1,0,3,109067.0,0.04457475,1,0,3,109067.0,0.045443167,1,0,3,109067.0,0.045642,1,0,3,109067.0,0.044601458,1,0,3,109067.0,0.044238833,0,0,1,109067.0,0.031072458
qa194.tsp,0.04432720104630169,9695.0,9695.0,0.0,0.608153834,0.676387,0.06823316599999996,0.185568625,0.246178209,0.06060958400000002,0,1,1,1,0,3,9695.0,0.670500042,1,0,3,9695.0,0.677098041,1,0,3,9695.0,0.684959958,1,0,3,9695.0,0.671344916,1,0,3,9695.0,0.667423834,0,0,1,9695.0,0.616025208
rat195.tsp,0.026417251568115672,2356.0,2356.0,0.0,0.530658792,0.565140667,0.034481874999999995,0.093820917,0.119208042,0.025387124999999996,0,0,1,1,0,3,2356.0,0.559612209,1,0,3,2356.0,0.571650291,1,0,3,2356.0,0.567739417,1,0,3,2356.0,0.56382825,0,0,1,2356.0,0.546615959,0,0,1,2356.0,0.539282708
rat99.tsp,0.014706011841195509,1224.0,1222.0,2.0,0.065928708,0.0806875,0.014758791999999993,0.010398,0.022733791,0.012335791,1,1,1,1,1,3,1222.0,0.136712084,1,1,3,1222.0,0.138700167,0,0,1,1224.0,0.067704625,0,0,1,1224.0,0.066881,0,0,1,1224.0,0.066982166,0,0,1,1224.0,0.06665975
rd100.tsp,0.021045051452637492,8069.0,8051.0,18.0,0.095549375,0.113110375,0.017560999999999993,0.018664209,0.032738375,0.014074165999999999,1,1,1,1,1,3,8051.0,0.197432625,1,1,3,8051.0,0.198310416,1,1,3,8051.0,0.194978583,1,1,3,8051.0,0.191872667,0,0,1,8069.0,0.096066125,0,0,1,8069.0,0.096236666
si175.tsp,0.0040878203456034415,21455.0,21455.0,0.0,0.247885625,0.284367167,0.03648154199999998,0.070029667,0.10132,0.03129033299999999,0,1,1,0,0,1,21455.0,0.24998575,0,0,1,21455.0,0.257417583,0,0,1,21455.0,0.2523295,0,0,1,21455.0,0.252423375,0,0,1,21455.0,0.250439458,0,0,1,21455.0,0.251858875
st70.tsp,0.020438058395478926,685.0,682.0,3.0,0.025277583,0.035862542,0.010584958999999998,0.005443125,0.015128958,0.009685833,1,1,1,1,1,3,682.0,0.055620875,1,1,3,682.0,0.05698025,1,1,3,682.0,0.056426625,1,1,3,682.0,0.055844333,0,0,1,685.0,0.02573775,0,0,1,685.0,0.025837625
swiss42.tsp,0.0015778739463647947,1274.0,1273.0,1.0,0.004204584,0.007597291,0.003392707,0.001455333,0.00487525,0.003419917,1,1,1,0,0,1,1274.0,0.004172667,0,0,1,1274.0,0.004228167,0,0,1,1274.0,0.004206375,0,0,1,1274.0,0.004235167,0,0,1,1274.0,0.004121375,0,0,1,1274.0,0.004220875
u159.tsp,0.028051673861802212,43135.0,42705.0,430.0,0.252549875,0.264954833,0.012404958000000021,0.055350042,0.069852125,0.014502082999999999,1,0,1,1,1,3,42705.0,0.464716083,1,1,3,42705.0,0.474673125,1,1,3,42705.0,0.471508125,1,1,3,42705.0,0.469270958,0,0,1,43135.0,0.256517208,0,0,1,43135.0,0.255821458
ulysses16.tsp,4.67543128510183e-13,6859.0,6859.0,0.0,0.001418375,0.00569425,0.004275875,0.001160833,0.0054315,0.004270667,0,1,1,0,0,1,6859.0,0.001438167,0,0,1,6859.0,0.001438291,0,0,1,6859.0,0.001523458,0,0,1,6859.0,0.001450083,0,0,1,6859.0,0.001439916,0,0,1,6859.0,0.001460916
wi29.tsp,2.04139599837132e-12,27603.0,27603.0,0.0,0.00190675,0.006022792,0.004116042,0.00120325,0.005302875,0.004099625000000001,0,1,1,0,0,1,27603.0,0.001912084,0,0,1,27603.0,0.001934541,0,0,1,27603.0,0.002313375,0,0,1,27603.0,0.001901541,0,0,1,27603.0,0.001932791,0,0,1,27603.0,0.0019175
xqf131.tsp,0.04476230113066267,582.0,579.0,3.0,0.175934958,0.214167833,0.038232875,0.026810417,0.049048791,0.022238374,1,1,1,1,1,3,579.0,0.374412792,1,1,3,579.0,0.374290334,1,1,3,579.0,0.381573667,1,1,3,579.0,0.365635375,1,1,3,579.0,0.364082083,0,0,1,582.0,0.180325583
