comparison,factor,left,right,left_value,right_value,left_ok,right_ok,common_ok,left_only,right_only,result_agreements,result_mismatches,left_reference_checked,left_reference_mismatches,right_reference_checked,right_reference_mismatches,metric,paired_values,left_median,right_median,median_symmetric_change,geometric_symmetric_change,aggregate_symmetric_change,decreased,tied,increased
8,hk node ascent,H1,H2,polyak,helsgaun,32,31,31,u159.tsp,,31,,32,,31,,branches,31,251.0,447.0,0.09960159362549792,1.3149514388846386,0.015944456764050985,5,9,17
9,hk node ascent,P1,P2,polyak,helsgaun,31,31,30,u159.tsp,gr120.tsp,30,,31,,31,,wall_seconds,30,0.05238914676010609,0.10320805292576551,0.23253270810879711,0.5431199532536795,0.013197565009627432,8,0,22
9,hk node ascent,P1,P2,polyak,helsgaun,31,31,30,u159.tsp,gr120.tsp,30,,31,,31,,branches,30,66.0,72.0,0.16375698355338753,1.4088071358785212,0.17186245562699165,2,12,16
10,hk potential update,P1,T2,subtree-adaptive,depth,31,30,30,u159.tsp,,30,,31,,30,,wall_seconds,30,0.05238914676010609,0.06816915143281221,0.2353421366228765,0.44750064730397976,0.21776324756262255,5,0,25
10,hk potential update,P1,T2,subtree-adaptive,depth,31,30,30,u159.tsp,,30,,31,,30,,branches,30,66.0,100.5,0.2010819829612963,1.2964092595635037,0.3271098141272055,1,11,18
11,hk potential update,T1,T3,depth,adaptive,30,30,30,,,30,,30,,30,,wall_seconds,30,0.07654213812202215,0.07779923640191555,-0.002844230921020041,-0.028897300635942758,0.0032251499359747804,17,0,13
11,hk potential update,T1,T3,depth,adaptive,30,30,30,,,30,,30,,30,,branches,30,66.5,66.5,0.0,-0.001942083644767223,-3.476136569791066e-05,6,22,2
12,hk potential update,T1,T4,depth,subtree-depth,30,31,29,kroA100.tsp,gr120.tsp;u159.tsp,29,,30,,31,,wall_seconds,29,0.040611306205391884,0.04215174913406372,0.02687700488125877,-0.2493445211008456,-1.247627981879293,12,0,17
12,hk potential update,T1,T4,depth,subtree-depth,30,31,29,kroA100.tsp,gr120.tsp;u159.tsp,29,,30,,31,,branches,29,56.0,36.0,0.0,-0.5205558679742479,-3.994789634224995,11,13,5
13,hk update depth,T1,T2,1,2,30,30,30,,,30,,30,,30,,wall_seconds,30,0.07654213812202215,0.06816915143281221,-0.02077987720110086,0.05218302784948614,0.009599387871022547,18,0,12
13,hk update depth,T1,T2,1,2,30,30,30,,,30,,30,,30,,branches,30,66.5,100.5,0.0043600294113491644,0.5316899261433659,0.01762063365216826,1,11,18
