config,gap_change,max_depth,repeat,instance,cost,seconds,expanded,triggered,skipped_max_depth,potential_seconds,lkh_calls,lkh_failures
gap0001-depth-unlimited,0.0001,0,3,u159,42080.0,0.36439675,1917,2150,0,0.25669266000000024,1,0
gap0001-depth16,0.0001,16,3,eil101,629.0,0.039696,216,229,0,0.009373788000000008,1,0
gap0001-depth16,0.0001,16,3,gr96,55209.0,0.23828475,25777,1505,24215,0.13466921199999998,1,0
gap0001-depth16,0.0001,16,3,pr124,59030.0,0.490444167,2607,2685,128,0.39295136599999997,1,0
gap0001-depth16,0.0001,16,3,kroC100,20749.0,0.786566209,46633,7412,40089,0.6038935509999986,1,0
gap0001-depth16,0.0001,16,3,u159,42080.0,0.352059375,3133,1924,1337,0.24092791599999963,1,0
gap0001-depth18,0.0001,18,3,eil101,629.0,0.039816375,216,229,0,0.009310870000000004,1,0
gap0001-depth18,0.0001,18,3,gr96,55209.0,0.224187208,13854,1848,11854,0.14875024000000023,1,0
gap0001-depth18,0.0001,18,3,pr124,59030.0,0.485014375,2512,2717,12,0.3889228719999998,1,0
gap0001-depth18,0.0001,18,3,kroC100,20749.0,0.763579584,17637,8410,10400,0.6483030590000001,1,0
gap0001-depth18,0.0001,18,3,u159,42080.0,0.361499834,2094,2093,202,0.25292431600000004,1,0
gap0001-depth20,0.0001,20,3,eil101,629.0,0.040033583,216,229,0,0.009326699999999995,1,0
gap0001-depth20,0.0001,20,3,gr96,55209.0,0.227621166,6169,2190,3805,0.1649254220000001,1,0
gap0001-depth20,0.0001,20,3,pr124,59030.0,0.484831833,2503,2725,0,0.38919345699999913,1,0
gap0001-depth20,0.0001,20,3,kroC100,20749.0,0.757870084,8400,8762,981,0.6631332540000009,1,0
gap0001-depth20,0.0001,20,3,u159,42080.0,0.362446,1957,2131,51,0.25458085699999994,1,0
gap0-depth-unlimited,0.0,0,3,eil101,629.0,0.035058125,17,52,0,0.004561248,1,0
gap0-depth-unlimited,0.0,0,3,gr96,55209.0,0.198068708,453,1198,0,0.14386329299999986,1,0
gap0-depth-unlimited,0.0,0,3,pr124,59030.0,0.558769834,750,2005,0,0.4527331940000002,1,0
gap0-depth-unlimited,0.0,0,3,kroC100,20749.0,1.409655125,3082,9167,0,1.2498696989999971,1,0
gap0-depth-unlimited,0.0,0,3,u159,42080.0,0.45039375,479,1340,0,0.33362937800000003,1,0
gap0-depth14,0.0,14,3,eil101,629.0,0.034715209,17,52,0,0.0045437950000000015,1,0
gap0-depth14,0.0,14,3,gr96,55209.0,0.185643541,2657,1019,2251,0.12947353199999986,1,0
gap0-depth14,0.0,14,3,pr124,59030.0,0.557828167,953,1976,206,0.4513768790000001,1,0
gap0-depth14,0.0,14,3,kroC100,20749.0,1.4273915,91860,7253,89235,1.0668982369999984,1,0
gap0-depth14,0.0,14,3,u159,42080.0,0.43186825,1719,1223,1265,0.3122748580000002,1,0
