run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,lkh_provider_calls,lkh_provider_failures,lkh_provider_seconds,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_change_below_minimum,potential_update_gap_change_shallow_bypasses,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,14572.88,15780.0,15780.0,14572.88,0.0764968314321927,4837387,1810000,,,1,19305,1075,198,0,18428,0.002385435,1,19503,18428,0.000369563,0.451105697,0,,,,,,,,,0.068647381,,,1,0,0.852508,,,,,,,,,,,,,,,,1557.551465,130.338504,,,,69.75152262
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.08718264102935791,699.0,696.959999997658,699.0,699.0,699.0,0.0,12,6,6,11,1,819,796,42,27,35,0.000511054,1,861,62,5.1474e-05,0.004594037,0,0,0,0,0,0,0.0,0.0,64,0.006023923,0,1,1,0,0.024344618,11,6,0,0,0,0,0,0,0,0,0,0,5,0,19,0.000192105,0.0,0,0,0,7.034199999999998e-05
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.044681088998913765,6656.0,6655.999999981781,6656.0,6656.0,6656.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0024103,0,0,0,0,0,0,0.0,0.0,1,0.000112809,0,1,1,0,0.00626477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,0.1827041581273079,629.0,627.3329762117957,629.0,629.0,629.0,0.0,398,233,213,457,1,4949,4875,101,47,123,0.000714584,1,5050,170,6.6822e-05,0.051038649,0,0,0,0,0,0,0.0,0.0,64,0.018167591,0,1,1,0,0.058200996,337,105,0,0,0,0,0,0,0,0,0,0,232,0,1017,0.013421946000000002,0.0,0,0,0,0.0008200940000000004
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.0789358913898468,426.0,422.4399999987474,426.0,426.0,426.0,0.0,224,98,131,34,1,1224,1159,51,7,109,0.000252935,1,1275,116,2.1491e-05,0.007759289,0,0,0,0,0,0,0.0,0.0,64,0.006858527,0,1,1,0,0.028342711,204,119,0,0,0,0,0,0,0,0,0,0,85,0,1031,0.008420010000000002,0.00027015899999999996,0,0,0,0.00016384999999999994
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,0.14809976890683174,538.0,536.969999996869,538.0,538.0,538.0,0.0,6,6,0,9,1,2774,2755,76,61,31,0.000308033,1,2850,92,2.2576e-05,0.02095042,0,0,0,0,0,0,0.0,0.0,64,0.011541635,0,1,1,0,0.039329799,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,0.0,0,0,0,4.588900000000001e-05
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.05650518275797367,937.0,936.9999999984229,937.0,937.0,937.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000666613,0,0,0,0,0,0,0.0,0.0,15,0.000323169,0,1,1,0,0.010408361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,2.214078960940242,6942.0,6909.959999893309,6942.0,6942.0,6942.0,0.0,16765,6358,11186,122,1,7020,6727,120,13,397,0.000733357,1,7140,410,5.6292e-05,0.106134427,0,0,0,0,0,0,0.0,0.0,64,0.0252115,0,1,1,0,0.06036815,15029,9157,0,0,0,0,0,0,0,0,0,0,5872,0,65210,1.8983022609999953,0.04006784999999997,0,0,0,0.01691653200000012
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,3.398297967389226,69853.0,69113.08999838053,69853.0,69853.0,69853.0,0.0,16507,7439,10525,0,1,9179,8325,137,3,988,0.000997306,1,9316,991,8.9259e-05,0.153506956,0,0,0,0,0,0,0.0,0.0,64,0.031083351,0,1,1,0,0.096508939,14007,7756,0,0,0,0,0,0,0,0,0,0,6251,0,73481,2.8103501350000006,0.14861468399999989,0,0,0,0.09618517100000029
GAPMST-P32-LKH-gc0.0001-c86b2cb541dc,GAPMST-P32-LKH-gc0.0001,1,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,0.050455499440431595,2085.0,2084.999999998326,2085.0,2085.0,2085.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000193251,0,0,0,0,0,0,0.0,0.0,1,2.2474e-05,0,1,1,0,0.005448969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
