run_id,strategy,repeat,instance,status,wall_seconds,result,root_lower_bound,initial_upper_bound,final_upper_bound,final_lower_bound,final_relative_gap,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_candidate_compaction_calls,root_candidate_edges_before,root_candidate_edges_after,root_candidate_compaction_seconds,initial_tour_seconds,initial_clk_starts,adaptive_clk_triggers,adaptive_clk_improvements,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,root_external_potential_replacements,root_external_potential_warm_starts,lkh_provider_calls,lkh_provider_failures,lkh_provider_seconds,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_max_depth,search_node_potential_updates_skipped_near_leaf,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_change_below_minimum,potential_update_gap_change_shallow_bypasses,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,sibling_warm_probes,sibling_warm_accepted,sibling_warm_rejected,replacement_seconds
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,0.03432323783636093,2707.0,2706.9999999973675,2707.0,2707.0,2707.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000412241,0,0,0,0,0,0,0.0,0.0,1,3.5214e-05,0,1,1,0,0.005107189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,0.052450383082032204,1272.0,1271.999889186537,1272.0,1272.0,1272.0,0.0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.000708857,0,0,0,0,0,0,0.0,0.0,64,0.000982388,0,1,1,0,0.009765955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,0.16125128231942654,5046.0,4958.9599999858965,5046.0,5046.0,5046.0,0.0,1972,776,1316,12,1,1080,927,48,4,197,0.000232101,1,1128,201,2.1921e-05,0.00778311,0,0,0,0,0,0,0.0,0.0,64,0.00691004,0,1,1,0,0.031336641,1693,1080,0,0,0,0,0,0,0,0,0,0,613,11,9998,0.07749444700000001,0.003929125000000001,0,0,0,0.0007898979999999998
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/gr96.tsp,ok,0.5709268543869257,55209.0,54569.47999942845,55209.0,55209.0,55209.0,0.0,4482,1990,2774,33,1,4464,4031,96,1,528,0.0004684,1,4560,529,3.7092e-05,0.048131608,0,0,0,0,0,0,0.0,0.0,64,0.014509796,0,1,1,0,0.064821012,3820,2103,0,0,0,0,0,0,0,0,0,0,1717,16,19460,0.3632685290000007,0.018735241999999996,0,0,0,0.010707261000000006
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/hk48.tsp,ok,0.08820417895913124,11461.0,11444.019999961509,11461.0,11461.0,11461.0,0.0,8,2,6,2,1,1080,1056,48,32,32,0.000223988,1,1128,64,1.9623e-05,0.005845521,0,0,0,0,0,0,0.0,0.0,64,0.008359636,0,1,1,0,0.022279672,7,7,0,0,0,0,0,0,0,0,0,0,0,7,62,0.00019407399999999997,0.0,0,0,0,2.6351999999999994e-05
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/kroA100.tsp,ok,5.018831100314856,21282.0,20936.47999972256,21282.0,21282.0,21282.0,0.0,33438,13796,21925,0,1,4850,4262,100,0,688,0.000479124,1,4950,688,4.2651e-05,0.056775121,0,0,0,0,0,0,0.0,0.0,64,0.016582946,0,1,1,0,0.052312603,29633,17693,0,0,0,0,0,0,0,0,0,0,11940,34,139898,4.566344924000007,0.15718257299999983,0,0,0,0.08721503400000045
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/kroA150.tsp,ok,33.561930656433105,26524.0,26293.169999357702,26524.0,26524.0,26524.0,0.0,175487,80932,107453,66,1,11025,10288,150,4,883,0.001264227,1,11175,887,9.4067e-05,0.194993531,0,0,0,0,0,0,0.0,0.0,64,0.040867698,0,1,1,0,0.171066068,156930,80624,0,0,0,0,0,0,0,0,0,0,76306,9,541942,30.917866813999936,0.5990779539999995,0,0,0,1.238076468000012
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/kroB100.tsp,ok,2.717516226693988,22141.0,21831.699999692984,22141.0,22141.0,22141.0,0.0,15213,6667,9566,11,1,4850,4248,100,2,700,0.000503657,1,4950,702,4.4821e-05,0.046134279,0,0,0,0,0,0,0.0,0.0,64,0.016989846,0,1,1,0,0.090447769,13470,7852,0,0,0,0,0,0,0,0,0,0,5618,15,69656,2.3621877680000067,0.09147494900000003,0,0,0,0.04502035599999969
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/kroB150.tsp,timeout,1800.0,,25732.42,26130.0,26130.0,25732.42,0.01521546115575973,6677902,2960000,,,1,11025,9567,150,0,1608,0.00111657,1,11175,1608,9.153e-05,0.246927954,0,,,,,,,,,0.040723044,,,1,0,0.368584,,,,,,,,,,,,,,,,1671.169671,45.66020846,,,,58.63373837
GAPMST-P32-LKH-8971cab9e6d2,GAPMST-P32-LKH,1,/home/wj/code/TSP/data/classic/tsplib/kroC100.tsp,ok,1.915750615298748,20749.0,20472.489999725905,20749.0,20749.0,20749.0,0.0,14317,5878,9286,0,1,4850,4325,100,2,623,0.000506011,1,4950,625,4.2604e-05,0.050909771,0,0,0,0,0,0,0.0,0.0,64,0.016778895,0,1,1,0,0.053044852,12767,7609,0,0,0,0,0,0,0,0,0,0,5158,16,57188,1.6446391799999942,0.05683655099999997,0,0,0,0.04082244700000004
