config,repeat,instance,final_upper_bound,final_lower_bound,final_relative_gap,initial_tour_seconds,initial_clk_starts,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,instance_wall_seconds
root-alpha5,1,data/classic/tsplib/berlin52.tsp,7542,7541.9999999735055,3.5129263003642498e-12,0.0042176669999999996,2,1,0,0,0.0017105,0,57,0.0021979999999999999,0.006517709
root-alpha5,1,data/classic/tsplib/bier127.tsp,120414,117430.97806154632,0.024773049134267408,0.038170583000000001,2,1,0,0,0.0064726660000000002,0,422,0.107311,0.14601987499999999
root-alpha5,1,data/classic/tsplib/brazil58.tsp,25395,25316.887550529744,0.003075898778116017,0.0074788750000000003,2,1,0,0,0.001510417,0,220,0.0090858329999999998,0.016814042000000001
root-alpha5,1,data/classic/tsplib/brg180.tsp,1960,1949.2773311365436,0.0054707494201308264,0.026376084000000001,2,1,0,0,0.0050420420000000001,0,334,0.148400791,0.177678375
root-alpha5,1,data/classic/tsplib/burma14.tsp,3323,3322.999999998799,3.6141671793293762e-13,0.0010315840000000001,2,1,0,0,0.00056395900000000005,0,28,4.4583000000000003e-05,0.0011078749999999999
root-alpha5,1,data/classic/tsplib/ch130.tsp,6226,6074.8596417164263,0.024275675920908086,0.043265417,2,1,1,0,0.0071180419999999998,9,578,0.15161408400000001,0.19548950000000001
root-alpha5,1,data/classic/tsplib/ch150.tsp,6636,6488.6976966289349,0.022197453793108068,0.054244332999999999,2,1,0,0,0.0069710409999999999,0,600,0.235874959,0.29096975000000003
root-alpha5,1,data/classic/tsplib/d198.tsp,15954,14536.148992869335,0.088871192624461859,0.15289283300000001,2,1,1,0,0.014654749999999999,35,694,0.49272795800000002,0.64695250000000004
root-alpha5,1,data/classic/tsplib/dantzig42.tsp,699,696.95338306543158,0.0029279212225585397,0.0039271240000000006,2,1,0,0,0.001696791,0,225,0.0037503340000000001,0.0078385829999999997
root-alpha5,1,data/classic/national/dj38.tsp,6656,6655.9999999809961,2.8551520122514027e-12,0.0026611250000000003,2,1,0,0,0.001231708,0,43,0.00072145800000000002,0.0034588750000000001
root-alpha5,1,data/classic/tsplib/eil101.tsp,646,627.34444740256754,0.028878564392310312,0.019184957999999998,2,1,0,0,0.0040745410000000001,0,540,0.067372541999999994,0.086879125000000001
root-alpha5,1,data/classic/tsplib/eil51.tsp,427,422.49983691886655,0.010539023609211828,0.0028826250000000002,2,1,0,0,0.0010577500000000001,0,521,0.0115345,0.014524
root-alpha5,1,data/classic/tsplib/eil76.tsp,548,536.99995437170719,0.020073075964037974,0.0075585830000000007,2,1,0,0,0.0023789169999999999,0,423,0.024854708,0.032599792000000002
root-alpha5,1,data/classic/tsplib/fri26.tsp,937,936.99999999893805,1.1333497877882768e-12,0.0017268750000000001,2,1,0,0,0.00067487500000000002,0,52,0.00032475000000000001,0.0021207090000000001
root-alpha5,1,data/classic/tsplib/gr120.tsp,7108,6911.2437009000378,0.027680964983112302,0.043162292000000005,2,1,0,0,0.007399292,0,516,0.1137555,0.158137375
root-alpha5,1,data/classic/tsplib/gr137.tsp,70620,69118.352244264752,0.021263774507720875,0.053607625999999999,2,1,0,0,0.0065072919999999996,0,592,0.162457292,0.216956333
root-alpha5,1,data/classic/tsplib/gr17.tsp,2085,2084.9999999989241,5.1603464373974782e-13,0.0014053329999999999,2,1,0,0,0.00048433299999999999,0,121,0.00020204199999999999,0.0016507500000000001
root-alpha5,1,data/classic/tsplib/gr21.tsp,2707,2706.9999999976822,8.5624205669313169e-13,0.00076691600000000008,2,1,0,0,0.00022983300000000001,0,29,0.00013124999999999999,0.00095474999999999998
root-alpha5,1,data/classic/tsplib/gr24.tsp,1272,1271.9995357693901,3.6496117126599589e-07,0.001526208,2,1,0,0,0.00062525000000000005,0,122,0.00049641699999999997,0.0020753339999999999
root-alpha5,1,data/classic/tsplib/gr48.tsp,5093,4958.9994433825923,0.026310731713608426,0.0053297489999999999,2,1,0,0,0.0017079160000000001,0,318,0.0060539169999999998,0.011580500000000001
root-alpha5,1,data/classic/tsplib/gr96.tsp,55595,54569.493520663818,0.018446019953884011,0.016249083000000001,2,1,0,0,0.0036276250000000002,0,370,0.038336500000000003,0.054981792000000002
root-alpha5,1,data/classic/tsplib/hk48.tsp,11470,11443.03742578926,0.0023507039416512691,0.0034445840000000001,2,1,0,0,0.0010831669999999999,0,162,0.0040734999999999999,0.0077091670000000003
root-alpha5,1,data/classic/tsplib/kroA100.tsp,21689,20936.495650387562,0.034695207230044635,0.023102708999999999,2,1,0,0,0.006122667,0,391,0.053309707999999997,0.076755375000000001
root-alpha5,1,data/classic/tsplib/kroA150.tsp,26782,26296.059282328926,0.01814430280304211,0.073416459000000003,2,1,1,0,0.0093776250000000005,34,602,0.24306987499999999,0.31722475
root-alpha5,1,data/classic/tsplib/kroB100.tsp,22328,21833.996439724335,0.022124845945703388,0.020665625,2,1,1,0,0.0040915420000000001,16,400,0.052851250000000002,0.073878125000000003
root-alpha5,1,data/classic/tsplib/kroB150.tsp,26383,25732.496018037127,0.024656179432319025,0.086538166,2,1,1,0,0.0090426250000000003,99,429,0.172046792,0.25933241699999998
root-alpha5,1,data/classic/tsplib/kroC100.tsp,20965,20472.496949803051,0.023491678998185005,0.020059459000000002,2,1,0,0,0.0046098340000000002,0,354,0.044286833999999997,0.064713707999999995
root-alpha5,1,data/classic/tsplib/kroD100.tsp,21811,21141.497531594749,0.03069563378136039,0.020355290999999998,2,1,0,0,0.0046586659999999997,0,388,0.057656917000000002,0.078361042000000006
root-alpha5,1,data/classic/tsplib/kroE100.tsp,22597,21798.395755460664,0.035341162302046106,0.021025459,2,1,0,0,0.0055928749999999998,0,591,0.082041625000000007,0.10344475
root-alpha5,1,data/classic/tsplib/lin105.tsp,14483,14370.499389782033,0.0077677698141246166,0.022738790999999998,2,1,1,0,0.0038834579999999998,40,345,0.048813666999999998,0.071905207999999998
root-alpha5,1,data/classic/tsplib/pr107.tsp,44303,39439.603513482449,0.10977578237405032,0.017312708999999999,2,1,0,0,0.0032532920000000001,0,524,0.091174500000000006,0.108842209
root-alpha5,1,data/classic/tsplib/pr124.tsp,59159,58067.492748859826,0.018450400634564039,0.024039290999999997,2,1,0,0,0.0038788329999999999,0,370,0.079960375,0.104495292
root-alpha5,1,data/classic/tsplib/pr136.tsp,100656,95327.533190416478,0.05293739875996982,0.048656749999999999,2,1,0,0,0.0085598749999999998,0,592,0.18026524999999999,0.229517625
root-alpha5,1,data/classic/tsplib/pr144.tsp,58537,58050.966881097163,0.0083030069682907669,0.030389583000000001,2,1,0,0,0.0055170000000000002,0,288,0.093848582999999999,0.124865958
root-alpha5,1,data/classic/tsplib/pr152.tsp,74442,68056.891923902702,0.085772924909289089,0.049290624999999998,2,1,0,0,0.0044005829999999996,0,621,0.24167266700000001,0.29169820800000001
root-alpha5,1,data/classic/tsplib/pr76.tsp,109067,105119.98570260686,0.036188895792431591,0.011098083,2,1,0,0,0.0035861249999999999,0,342,0.021390375,0.032704749999999998
root-alpha5,1,data/classic/national/qa194.tsp,9684,9265.2477858561051,0.043241657800897865,0.201309083,2,1,1,0,0.017622292000000001,11,617,0.40113795800000002,0.60369404100000001
root-alpha5,1,data/classic/tsplib/rat195.tsp,2356,2293.7609553055195,0.026417251568115672,0.101266417,2,1,0,0,0.0085801249999999992,0,645,0.41890424999999998,0.52135545800000005
root-alpha5,1,data/classic/tsplib/rat99.tsp,1224,1205.9998415063767,0.014706011841195509,0.013437292,2,1,0,0,0.00305025,0,495,0.052984334000000001,0.066736417000000006
root-alpha5,1,data/classic/tsplib/rd100.tsp,8069,7899.1874798286681,0.021045051452637492,0.031017250000000003,2,1,0,0,0.00471975,0,523,0.075862333000000004,0.10724675
root-alpha5,1,data/classic/tsplib/si175.tsp,21451,21367.295814485078,0.0039021111143966178,0.076342333999999998,2,1,1,0,0.0064443749999999996,4,329,0.167690375,0.24631225000000001
root-alpha5,1,data/classic/tsplib/st70.tsp,685,670.99992999909693,0.020438058395478926,0.0083721260000000006,2,1,0,0,0.0029390839999999998,0,385,0.019228499999999999,0.027776374999999999
root-alpha5,1,data/classic/tsplib/swiss42.tsp,1273,1271.9897885923313,0.00079356748442164062,0.0029212500000000002,2,1,1,0,0.0014894999999999999,1,153,0.0023299169999999999,0.0054504999999999996
root-alpha5,1,data/classic/tsplib/u159.tsp,42738,41924.991047971162,0.019023093079433721,0.059297584,2,1,1,0,0.0046579170000000001,397,484,0.18957004199999999,0.24968754200000001
root-alpha5,1,data/classic/tsplib/ulysses16.tsp,6859,6858.9999999967931,4.6754312851018297e-13,0.001563916,2,1,0,0,0.00047745799999999999,0,134,0.000208333,0.001804417
root-alpha5,1,data/classic/national/wi29.tsp,27603,27602.999999943651,2.04139599837132e-12,0.0021835830000000002,2,1,0,0,0.0010196249999999999,0,71,0.00061850000000000002,0.0028495
root-alpha5,1,data/classic/vlsi/vlsi/xqf131.tsp,582,555.94834074195433,0.044762301130662673,0.031830040999999996,2,1,0,0,0.0053910829999999996,0,577,0.140502917,0.17284370800000001
root-alpha8,1,data/classic/tsplib/att48.tsp,10648,10599.68823369806,0.0045371681350432217,0.0069163750000000006,2,1,0,0,0.0029672499999999998,0,214,0.00544225,0.012481124999999999
root-alpha8,1,data/classic/tsplib/bayg29.tsp,1610,1607.9853691203934,0.001251323527705936,0.0025587509999999997,2,1,0,0,0.001169167,0,137,0.00082187500000000001,0.003465709
root-alpha8,1,data/classic/tsplib/bays29.tsp,2020,2013.3953357260446,0.0032696357791858663,0.003161418,2,1,0,0,0.0016130840000000001,0,125,0.00094541700000000005,0.0042248340000000002
root-alpha8,1,data/classic/tsplib/berlin52.tsp,7542,7541.9999999735055,3.5129263003642498e-12,0.0060870840000000004,2,1,0,0,0.0036211250000000002,0,57,0.0022078750000000002,0.0084025000000000002
root-alpha8,1,data/classic/tsplib/bier127.tsp,120414,117430.97806154632,0.024773049134267408,0.043107459000000001,2,1,0,0,0.010740417,0,422,0.110860125,0.15450645900000001
root-alpha8,1,data/classic/tsplib/brazil58.tsp,25395,25316.887550529744,0.003075898778116017,0.0090348330000000008,2,1,0,0,0.0027250830000000001,0,220,0.009370125,0.018684290999999999
root-alpha8,1,data/classic/tsplib/brg180.tsp,1960,1949.2773311365436,0.0054707494201308264,0.033098374999999999,2,1,0,0,0.011151833,0,334,0.14794125,0.18392470799999999
root-alpha8,1,data/classic/tsplib/burma14.tsp,3323,3322.999999998799,3.6141671793293762e-13,0.001342542,2,1,0,0,0.00090604200000000002,0,28,4.85e-05,0.001425625
root-alpha8,1,data/classic/tsplib/ch130.tsp,6235,6074.8596417164263,0.025684099163363869,0.048474332999999994,2,1,0,0,0.012095916999999999,0,578,0.15101583399999999,0.20011524999999999
root-alpha8,1,data/classic/tsplib/ch150.tsp,6636,6488.6976966289349,0.022197453793108068,0.057449168000000002,2,1,0,0,0.010355583999999999,0,600,0.233621208,0.291896875
