instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PS-PS64:matches_reference,PSD32:matches_reference,PS-PS64:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PS-PS64:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PS-PS64:branches,PSD32:branches,relative_change:branches,PS-PS64:nodes_expanded,PSD32:nodes_expanded,PS-PS64:pruned_by_bound,PSD32:pruned_by_bound,PS-PS64:pruned_infeasible,PSD32:pruned_infeasible,PS-PS64:root_potential_iterations,PSD32:root_potential_iterations,PS-PS64:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PS-PS64:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_iterations,PSD32:search_node_potential_iterations,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,15.353821288252963,143.18777021071793,2.304056715220213,20.314322527498007,7.816763230394891,3289.0,23169.0,6.044390392216479,1084.0,7054.0,2221.0,16172.0,0.0,0.0,400.0,400.0,2987.0,21707.0,2950.0,21386.0,37.0,321.0,7.675675675675675,27164.0,333498.0,0.0,0.0,0.0,0.0,34.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,526.087840425372,181.30149844853824,124.0620330516249,42.90877685137093,-0.6541345019429461,681597.0,46593.0,-0.9316414244781007,138862.0,14327.0,543770.0,32397.0,1248.0,0.0,721.0,394.0,626734.0,44047.0,540761.0,44023.0,85973.0,24.0,-0.9997208425901155,2559291.0,669192.0,0.0,0.0,0.0,0.0,85973.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.8117863886212504,1.5743840877969992,0.22711211070418358,0.20793677866458893,-0.08443112954276033,55.0,51.0,-0.07272727272727275,19.0,16.0,36.0,35.0,0.0,0.0,348.0,307.0,38.0,30.0,38.0,29.0,0.0,1.0,,352.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,8.440536698457324,13.157135737030645,4.137483399361372,6.204616958275437,0.49961132393501106,5484.0,5845.0,0.0658278628738147,1981.0,2050.0,3531.0,3814.0,0.0,0.0,387.0,349.0,5022.0,5349.0,5022.0,5349.0,0.0,0.0,0.0,47816.0,88411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1521.3501800293689,58.631599103023966,380.33816548995674,14.898131392896175,-0.9608292494819598,369988.0,9064.0,-0.9755019081699947,170203.0,4104.0,225057.0,5462.0,121.0,1.0,400.0,400.0,311567.0,8011.0,311567.0,8011.0,0.0,0.0,0.0,3592924.0,167614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,1618.205656868193,2205.8190562384134,348.3574522063136,474.7771604247391,0.36290226437743556,1219976.0,1391537.0,0.14062653691548022,362873.0,372985.0,864005.0,1021351.0,95.0,119.0,400.0,400.0,1124682.0,1276343.0,1068068.0,1201478.0,56614.0,74865.0,0.32237609071961004,8906012.0,15183662.0,0.0,0.0,0.0,0.0,56613.0,74865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,444.6795838352617,257.6851909355479,1275.3104857206345,740.2267199717462,-0.4195713684942618,548457.0,210812.0,-0.6156271138849536,199894.0,74578.0,355955.0,137590.0,19.0,7.0,400.0,400.0,516995.0,200374.0,516985.0,200363.0,10.0,11.0,0.10000000000000009,5354138.0,3660495.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7524926342035795,-0.7008350017149919,0.28728166967630386,0.3472406566143036,0.20871149560484947,265.0,335.0,0.26415094339622636,84.0,104.0,183.0,235.0,0.0,0.0,400.0,400.0,203.0,282.0,203.0,281.0,0.0,1.0,,2019.0,4297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,20.39338188810302,2.368626611014586,1.67920265160501,0.2644091881811619,-0.842538845488104,2672.0,214.0,-0.9199101796407185,945.0,42.0,1750.0,172.0,2.0,0.0,400.0,400.0,2365.0,98.0,2351.0,82.0,14.0,16.0,0.1428571428571428,22535.0,1183.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,5.488054101395538,4.67895786487516,0.46329749189317226,0.4055217318236828,-0.12470553171656606,1507.0,850.0,-0.4359654943596549,499.0,290.0,1033.0,566.0,0.0,0.0,400.0,400.0,1335.0,734.0,1333.0,724.0,2.0,10.0,4.0,13307.0,13300.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
