instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,result_match,PS-PS16:matches_reference,PS-PS64:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PS-PS64:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PS-PS64:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PS-PS64:branches,relative_change:branches,PS-PS16:nodes_expanded,PS-PS64:nodes_expanded,PS-PS16:pruned_by_bound,PS-PS64:pruned_by_bound,PS-PS16:pruned_infeasible,PS-PS64:pruned_infeasible,PS-PS16:root_potential_iterations,PS-PS64:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PS-PS64:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PS-PS64:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PS-PS64:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,29.02858941358884,29.43844314550333,6.049396863207221,6.131963774561882,0.013648784039420159,14704.0,14704.0,0.0,5218.0,5218.0,9656.0,9656.0,1.0,1.0,395.0,395.0,13467.0,13467.0,13465.0,13465.0,2.0,2.0,0.0,128098.0,128098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.08879551024448518,-0.019835621721971286,0.028479374945163727,0.030634691938757896,0.07567992618321773,16.0,16.0,0.0,6.0,6.0,10.0,10.0,0.0,0.0,100.0,100.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1654.867892533188,1629.963132036439,154.06729487515986,151.7500755507499,-0.015040306421214122,801204.0,801204.0,0.0,143666.0,143666.0,658008.0,658008.0,0.0,0.0,800.0,800.0,761556.0,761556.0,639202.0,639202.0,122354.0,122354.0,0.0,2724311.0,2724311.0,0.0,0.0,0.0,0.0,122354.0,122354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,788.1184867391199,813.1344091596694,371.4643360078335,383.24016329832375,0.031701097922471666,291874.0,291874.0,0.0,93977.0,93977.0,199496.0,199496.0,0.0,0.0,400.0,400.0,274330.0,274330.0,274327.0,274327.0,3.0,3.0,0.0,2570687.0,2570687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,801.7190976687402,814.1768428308237,147.18783953227103,149.4721113294363,0.015519432885380713,275891.0,275891.0,0.0,93599.0,93599.0,183791.0,183791.0,0.0,0.0,400.0,400.0,256049.0,256049.0,256045.0,256045.0,4.0,4.0,0.0,2402306.0,2402306.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,176.40903793144824,190.97008467145048,21.153477605432272,22.889673121273518,0.08207612706647271,42335.0,42335.0,0.0,13263.0,13263.0,29227.0,29227.0,0.0,0.0,372.0,372.0,39616.0,39616.0,39071.0,39071.0,545.0,545.0,0.0,340879.0,340879.0,0.0,0.0,0.0,0.0,545.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,14.314670287496126,15.353821288252963,2.1576528381556273,2.304056715220213,0.0678533054417283,3289.0,3289.0,0.0,1084.0,1084.0,2221.0,2221.0,0.0,0.0,400.0,400.0,2987.0,2987.0,2950.0,2950.0,37.0,37.0,0.0,27164.0,27164.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,502.1981259481485,526.087840425372,118.43904894962907,124.0620330516249,0.04747576202158821,681597.0,681597.0,0.0,138862.0,138862.0,543770.0,543770.0,1248.0,1248.0,721.0,721.0,626734.0,626734.0,540761.0,540761.0,85973.0,85973.0,0.0,2559291.0,2559291.0,0.0,0.0,0.0,0.0,85973.0,85973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.6064550862883467,1.8117863886212504,0.2105272002518177,0.22711211070418358,0.07877799368693528,55.0,55.0,0.0,19.0,19.0,36.0,36.0,0.0,0.0,348.0,348.0,38.0,38.0,38.0,38.0,0.0,0.0,0.0,352.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,8.384934315283054,8.440536698457324,4.1131146643310785,4.137483399361372,0.005924642763212695,5484.0,5484.0,0.0,1981.0,1981.0,3531.0,3531.0,0.0,0.0,387.0,387.0,5022.0,5022.0,5022.0,5022.0,0.0,0.0,0.0,47816.0,47816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
