instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,P32:matches_reference,PS32:matches_reference,P32:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,P32:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,P32:branches,PS32:branches,relative_change:branches,P32:nodes_expanded,PS32:nodes_expanded,P32:pruned_by_bound,PS32:pruned_by_bound,P32:pruned_infeasible,PS32:pruned_infeasible,P32:root_potential_iterations,PS32:root_potential_iterations,P32:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PS32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,388.6648979924491,1163.7092721795607,183.42823673598468,548.2674195356667,1.989002289352043,89949.0,315468.0,2.5071874061968447,28403.0,90312.0,61819.0,226128.0,0.0,0.0,400.0,400.0,86002.0,293001.0,85993.0,293001.0,9.0,0.0,-1.0,1426112.0,4591550.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.9339148509698,388.7099577630356,26.3919495921582,71.45783237740397,1.707561717935235,29185.0,89761.0,2.075586774027754,9814.0,29785.0,19473.0,60222.0,0.0,0.0,372.0,400.0,27449.0,83683.0,27443.0,83680.0,6.0,3.0,-0.5,459387.0,1383685.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,143.19338205892296,126.46193174604754,17.192988101392984,15.19800315797329,-0.11603480044623893,22282.0,21576.0,-0.03168476797414954,6636.0,6504.0,15700.0,15115.0,0.0,0.0,301.0,372.0,20676.0,20325.0,20664.0,19780.0,12.0,545.0,44.416666666666664,306097.0,279851.0,0.0,0.0,0.0,0.0,12.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,107.28839825732489,15.357315665611925,15.256532818078995,2.304549030959606,-0.8489467391812172,16514.0,2322.0,-0.8593920310039966,5333.0,728.0,11243.0,1599.0,0.0,0.0,378.0,400.0,15624.0,2091.0,15331.0,2056.0,293.0,35.0,-0.8805460750853242,248604.0,32510.0,0.0,0.0,0.0,0.0,292.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,413.29850191548746,356.38233370553644,97.51451370306313,84.11800746619701,-0.13737961384557784,603657.0,624452.0,0.034448370515044235,109411.0,110762.0,494438.0,513862.0,1328.0,1373.0,729.0,721.0,556471.0,571472.0,465965.0,478280.0,90506.0,93192.0,0.029677590435993162,2157607.0,2065800.0,0.0,0.0,0.0,0.0,90506.0,93192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,2.04037565759554,1.7485390077555611,0.24557560123503208,0.2220035269856453,-0.095987036704134,81.0,50.0,-0.3827160493827161,26.0,17.0,55.0,33.0,0.0,0.0,333.0,348.0,51.0,28.0,51.0,28.0,0.0,0.0,0.0,779.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.747438428342111,9.910349524615755,4.710256366059184,4.781655056402087,0.015158132550360248,3749.0,4305.0,0.1483062149906642,1387.0,1540.0,2374.0,2773.0,0.0,0.0,341.0,387.0,3497.0,3996.0,3497.0,3996.0,0.0,0.0,0.0,59072.0,66762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1190.2384268469175,23.047486344233377,297.6144673358649,6.007932314649224,-0.9798130367504307,175447.0,3635.0,-0.9792814924165133,75900.0,1558.0,107786.0,2225.0,30.0,0.0,400.0,400.0,152770.0,3164.0,152750.0,3164.0,20.0,0.0,-1.0,3157180.0,64555.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3778.690218042191,1670.687197391311,813.1661650892347,359.64838098175824,-0.5577184634307905,2709624.0,1016970.0,-0.6246822437356623,681902.0,289352.0,2032234.0,729940.0,103.0,91.0,361.0,400.0,2519825.0,945841.0,2286985.0,889228.0,232840.0,56613.0,-0.7568587871499742,24908798.0,11737705.0,0.0,0.0,0.0,0.0,232840.0,56613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,439.47998241384715,367.33501673796957,1260.4318454265594,1053.9892921764404,-0.16378716072526245,315708.0,295401.0,-0.06432209510053599,111928.0,104288.0,205946.0,193103.0,6.0,6.0,400.0,400.0,300400.0,281326.0,300390.0,281316.0,10.0,10.0,0.0,5480655.0,5118940.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
