instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,result_match,PPS32:matches_reference,PPSD32:matches_reference,PPS32:wall_vs_Concorde_relative_change,PPSD32:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PPSD32:wall_seconds,relative_change:wall_seconds,PPS32:branches,PPSD32:branches,relative_change:branches,PPS32:nodes_expanded,PPSD32:nodes_expanded,PPS32:pruned_by_bound,PPSD32:pruned_by_bound,PPS32:pruned_infeasible,PPSD32:pruned_infeasible,PPS32:root_potential_iterations,PPSD32:root_potential_iterations,PPS32:search_node_potential_update_candidates,PPSD32:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PPSD32:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PPSD32:search_node_potential_updates_skipped_zero_violation
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.3415296085837864,1.5771063496356366,0.25710921362042427,0.19829175993800163,-0.22876447270869138,1459.0,940.0,-0.35572309801233726,464.0,315.0,1000.0,627.0,0.0,0.0,334.0,334.0,1309.0,861.0,1302.0,853.0,7.0,8.0,0.1428571428571428,20272.0,13858.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,16.20577302574643,13.340336439415749,3.4661817755550146,2.888926452025771,-0.16653925296136896,5725.0,4498.0,-0.21432314410480346,2044.0,1588.0,3716.0,2945.0,1.0,0.0,319.0,319.0,5199.0,4127.0,5199.0,4127.0,0.0,0.0,0.0,90151.0,70553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.005511060351397035,0.3167424039663138,0.031082401052117348,0.041154319420456886,0.324039264259266,17.0,16.0,-0.05882352941176472,5.0,6.0,12.0,10.0,0.0,1.0,100.0,100.0,12.0,13.0,12.0,13.0,0.0,0.0,0.0,132.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1005.4477222956513,1068.7800510820314,93.64314551092684,99.53578985668719,0.06292659557311375,406316.0,411334.0,0.01234999360103961,74906.0,76131.0,331519.0,335341.0,0.0,0.0,320.0,320.0,384541.0,389194.0,323065.0,327718.0,61476.0,61476.0,0.0,1691616.0,1759135.0,0.0,0.0,0.0,0.0,61476.0,61476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,421.36568579607,394.4947826613981,198.82158593833447,186.1725574862212,-0.06361999574853217,99892.0,93072.0,-0.06827373563448524,31982.0,29374.0,68244.0,64008.0,0.0,0.0,400.0,400.0,95579.0,89016.0,95571.0,89008.0,8.0,8.0,0.0,1588549.0,1471657.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.63743482080528,146.82055855977077,26.337586546316743,27.104610711336136,0.029122796185995226,31476.0,32195.0,0.02284280086415036,10881.0,10985.0,20709.0,21316.0,0.0,0.0,372.0,372.0,29785.0,30241.0,29779.0,30235.0,6.0,6.0,0.0,505592.0,511029.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,122.79556508601951,180.6588369797491,14.760841635987163,21.660205053165555,0.46740989350889284,20167.0,28723.0,0.4242574502900778,5927.0,8579.0,14267.0,20210.0,0.0,0.0,301.0,301.0,18665.0,26783.0,18652.0,26771.0,13.0,12.0,-0.07692307692307687,273167.0,396449.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,115.32565362678189,116.91503128810304,16.38888542726636,16.61280962266028,0.013663174130278177,18395.0,18227.0,-0.009132916553411308,6015.0,5945.0,12441.0,12341.0,0.0,0.0,378.0,378.0,17371.0,17193.0,17077.0,16900.0,294.0,293.0,-0.003401360544217691,278508.0,277246.0,0.0,0.0,0.0,0.0,292.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,391.1368493653687,807.132044138909,92.29826802201569,190.21213672682643,1.0608418858028363,615321.0,759297.0,0.23398518821883219,112258.0,155933.0,503226.0,603985.0,1332.0,1340.0,729.0,729.0,566844.0,701783.0,475903.0,611434.0,90941.0,90349.0,-0.006509715090003421,2330217.0,4394177.0,0.0,0.0,0.0,0.0,90941.0,90348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.4520114000022737,1.9939113571808926,0.19805255718529224,0.24182261154055595,0.22100221768060146,73.0,103.0,0.41095890410958913,26.0,33.0,47.0,70.0,0.0,0.0,333.0,333.0,41.0,63.0,41.0,63.0,0.0,0.0,0.0,750.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.995223313723562,7.710822591326274,3.9423168748617172,3.8176731914281845,-0.03161686069131742,3662.0,3452.0,-0.05734571272528677,1322.0,1242.0,2350.0,2223.0,0.0,0.0,341.0,341.0,3387.0,3220.0,3387.0,3220.0,0.0,0.0,0.0,55799.0,53414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1446.9303452383156,1532.2102567944232,361.74539766833186,383.05140566825867,0.058897799770935455,212872.0,220224.0,0.034537186666165676,94058.0,96849.0,129680.0,134542.0,119.0,70.0,400.0,400.0,183938.0,190319.0,183918.0,190299.0,20.0,20.0,0.0,3865194.0,3992184.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3470.6548863643025,3538.2083703147214,746.8951494973153,761.4286705832928,0.019458582768624222,2722053.0,2715260.0,-0.002495542886196578,684959.0,681818.0,2040844.0,2037679.0,90.0,89.0,361.0,361.0,2529417.0,2524427.0,2296577.0,2291586.0,232840.0,232841.0,4.294794708759042e-06,25060203.0,25123350.0,0.0,0.0,0.0,0.0,232840.0,232840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,513.8967226128898,552.9106860500004,1473.3750730976462,1585.013385610655,0.07577046371383123,403330.0,450182.0,0.1161629434954008,142677.0,159340.0,263092.0,293611.0,7.0,5.0,400.0,400.0,382670.0,426701.0,382660.0,426691.0,10.0,10.0,0.0,6972415.0,7794603.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7363971630869699,-0.7167256299154368,0.30596367456018925,0.3287964127957821,0.07462565047440362,285.0,290.0,0.01754385964912286,83.0,92.0,205.0,201.0,0.0,0.0,400.0,400.0,207.0,238.0,207.0,238.0,0.0,0.0,0.0,3397.0,3922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,4.644120119495289,5.63493661494815,0.44301651418209076,0.5207873731851578,0.17554844235693956,372.0,451.0,0.2123655913978495,113.0,147.0,259.0,306.0,0.0,0.0,400.0,400.0,279.0,356.0,268.0,345.0,11.0,11.0,0.0,4563.0,6062.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
