instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,result_match,PPSD32:matches_reference,PS-PS64:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PS-PS64:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PS-PS64:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PS-PS64:branches,relative_change:branches,PPSD32:nodes_expanded,PS-PS64:nodes_expanded,PPSD32:pruned_by_bound,PS-PS64:pruned_by_bound,PPSD32:pruned_infeasible,PS-PS64:pruned_infeasible,PPSD32:root_potential_iterations,PS-PS64:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PS-PS64:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PS-PS64:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PS-PS64:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,13.340336439415749,29.43844314550333,2.888926452025771,6.131963774561882,1.1225752459921678,4498.0,14704.0,2.2690084481991994,1588.0,5218.0,2945.0,9656.0,0.0,1.0,319.0,395.0,4127.0,13467.0,4127.0,13465.0,0.0,2.0,,70553.0,128098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.3167424039663138,-0.019835621721971286,0.041154319420456886,0.030634691938757896,-0.25561417683097243,16.0,16.0,0.0,6.0,6.0,10.0,10.0,1.0,0.0,100.0,100.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,174.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1068.7800510820314,1629.963132036439,99.53578985668719,151.7500755507499,0.5245780012319334,411334.0,801204.0,0.9478185610720242,76131.0,143666.0,335341.0,658008.0,0.0,0.0,320.0,800.0,389194.0,761556.0,327718.0,639202.0,61476.0,122354.0,0.9902726267161168,1759135.0,2724311.0,0.0,0.0,0.0,0.0,61476.0,122354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,394.4947826613981,813.1344091596694,186.1725574862212,383.24016329832375,1.058521236819168,93072.0,291874.0,2.1360022348289496,29374.0,93977.0,64008.0,199496.0,0.0,0.0,400.0,400.0,89016.0,274330.0,89008.0,274327.0,8.0,3.0,-0.625,1471657.0,2570687.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,146.82055855977077,814.1768428308237,27.104610711336136,149.4721113294363,4.514637820159565,32195.0,275891.0,7.569374126417145,10985.0,93599.0,21316.0,183791.0,0.0,0.0,372.0,400.0,30241.0,256049.0,30235.0,256045.0,6.0,4.0,-0.33333333333333337,511029.0,2402306.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,180.6588369797491,190.97008467145048,21.660205053165555,22.889673121273518,0.056761607985252205,28723.0,42335.0,0.4739059290464087,8579.0,13263.0,20210.0,29227.0,0.0,0.0,301.0,372.0,26783.0,39616.0,26771.0,39071.0,12.0,545.0,44.416666666666664,396449.0,340879.0,0.0,0.0,0.0,0.0,12.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,116.91503128810304,15.353821288252963,16.61280962266028,2.304056715220213,-0.8613084259945155,18227.0,3289.0,-0.8195534097767049,5945.0,1084.0,12341.0,2221.0,0.0,0.0,378.0,400.0,17193.0,2987.0,16900.0,2950.0,293.0,37.0,-0.8737201365187713,277246.0,27164.0,0.0,0.0,0.0,0.0,292.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,807.132044138909,526.087840425372,190.21213672682643,124.0620330516249,-0.3477701518605153,759297.0,681597.0,-0.10233149874159919,155933.0,138862.0,603985.0,543770.0,1340.0,1248.0,729.0,721.0,701783.0,626734.0,611434.0,540761.0,90349.0,85973.0,-0.04843440436529456,4394177.0,2559291.0,0.0,0.0,0.0,0.0,90348.0,85973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.9939113571808926,1.8117863886212504,0.24182261154055595,0.22711211070418358,-0.060831783854527144,103.0,55.0,-0.46601941747572817,33.0,19.0,70.0,36.0,0.0,0.0,333.0,348.0,63.0,38.0,63.0,38.0,0.0,0.0,0.0,1035.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.710822591326274,8.440536698457324,3.8176731914281845,4.137483399361372,0.08377097564329405,3452.0,5484.0,0.5886442641946699,1242.0,1981.0,2223.0,3531.0,0.0,0.0,341.0,387.0,3220.0,5022.0,3220.0,5022.0,0.0,0.0,0.0,53414.0,47816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
