instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,PPSD32:matches_reference,PS32:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PS32:branches,relative_change:branches,PPSD32:nodes_expanded,PS32:nodes_expanded,PPSD32:pruned_by_bound,PS32:pruned_by_bound,PPSD32:pruned_infeasible,PS32:pruned_infeasible,PPSD32:root_potential_iterations,PS32:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PS32:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.9939113571808926,1.7485390077555611,0.24182261154055595,0.2220035269856453,-0.08195711901650193,103.0,50.0,-0.5145631067961165,33.0,17.0,70.0,33.0,0.0,0.0,333.0,348.0,63.0,28.0,63.0,28.0,0.0,0.0,0.0,1035.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.710822591326274,9.910349524615755,3.8176731914281845,4.781655056402087,0.2525050774745019,3452.0,4305.0,0.24710312862108919,1242.0,1540.0,2223.0,2773.0,0.0,0.0,341.0,387.0,3220.0,3996.0,3220.0,3996.0,0.0,0.0,0.0,53414.0,66762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1532.2102567944232,23.047486344233377,383.05140566825867,6.007932314649224,-0.9843155977872787,220224.0,3635.0,-0.9834940787561756,96849.0,1558.0,134542.0,2225.0,70.0,0.0,400.0,400.0,190319.0,3164.0,190299.0,3164.0,20.0,0.0,-1.0,3992184.0,64555.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3538.2083703147214,1670.687197391311,761.4286705832928,359.64838098175824,-0.5276663529017769,2715260.0,1016970.0,-0.6254612817925356,681818.0,289352.0,2037679.0,729940.0,89.0,91.0,361.0,400.0,2524427.0,945841.0,2291586.0,889228.0,232841.0,56613.0,-0.7568598313870839,25123350.0,11737705.0,0.0,0.0,0.0,0.0,232840.0,56613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,552.9106860500004,367.33501673796957,1585.013385610655,1053.9892921764404,-0.3350281444024701,450182.0,295401.0,-0.34381872220568566,159340.0,104288.0,293611.0,193103.0,5.0,6.0,400.0,400.0,426701.0,281326.0,426691.0,281316.0,10.0,10.0,0.0,7794603.0,5118940.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7167256299154368,-0.7959138858719651,0.3287964127957821,0.23688264563679695,-0.27954613731164235,290.0,154.0,-0.46896551724137936,92.0,44.0,201.0,110.0,0.0,0.0,400.0,400.0,238.0,95.0,238.0,95.0,0.0,0.0,0.0,3922.0,1701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,5.63493661494815,11.772570625694827,0.5207873731851578,1.0025406256318092,0.9250478741453121,451.0,1026.0,1.2749445676274944,147.0,354.0,306.0,674.0,0.0,0.0,400.0,400.0,356.0,903.0,345.0,892.0,11.0,11.0,0.0,6062.0,15106.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,7.098983909854031,13.770580901524376,0.5783304013311863,1.054734282195568,0.8237572843616856,1353.0,2810.0,1.0768662232076864,435.0,867.0,923.0,1958.0,0.0,0.0,361.0,400.0,1213.0,2552.0,1210.0,2550.0,3.0,2.0,-0.33333333333333337,20392.0,42212.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.1727893717225134,-0.12230011450267897,0.028013642877340317,0.02972347103059292,0.06103555188231691,5.0,8.0,0.6000000000000001,2.0,3.0,3.0,5.0,3.0,3.0,100.0,100.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,35.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,1745.9330087902867,654.1263482321486,211.26963291689754,79.22931355051696,-0.6249848477671107,130944.0,42600.0,-0.6746700879765396,41587.0,14723.0,89780.0,28030.0,0.0,0.0,400.0,400.0,121660.0,40031.0,121630.0,39945.0,30.0,86.0,1.8666666666666667,1926907.0,684622.0,0.0,0.0,0.0,0.0,30.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
