instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,PPSD32:matches_reference,PSD-PSD32:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PSD-PSD32:branches,relative_change:branches,PPSD32:nodes_expanded,PSD-PSD32:nodes_expanded,PPSD32:pruned_by_bound,PSD-PSD32:pruned_by_bound,PPSD32:pruned_infeasible,PSD-PSD32:pruned_infeasible,PPSD32:root_potential_iterations,PSD-PSD32:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,13.340336439415749,9.867416270988006,2.888926452025771,2.189290778711438,-0.2421784302690485,4498.0,3379.0,-0.24877723432636722,1588.0,1162.0,2945.0,2238.0,0.0,0.0,319.0,356.0,4127.0,3063.0,4127.0,3063.0,0.0,0.0,0.0,70553.0,52164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.3167424039663138,0.053771545886576844,0.041154319420456886,0.032935258001089096,-0.19971321443557344,16.0,12.0,-0.25,6.0,6.0,10.0,6.0,1.0,2.0,100.0,100.0,13.0,10.0,13.0,10.0,0.0,0.0,0.0,174.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1068.7800510820314,1095.7270537998095,99.53578985668719,102.04302599094808,0.02518929259385838,411334.0,381632.0,-0.07220895914269188,76131.0,68484.0,335341.0,313270.0,0.0,1.0,320.0,330.0,389194.0,362244.0,327718.0,309551.0,61476.0,52693.0,-0.14286876179322017,1759135.0,1789169.0,0.0,0.0,0.0,0.0,61476.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,394.4947826613981,2221.6674832695385,186.1725574862212,1046.283561611548,4.6199666360010365,93072.0,575263.0,5.18083849063091,29374.0,177732.0,64008.0,399465.0,0.0,0.0,400.0,400.0,89016.0,546887.0,89008.0,546872.0,8.0,15.0,0.875,1471657.0,8831611.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,146.82055855977077,314.83349286124735,27.104610711336136,57.91172727942467,1.1366005915445179,32195.0,72957.0,1.2660972200652276,10985.0,24363.0,21316.0,48834.0,0.0,14.0,372.0,400.0,30241.0,67837.0,30235.0,67575.0,6.0,262.0,42.666666666666664,511029.0,1131580.0,0.0,0.0,0.0,0.0,6.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,180.6588369797491,113.53353417750412,21.660205053165555,13.656477587297559,-0.36951300535810405,28723.0,17971.0,-0.3743341572955471,8579.0,5460.0,20210.0,12541.0,0.0,0.0,301.0,311.0,26783.0,16968.0,26771.0,16811.0,12.0,157.0,12.083333333333334,396449.0,245368.0,0.0,0.0,0.0,0.0,12.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,116.91503128810304,144.09696868746502,16.61280962266028,20.442417657002807,0.23052139411257966,18227.0,23990.0,0.3161792944532835,5945.0,7349.0,12341.0,16715.0,0.0,0.0,378.0,400.0,17193.0,22403.0,16900.0,22084.0,293.0,319.0,0.0887372013651877,277246.0,345840.0,0.0,0.0,0.0,0.0,292.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,807.132044138909,174.77852863180937,190.21213672682643,41.37344851531088,-0.7824878620929986,759297.0,47086.0,-0.9379873751641321,155933.0,14849.0,603985.0,32376.0,1340.0,0.0,729.0,394.0,701783.0,44421.0,611434.0,44396.0,90349.0,25.0,-0.9997232952218619,4394177.0,689109.0,0.0,0.0,0.0,0.0,90348.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.9939113571808926,1.8792897106855202,0.24182261154055595,0.23256445303559303,-0.03828491655922028,103.0,106.0,0.029126213592232997,33.0,35.0,70.0,71.0,0.0,0.0,333.0,307.0,63.0,66.0,63.0,66.0,0.0,0.0,0.0,1035.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.710822591326274,15.249879101925078,3.8176731914281845,7.121799021959305,0.8654815812809407,3452.0,6326.0,0.8325608342989572,1242.0,2171.0,2223.0,4178.0,0.0,0.0,341.0,349.0,3220.0,5817.0,3220.0,5817.0,0.0,0.0,0.0,53414.0,95247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
