instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,result_match,P32:matches_reference,PS-PS32:matches_reference,P32:wall_vs_Concorde_relative_change,PS-PS32:wall_vs_Concorde_relative_change,P32:wall_seconds,PS-PS32:wall_seconds,relative_change:wall_seconds,P32:branches,PS-PS32:branches,relative_change:branches,P32:nodes_expanded,PS-PS32:nodes_expanded,P32:pruned_by_bound,PS-PS32:pruned_by_bound,P32:pruned_infeasible,PS-PS32:pruned_infeasible,P32:root_potential_iterations,PS-PS32:root_potential_iterations,P32:search_node_potential_update_candidates,PS-PS32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PS-PS32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PS-PS32:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,15.163015358017685,21.376939418411542,3.2561134677380323,4.507936928421259,0.3844532670886458,5119.0,7508.0,0.46669271342059004,1765.0,2633.0,3384.0,4929.0,0.0,2.0,319.0,395.0,4732.0,6920.0,4731.0,6919.0,1.0,1.0,0.0,78352.0,116739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.17955172171916423,0.4542934619076575,0.03686647303402424,0.045453429222106934,0.23292046896261964,18.0,8.0,-0.5555555555555556,7.0,3.0,11.0,5.0,1.0,0.0,100.0,100.0,13.0,6.0,13.0,6.0,0.0,0.0,0.0,195.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1134.1473085981813,1695.3367978385259,105.61777054145932,157.83265248313546,0.49437591490514987,406666.0,802021.0,0.972186019977082,74929.0,140484.0,331874.0,661668.0,0.0,0.0,320.0,800.0,384981.0,762490.0,323504.0,637206.0,61477.0,125284.0,1.0379003529775361,1648233.0,2961931.0,0.0,0.0,0.0,0.0,61476.0,125283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,388.6648979924491,430.55262800034666,183.42823673598468,203.14618540368974,0.10749680103007186,89949.0,108659.0,0.20800675938587432,28403.0,33659.0,61819.0,75347.0,0.0,0.0,400.0,400.0,86002.0,103058.0,85993.0,103058.0,9.0,0.0,-1.0,1426112.0,1676975.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.9339148509698,297.26191076716356,26.3919495921582,54.68977427855134,1.0722142594119397,29185.0,68354.0,1.3420935412026727,9814.0,23090.0,19473.0,45442.0,0.0,0.0,372.0,400.0,27449.0,63556.0,27443.0,63554.0,6.0,2.0,-0.6666666666666667,459387.0,1055735.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,143.19338205892296,127.05070653219283,17.192988101392984,15.268206087872386,-0.11195157014996426,22282.0,22086.0,-0.00879633785118028,6636.0,6695.0,15700.0,15428.0,0.0,0.0,301.0,372.0,20676.0,20736.0,20664.0,20191.0,12.0,545.0,44.416666666666664,306097.0,285061.0,0.0,0.0,0.0,0.0,12.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,107.28839825732489,20.56331799611347,15.256532818078995,3.0380121413618326,-0.8008713921054338,16514.0,3202.0,-0.8061039118323846,5333.0,1041.0,11243.0,2169.0,0.0,0.0,378.0,400.0,15624.0,2884.0,15331.0,2848.0,293.0,36.0,-0.8771331058020477,248604.0,45924.0,0.0,0.0,0.0,0.0,292.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,413.29850191548746,415.19561716207136,97.51451370306313,97.96104264259338,0.004579102356906173,603657.0,643602.0,0.06617168358852799,109411.0,116727.0,494438.0,527070.0,1328.0,1372.0,729.0,721.0,556471.0,589948.0,465965.0,496768.0,90506.0,93180.0,0.029545002541268017,2157607.0,2391216.0,0.0,0.0,0.0,0.0,90506.0,93180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,2.04037565759554,1.681838566413301,0.24557560123503208,0.21661603450775146,-0.11792526041528206,81.0,60.0,-0.2592592592592593,26.0,19.0,55.0,41.0,0.0,0.0,333.0,348.0,51.0,38.0,51.0,38.0,0.0,0.0,0.0,779.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.747438428342111,9.779597805023231,4.710256366059184,4.724350785836577,0.002992282942167135,3749.0,4366.0,0.16457722059215785,1387.0,1574.0,2374.0,2795.0,0.0,0.0,341.0,387.0,3497.0,4030.0,3497.0,4030.0,0.0,0.0,0.0,59072.0,66427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
