instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,PPS32:matches_reference,PS32:matches_reference,PPS32:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,PPS32:branches,PS32:branches,relative_change:branches,PPS32:nodes_expanded,PS32:nodes_expanded,PPS32:pruned_by_bound,PS32:pruned_by_bound,PPS32:pruned_infeasible,PS32:pruned_infeasible,PPS32:root_potential_iterations,PS32:root_potential_iterations,PPS32:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PS32:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,16.20577302574643,20.97194962708371,3.4661817755550146,4.426349880173802,0.27701031474757065,5725.0,7696.0,0.3442794759825327,2044.0,2629.0,3716.0,5107.0,1.0,0.0,319.0,395.0,5199.0,7097.0,5199.0,7094.0,0.0,3.0,,90151.0,116923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.005511060351397035,0.2764946905223815,0.031082401052117348,0.039896391332149506,0.2835685140685662,17.0,12.0,-0.2941176470588235,5.0,4.0,12.0,8.0,0.0,0.0,100.0,100.0,12.0,8.0,12.0,8.0,0.0,0.0,0.0,132.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1005.4477222956513,1635.003104767972,93.64314551092684,152.2190108858049,0.6255221891071896,406316.0,794543.0,0.9554804634816252,74906.0,138796.0,331519.0,655917.0,0.0,0.0,320.0,800.0,384541.0,755865.0,323065.0,630970.0,61476.0,124895.0,1.0316058299173663,1691616.0,2807916.0,0.0,0.0,0.0,0.0,61476.0,124895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,421.36568579607,1163.7092721795607,198.82158593833447,548.2674195356667,1.7575849822750866,99892.0,315468.0,2.158090737997037,31982.0,90312.0,68244.0,226128.0,0.0,0.0,400.0,400.0,95579.0,293001.0,95571.0,293001.0,8.0,0.0,-1.0,1588549.0,4591550.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.63743482080528,388.7099577630356,26.337586546316743,71.45783237740397,1.713150358395204,31476.0,89761.0,1.8517283009276908,10881.0,29785.0,20709.0,60222.0,0.0,0.0,372.0,400.0,29785.0,83683.0,29779.0,83680.0,6.0,3.0,-0.5,505592.0,1383685.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,122.79556508601951,126.46193174604754,14.760841635987163,15.19800315797329,0.029616300531286832,20167.0,21576.0,0.06986661377497883,5927.0,6504.0,14267.0,15115.0,0.0,0.0,301.0,372.0,18665.0,20325.0,18652.0,19780.0,13.0,545.0,40.92307692307692,273167.0,279851.0,0.0,0.0,0.0,0.0,12.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,115.32565362678189,15.357315665611925,16.38888542726636,2.304549030959606,-0.8593834192576938,18395.0,2322.0,-0.8737700462082088,6015.0,728.0,12441.0,1599.0,0.0,0.0,378.0,400.0,17371.0,2091.0,17077.0,2056.0,294.0,35.0,-0.8809523809523809,278508.0,32510.0,0.0,0.0,0.0,0.0,292.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,391.1368493653687,356.38233370553644,92.29826802201569,84.11800746619701,-0.08862853801186665,615321.0,624452.0,0.014839409023907901,112258.0,110762.0,503226.0,513862.0,1332.0,1373.0,729.0,721.0,566844.0,571472.0,475903.0,478280.0,90941.0,93192.0,0.024752311938509575,2330217.0,2065800.0,0.0,0.0,0.0,0.0,90941.0,93192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.4520114000022737,1.7485390077555611,0.19805255718529224,0.2220035269856453,0.12093239360673946,73.0,50.0,-0.31506849315068497,26.0,17.0,47.0,33.0,0.0,0.0,333.0,348.0,41.0,28.0,41.0,28.0,0.0,0.0,0.0,750.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.995223313723562,9.910349524615755,3.9423168748617172,4.781655056402087,0.21290479892482295,3662.0,4305.0,0.17558711086837797,1322.0,1540.0,2350.0,2773.0,0.0,0.0,341.0,387.0,3387.0,3996.0,3387.0,3996.0,0.0,0.0,0.0,55799.0,66762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
