instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PSD-PSD64:status,PSD-PSD64:successful_repeats,PSD-PSD64:result,result_match,P32:matches_reference,PSD-PSD64:matches_reference,P32:wall_vs_Concorde_relative_change,PSD-PSD64:wall_vs_Concorde_relative_change,P32:wall_seconds,PSD-PSD64:wall_seconds,relative_change:wall_seconds,P32:branches,PSD-PSD64:branches,relative_change:branches,P32:nodes_expanded,PSD-PSD64:nodes_expanded,P32:pruned_by_bound,PSD-PSD64:pruned_by_bound,P32:pruned_infeasible,PSD-PSD64:pruned_infeasible,P32:root_potential_iterations,PSD-PSD64:root_potential_iterations,P32:search_node_potential_update_candidates,PSD-PSD64:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PSD-PSD64:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PSD-PSD64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PSD-PSD64:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD64:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PSD-PSD64:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD64:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD64:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PSD-PSD64:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD64:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PSD-PSD64:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD64:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD64:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PSD-PSD64:search_node_potential_updates_skipped_zero_violation
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.17955172171916423,0.26931339878261307,0.03686647303402424,0.039671942591667175,0.07609812728908882,18.0,12.0,-0.33333333333333337,7.0,5.0,11.0,7.0,1.0,0.0,100.0,100.0,13.0,9.0,13.0,9.0,0.0,0.0,0.0,195.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1134.1473085981813,1195.6723953896487,105.61777054145932,111.34226325713098,0.05420009044239915,406666.0,419072.0,0.030506607387881024,74929.0,80639.0,331874.0,338851.0,0.0,1.0,320.0,330.0,384981.0,397351.0,323504.0,344659.0,61477.0,52692.0,-0.14289897034663368,1648233.0,1789644.0,0.0,0.0,0.0,0.0,61476.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.9339148509698,901.6562844427284,26.3919495921582,165.5124796871096,5.27132448511072,29185.0,288210.0,8.875278396436526,9814.0,99495.0,19473.0,190564.0,0.0,14.0,372.0,400.0,27449.0,267405.0,27443.0,267142.0,6.0,263.0,42.833333333333336,459387.0,2557901.0,0.0,0.0,0.0,0.0,6.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,143.19338205892296,211.4779354448554,17.192988101392984,25.334939535707235,0.4735623258911339,22282.0,48189.0,1.162687370972085,6636.0,14744.0,15700.0,33625.0,0.0,0.0,301.0,311.0,20676.0,44922.0,20664.0,44764.0,12.0,158.0,12.166666666666666,306097.0,392736.0,0.0,0.0,0.0,0.0,12.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,107.28839825732489,171.1001348331767,15.256532818078995,24.246838971972466,0.5892758375113876,16514.0,41390.0,1.5063582414920673,5333.0,13365.0,11243.0,28277.0,0.0,0.0,378.0,400.0,15624.0,38328.0,15331.0,38008.0,293.0,320.0,0.0921501706484642,248604.0,350637.0,0.0,0.0,0.0,0.0,292.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,413.29850191548746,278.9144407892394,97.51451370306313,65.88418844342232,-0.3243653078756751,603657.0,112861.0,-0.8130378675307335,109411.0,37703.0,494438.0,75997.0,1328.0,0.0,729.0,394.0,556471.0,106787.0,465965.0,106763.0,90506.0,24.0,-0.9997348242105496,2157607.0,974592.0,0.0,0.0,0.0,0.0,90506.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,2.04037565759554,1.5258698080112856,0.24557560123503208,0.20401820912957191,-0.16922443392772968,81.0,62.0,-0.23456790123456794,26.0,22.0,55.0,40.0,0.0,0.0,333.0,307.0,51.0,40.0,51.0,39.0,0.0,1.0,,779.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.747438428342111,12.350735062760537,4.710256366059184,5.851197496056557,0.2422248475090829,3749.0,7902.0,1.1077620698853026,1387.0,2750.0,2374.0,5211.0,0.0,0.0,341.0,349.0,3497.0,7237.0,3497.0,7237.0,0.0,0.0,0.0,59072.0,68594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1190.2384268469175,1195.6442695776543,297.6144673358649,298.96504247561097,0.0045380023082746135,175447.0,289684.0,0.6511197113658256,75900.0,132675.0,107786.0,175480.0,30.0,69.0,400.0,400.0,152770.0,249603.0,152750.0,249603.0,20.0,0.0,-1.0,3157180.0,2831507.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3778.690218042191,1918.5013201441027,813.1661650892347,412.9633481428027,-0.4921537984828904,2709624.0,1680006.0,-0.37998556257251925,681902.0,472155.0,2032234.0,1217433.0,103.0,122.0,361.0,400.0,2519825.0,1528715.0,2286985.0,1453850.0,232840.0,74865.0,-0.6784701941247209,24908798.0,11816231.0,0.0,0.0,0.0,0.0,232840.0,74865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
