instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS32:status,PS32:successful_repeats,PS32:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PS32:matches_reference,hybrid-reverse:matches_reference,PS32:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PS32:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PS32:branches,hybrid-reverse:branches,relative_change:branches,PS32:nodes_expanded,hybrid-reverse:nodes_expanded,PS32:pruned_by_bound,hybrid-reverse:pruned_by_bound,PS32:pruned_infeasible,hybrid-reverse:pruned_infeasible,PS32:root_potential_iterations,hybrid-reverse:root_potential_iterations,PS32:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PS32:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PS32:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS32:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PS32:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,20.97194962708371,17.76393592113785,4.426349880173802,3.7800808269530535,-0.14600496361922766,7696.0,6120.0,-0.20478170478170477,2629.0,2184.0,5107.0,3985.0,0.0,0.0,395.0,357.0,7097.0,5605.0,7094.0,5605.0,3.0,0.0,-1.0,116923.0,96224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.2764946905223815,0.35081802064409806,0.039896391332149506,0.042219340801239014,0.058224550931192054,12.0,10.0,-0.16666666666666663,4.0,5.0,8.0,5.0,0.0,4.0,100.0,152.0,8.0,9.0,8.0,9.0,0.0,0.0,0.0,89.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1635.003104767972,335.6753721552581,152.2190108858049,31.32536361925304,-0.7942085982758527,794543.0,45495.0,-0.9427406697938312,138796.0,11672.0,655917.0,33899.0,0.0,2.0,800.0,372.0,755865.0,42194.0,630970.0,40654.0,124895.0,1540.0,-0.9876696424996998,2807916.0,510939.0,0.0,0.0,0.0,0.0,124895.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,1163.7092721795607,263.3725958950781,548.2674195356667,124.44898002408445,-0.7730140883996325,315468.0,66191.0,-0.7901815715064602,90312.0,19992.0,226128.0,46387.0,0.0,0.0,400.0,612.0,293001.0,62856.0,293001.0,62854.0,0.0,2.0,,4591550.0,1013266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,388.7099577630356,438.03093355030956,71.45783237740397,80.50140427052975,0.1265581615373137,89761.0,106369.0,0.18502467664130307,29785.0,34309.0,60222.0,72354.0,0.0,0.0,400.0,396.0,83683.0,99518.0,83680.0,99492.0,3.0,26.0,7.666666666666666,1383685.0,1604312.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,126.46193174604754,114.3104180624846,15.19800315797329,13.749109823256731,-0.09533445411586383,21576.0,17141.0,-0.20555246570263253,6504.0,5225.0,15115.0,11959.0,0.0,0.0,372.0,370.0,20325.0,16129.0,19780.0,16114.0,545.0,15.0,-0.9724770642201834,279851.0,240582.0,0.0,0.0,0.0,0.0,545.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,15.357315665611925,392.87386311765937,2.304549030959606,55.49208978563547,23.079370427857096,2322.0,81423.0,34.065891472868216,728.0,19531.0,1599.0,62069.0,0.0,0.0,400.0,458.0,2091.0,76711.0,2056.0,71953.0,35.0,4758.0,134.94285714285715,32510.0,905057.0,0.0,0.0,0.0,0.0,34.0,4758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,356.38233370553644,627.4517097258965,84.11800746619701,147.92031005769968,0.7584856621472131,624452.0,160029.0,-0.7437289015008359,110762.0,50347.0,513862.0,110202.0,1373.0,1.0,721.0,445.0,571472.0,152471.0,478280.0,152415.0,93192.0,56.0,-0.9993990900506481,2065800.0,2363092.0,0.0,0.0,0.0,0.0,93192.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.7485390077555611,1.4424436611960503,0.2220035269856453,0.19727975688874722,-0.11136656445326076,50.0,54.0,0.08000000000000007,17.0,14.0,33.0,40.0,0.0,0.0,348.0,356.0,28.0,26.0,28.0,26.0,0.0,0.0,0.0,482.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.910349524615755,7.729888952781737,4.781655056402087,3.8260293640196323,-0.19985249481829137,4305.0,3262.0,-0.24227642276422767,1540.0,1150.0,2773.0,2120.0,0.0,0.0,387.0,393.0,3996.0,3039.0,3996.0,3039.0,0.0,0.0,0.0,66762.0,49307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
