instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,PS-PS16:matches_reference,PS32:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PS32:branches,relative_change:branches,PS-PS16:nodes_expanded,PS32:nodes_expanded,PS-PS16:pruned_by_bound,PS32:pruned_by_bound,PS-PS16:pruned_infeasible,PS32:pruned_infeasible,PS-PS16:root_potential_iterations,PS32:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PS32:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,29.02858941358884,20.97194962708371,6.049396863207221,4.426349880173802,-0.2682989758706167,14704.0,7696.0,-0.4766050054406964,5218.0,2629.0,9656.0,5107.0,1.0,0.0,395.0,395.0,13467.0,7097.0,13465.0,7094.0,2.0,3.0,0.5,128098.0,116923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.08879551024448518,0.2764946905223815,0.028479374945163727,0.039896391332149506,0.4008871827056928,16.0,12.0,-0.25,6.0,4.0,10.0,8.0,0.0,0.0,100.0,100.0,13.0,8.0,13.0,8.0,0.0,0.0,0.0,94.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1654.867892533188,1635.003104767972,154.06729487515986,152.2190108858049,-0.011996601815152386,801204.0,794543.0,-0.008313737824574008,143666.0,138796.0,658008.0,655917.0,0.0,0.0,800.0,800.0,761556.0,755865.0,639202.0,630970.0,122354.0,124895.0,0.020767608741847354,2724311.0,2807916.0,0.0,0.0,0.0,0.0,122354.0,124895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,788.1184867391199,1163.7092721795607,371.4643360078335,548.2674195356667,0.4759624717353883,291874.0,315468.0,0.08083625125910499,93977.0,90312.0,199496.0,226128.0,0.0,0.0,400.0,400.0,274330.0,293001.0,274327.0,293001.0,3.0,0.0,-1.0,2570687.0,4591550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,801.7190976687402,388.7099577630356,147.18783953227103,71.45783237740397,-0.5145126621568706,275891.0,89761.0,-0.674650496029229,93599.0,29785.0,183791.0,60222.0,0.0,0.0,400.0,400.0,256049.0,83683.0,256045.0,83680.0,4.0,3.0,-0.25,2402306.0,1383685.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,176.40903793144824,126.46193174604754,21.153477605432272,15.19800315797329,-0.28153642434327675,42335.0,21576.0,-0.49035077359159085,13263.0,6504.0,29227.0,15115.0,0.0,0.0,372.0,372.0,39616.0,20325.0,39071.0,19780.0,545.0,545.0,0.0,340879.0,279851.0,0.0,0.0,0.0,0.0,545.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,14.314670287496126,15.357315665611925,2.1576528381556273,2.304549030959606,0.06808147733791436,3289.0,2322.0,-0.2940103374885984,1084.0,728.0,2221.0,1599.0,0.0,0.0,400.0,400.0,2987.0,2091.0,2950.0,2056.0,37.0,35.0,-0.05405405405405406,27164.0,32510.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,502.1981259481485,356.38233370553644,118.43904894962907,84.11800746619701,-0.28977809082229666,681597.0,624452.0,-0.08383986431865165,138862.0,110762.0,543770.0,513862.0,1248.0,1373.0,721.0,721.0,626734.0,571472.0,540761.0,478280.0,85973.0,93192.0,0.08396822258150816,2559291.0,2065800.0,0.0,0.0,0.0,0.0,85973.0,93192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.6064550862883467,1.7485390077555611,0.2105272002518177,0.2220035269856453,0.05451232296872055,55.0,50.0,-0.09090909090909094,19.0,17.0,36.0,33.0,0.0,0.0,348.0,348.0,38.0,28.0,38.0,28.0,0.0,0.0,0.0,352.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,8.384934315283054,9.910349524615755,4.1131146643310785,4.781655056402087,0.16253871983404444,5484.0,4305.0,-0.21498905908096277,1981.0,1540.0,3531.0,2773.0,0.0,0.0,387.0,387.0,5022.0,3996.0,5022.0,3996.0,0.0,0.0,0.0,47816.0,66762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
