instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPS32:status,PPS32:successful_repeats,PPS32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,PPS32:matches_reference,PSD-PSD32:matches_reference,PPS32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,PPS32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,PPS32:branches,PSD-PSD32:branches,relative_change:branches,PPS32:nodes_expanded,PSD-PSD32:nodes_expanded,PPS32:pruned_by_bound,PSD-PSD32:pruned_by_bound,PPS32:pruned_infeasible,PSD-PSD32:pruned_infeasible,PPS32:root_potential_iterations,PSD-PSD32:root_potential_iterations,PPS32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,PPS32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,PPS32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPS32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,PPS32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PPS32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PPS32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PPS32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PPS32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PPS32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PPS32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PPS32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PPS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PPS32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,16.20577302574643,9.867416270988006,3.4661817755550146,2.189290778711438,-0.36838546837005315,5725.0,3379.0,-0.4097816593886463,2044.0,1162.0,3716.0,2238.0,1.0,0.0,319.0,356.0,5199.0,3063.0,5199.0,3063.0,0.0,0.0,0.0,90151.0,52164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,-0.005511060351397035,0.053771545886576844,0.031082401052117348,0.032935258001089096,0.059611126755136246,17.0,12.0,-0.2941176470588235,5.0,6.0,12.0,6.0,0.0,2.0,100.0,100.0,12.0,10.0,12.0,10.0,0.0,0.0,0.0,132.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1005.4477222956513,1095.7270537998095,93.64314551092684,102.04302599094808,0.08970096459479882,406316.0,381632.0,-0.060750745725002164,74906.0,68484.0,331519.0,313270.0,0.0,1.0,320.0,330.0,384541.0,362244.0,323065.0,309551.0,61476.0,52693.0,-0.14286876179322017,1691616.0,1789169.0,0.0,0.0,0.0,0.0,61476.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,421.36568579607,2221.6674832695385,198.82158593833447,1046.283561611548,4.262424382511758,99892.0,575263.0,4.758849557522124,31982.0,177732.0,68244.0,399465.0,0.0,0.0,400.0,400.0,95579.0,546887.0,95571.0,546872.0,8.0,15.0,0.875,1588549.0,8831611.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,142.63743482080528,314.83349286124735,26.337586546316743,57.91172727942467,1.1988243751029457,31476.0,72957.0,1.3178612276019823,10881.0,24363.0,20709.0,48834.0,0.0,14.0,372.0,400.0,29785.0,67837.0,29779.0,67575.0,6.0,262.0,42.666666666666664,505592.0,1131580.0,0.0,0.0,0.0,0.0,6.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,122.79556508601951,113.53353417750412,14.760841635987163,13.656477587297559,-0.07481714633379355,20167.0,17971.0,-0.108890762136163,5927.0,5460.0,14267.0,12541.0,0.0,0.0,301.0,311.0,18665.0,16968.0,18652.0,16811.0,13.0,157.0,11.076923076923077,273167.0,245368.0,0.0,0.0,0.0,0.0,12.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,115.32565362678189,144.09696868746502,16.38888542726636,20.442417657002807,0.24733422219137258,18395.0,23990.0,0.30415873878771404,6015.0,7349.0,12441.0,16715.0,0.0,0.0,378.0,400.0,17371.0,22403.0,17077.0,22084.0,294.0,319.0,0.08503401360544216,278508.0,345840.0,0.0,0.0,0.0,0.0,292.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,391.1368493653687,174.77852863180937,92.29826802201569,41.37344851531088,-0.5517418755307286,615321.0,47086.0,-0.9234773394699677,112258.0,14849.0,503226.0,32376.0,1332.0,0.0,729.0,394.0,566844.0,44421.0,475903.0,44396.0,90941.0,25.0,-0.9997250964911316,2330217.0,689109.0,0.0,0.0,0.0,0.0,90941.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.4520114000022737,1.8792897106855202,0.19805255718529224,0.23256445303559303,0.17425624965807662,73.0,106.0,0.452054794520548,26.0,35.0,47.0,71.0,0.0,0.0,333.0,307.0,41.0,66.0,41.0,66.0,0.0,0.0,0.0,750.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,7.995223313723562,15.249879101925078,3.9423168748617172,7.121799021959305,0.8065009100033627,3662.0,6326.0,0.7274713271436373,1322.0,2171.0,2350.0,4178.0,0.0,0.0,341.0,349.0,3387.0,5817.0,3387.0,5817.0,0.0,0.0,0.0,55799.0,95247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1446.9303452383156,51.11017452484937,361.74539766833186,13.019007349386811,-0.9640105791716986,212872.0,7984.0,-0.962493893043707,94058.0,3599.0,129680.0,4809.0,119.0,5.0,400.0,400.0,183938.0,7008.0,183918.0,7008.0,20.0,0.0,-1.0,3865194.0,145900.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,3470.6548863643025,2137.93937829503,746.8951494973153,460.17346165142953,-0.3838847903067235,2722053.0,1398711.0,-0.4861558536883742,684959.0,373854.0,2040844.0,1027487.0,90.0,97.0,361.0,400.0,2529417.0,1281311.0,2296577.0,1206444.0,232840.0,74867.0,-0.6784616045353031,25060203.0,15310869.0,0.0,0.0,0.0,0.0,232840.0,74865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,513.8967226128898,266.7585001481542,1473.3750730976462,766.1899608261883,-0.47997629740311887,403330.0,218756.0,-0.45762526963032757,142677.0,77555.0,263092.0,142539.0,7.0,11.0,400.0,400.0,382670.0,207546.0,382660.0,207536.0,10.0,10.0,0.0,6972415.0,3795156.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7363971630869699,-0.7879150866952986,0.30596367456018925,0.24616684764623642,-0.19543766755941994,285.0,173.0,-0.3929824561403509,83.0,52.0,205.0,124.0,0.0,0.0,400.0,400.0,207.0,128.0,207.0,128.0,0.0,0.0,0.0,3397.0,2112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,4.644120119495289,2.317581264542036,0.44301651418209076,0.2604025527834892,-0.4122057655926178,372.0,208.0,-0.4408602150537635,113.0,44.0,259.0,165.0,0.0,0.0,400.0,400.0,279.0,101.0,268.0,85.0,11.0,16.0,0.4545454545454546,4563.0,1181.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,5.0715425165342625,6.257175072403101,0.43355532735586166,0.518218707293272,0.1952769914136443,995.0,1187.0,0.192964824120603,295.0,377.0,706.0,821.0,0.0,0.0,361.0,400.0,883.0,1062.0,881.0,1052.0,2.0,10.0,4.0,14706.0,17664.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.03371377322353364,-0.09983337764642375,0.03272346407175064,0.030484311282634735,-0.06842652062160226,6.0,3.0,-0.5,3.0,2.0,3.0,2.0,5.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,64.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,2120.85030326454,597.7377353849126,256.61117651313543,72.40981819666922,-0.7178228197984873,159827.0,43928.0,-0.7251528214882341,50829.0,13922.0,109516.0,30136.0,0.0,0.0,400.0,400.0,149167.0,40270.0,149137.0,40241.0,30.0,29.0,-0.033333333333333326,2365498.0,636596.0,0.0,0.0,0.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.12640099797091764,-0.005090407577309275,0.02789873629808426,0.03177283890545368,0.13886301393642153,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
