instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PS-PS16:matches_reference,hybrid-reverse:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,hybrid-reverse:branches,relative_change:branches,PS-PS16:nodes_expanded,hybrid-reverse:nodes_expanded,PS-PS16:pruned_by_bound,hybrid-reverse:pruned_by_bound,PS-PS16:pruned_infeasible,hybrid-reverse:pruned_infeasible,PS-PS16:root_potential_iterations,hybrid-reverse:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,788.1184867391199,263.3725958950781,371.4643360078335,124.44898002408445,-0.6649773128652112,291874.0,66191.0,-0.7732206363019659,93977.0,19992.0,199496.0,46387.0,0.0,0.0,400.0,612.0,274330.0,62856.0,274327.0,62854.0,3.0,2.0,-0.33333333333333337,2570687.0,1013266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,801.7190976687402,438.03093355030956,147.18783953227103,80.50140427052975,-0.45307027722979953,275891.0,106369.0,-0.6144528092616287,93599.0,34309.0,183791.0,72354.0,0.0,0.0,400.0,396.0,256049.0,99518.0,256045.0,99492.0,4.0,26.0,5.5,2402306.0,1604312.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,176.40903793144824,114.3104180624846,21.153477605432272,13.749109823256731,-0.35003075713064213,42335.0,17141.0,-0.5951104287232787,13263.0,5225.0,29227.0,11959.0,0.0,0.0,372.0,370.0,39616.0,16129.0,39071.0,16114.0,545.0,15.0,-0.9724770642201834,340879.0,240582.0,0.0,0.0,0.0,0.0,545.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,14.314670287496126,392.87386311765937,2.1576528381556273,55.49208978563547,24.718729539952495,3289.0,81423.0,23.75615688659167,1084.0,19531.0,2221.0,62069.0,0.0,0.0,400.0,458.0,2987.0,76711.0,2950.0,71953.0,37.0,4758.0,127.59459459459458,27164.0,905057.0,0.0,0.0,0.0,0.0,34.0,4758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,502.1981259481485,627.4517097258965,118.43904894962907,147.92031005769968,0.24891504423181154,681597.0,160029.0,-0.7652146356277977,138862.0,50347.0,543770.0,110202.0,1248.0,1.0,721.0,445.0,626734.0,152471.0,540761.0,152415.0,85973.0,56.0,-0.9993486327102695,2559291.0,2363092.0,0.0,0.0,0.0,0.0,85973.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.6064550862883467,1.4424436611960503,0.2105272002518177,0.19727975688874722,-0.06292509161393323,55.0,54.0,-0.018181818181818188,19.0,14.0,36.0,40.0,0.0,0.0,348.0,356.0,38.0,26.0,38.0,26.0,0.0,0.0,0.0,352.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,8.384934315283054,7.729888952781737,4.1131146643310785,3.8260293640196323,-0.069797543647652,5484.0,3262.0,-0.4051787016776076,1981.0,1150.0,3531.0,2120.0,0.0,0.0,387.0,393.0,5022.0,3039.0,5022.0,3039.0,0.0,0.0,0.0,47816.0,49307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,1505.9501472312838,11.870175566228834,376.4906800035387,3.2154355999082327,-0.9914594549860357,369988.0,1951.0,-0.9947268560061407,170203.0,825.0,225057.0,1190.0,121.0,0.0,400.0,288.0,311567.0,1786.0,311567.0,1786.0,0.0,0.0,0.0,3592924.0,35177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,1455.0039017627962,1702.3521627474686,313.24607066996396,366.4608118850738,0.16988159213392606,1219976.0,1061614.0,-0.1298074716223926,362873.0,297463.0,864005.0,766558.0,95.0,116.0,400.0,340.0,1124682.0,983550.0,1068068.0,933941.0,56614.0,49609.0,-0.12373264563535524,8906012.0,12361647.0,0.0,0.0,0.0,0.0,56613.0,49608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,459.4354875438627,261.17197682335285,1317.5344497710466,750.2041449323297,-0.43059997781257586,548457.0,217376.0,-0.6036589924096146,199894.0,76795.0,355955.0,141958.0,19.0,6.0,400.0,597.0,516995.0,206043.0,516985.0,206029.0,10.0,14.0,0.3999999999999999,5354138.0,3773436.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
